time,中证全债,中证全指,COMEX黄金
2010-01-01,0.0,0.0,0.0
2010-01-02,0.0,0.0,0.0
2010-01-03,0.0,0.0,0.0
2010-01-04,0.0003912669222942977,-0.006016077653326568,0.020021842009464885
2010-01-05,0.0008604505632039405,0.009077276933553646,0.0002676659528908498
2010-01-06,-0.0010160218835483237,-0.004712167179222404,0.015877263402016117
2010-01-07,-0.0016429353778750766,-0.019864849135729612,-0.0024585125998772828
2010-01-08,0.00039181882297634196,0.0058819901985680545,0.004665082299093459
2010-01-09,0.0,0.0,0.0
2010-01-10,0.0,0.0,0.0
2010-01-11,0.0003133322888924095,0.0027999813673673657,0.010951463115472126
2010-01-12,0.0014095536413467613,0.01703008750237922,-0.019239102175231837
2010-01-13,-0.0012511729746637057,-0.024559058575983506,0.0066271980206769054
2010-01-14,0.0003131850923896451,0.018335220630816496,0.005354634831460592
2010-01-15,0.00046963055729487557,0.005270589056042718,-0.011001484327250455
2010-01-16,0.0,0.0,0.0
2010-01-17,0.0,0.0,0.0
2010-01-18,-0.0012517602879048573,0.009180758287260948,0.0
2010-01-19,0.0005483315055616611,0.0012495190901353759,0.008298755186721962
2010-01-20,0.0008611915759806354,-0.03347352176476115,-0.02416600998161278
2010-01-21,0.0011733416770962624,0.004243102535902432,-0.00843427545984754
2010-01-22,7.813110399257361e-05,-0.017636164321878645,-0.012125599493258421
2010-01-23,0.0,0.0,0.0
2010-01-24,0.0,0.0,0.0
2010-01-25,0.0011718750000000444,-0.012954651489562652,0.005496015388843034
2010-01-26,0.0013265704252827248,-0.02961642086978733,0.0024596884394643137
2010-01-27,-0.0007793017456358964,-0.01123016191783277,-0.012540894220283705
2010-01-28,0.0005459366713460589,0.006815087455871671,-0.000736241487207745
2010-01-29,0.0008574323797647665,0.0028010362890003027,-0.0009209799226377324
2010-01-30,0.0,0.0,0.0
2010-01-31,0.0,0.0,0.0
2010-02-01,0.001090342679127554,-0.01417036683847106,0.019542772861357083
2010-02-02,0.0011669519215808943,-0.003343072141470671,0.011754068716093968
2010-02-03,0.0005439428082989473,0.02266248392556558,-0.00536193029490617
2010-02-04,7.766387076757475e-05,0.001359973942115511,-0.04402515723270439
2010-02-05,0.0006989205560301581,-0.020477400473033147,-0.009586466165413587
2010-02-06,0.0,0.0,0.0
2010-02-07,0.0,0.0,0.0
2010-02-08,0.0013968648145272766,-0.0005486435475899887,0.01281078003416214
2010-02-09,0.001239925604463732,0.003885196105070543,0.010306380586526664
2010-02-10,-0.00015479876160973127,0.013553061760386065,-0.0008346471297411284
2010-02-11,0.0003096454559528006,0.00020469995655458817,0.01707815110451083
2010-02-12,-0.0005417118093173912,0.010805888800934138,-0.004289103851067733
2010-02-13,0.0,0.0,0.0
2010-02-14,0.0,0.0,0.0
2010-02-15,0.0,0.0,0.0
2010-02-16,0.0,0.0,0.027311887086426623
2010-02-17,0.0,0.0,0.0003568560977784685
2010-02-18,0.0,0.0,-0.001248550789262337
2010-02-19,0.0,0.0,0.003035985355835269
2010-02-20,0.0,0.0,0.0
2010-02-21,0.0,0.0,0.0
2010-02-22,0.0011614401858304202,-0.0028241635080565874,-0.008012107184189432
2010-02-23,0.0,-0.0032470035534045705,-0.008884501480750151
2010-02-24,0.00015467904098986907,0.01693103464884116,-0.005432814197754432
2010-02-25,0.00038663779771108686,0.015334711661340261,0.010287691187181203
2010-02-26,0.0017005488134806956,-0.0015418112371944348,0.009371902315941094
2010-02-27,0.0,0.0,0.0
2010-02-28,0.0,0.0,0.0
2010-03-01,0.003318157265221222,0.012715744438545062,-0.0005356664583519022
2010-03-02,0.000615289955391285,-0.002280827534703489,0.0170611880303706
2010-03-03,0.0019215987701768356,0.009430839557957649,0.005269629369401008
2010-03-04,-0.0001534330648252924,-0.02901327958807276,-0.00891141009959795
2010-03-05,0.00015345661014332102,0.003028590123865804,0.0018511988716500838
2010-03-06,0.0,0.0,0.0
2010-03-07,0.0,0.0,0.0
2010-03-08,0.0003835826620637306,0.009130267464658948,-0.009854817421909412
2010-03-09,0.0,0.003993340229242914,-0.0015107082555763096
2010-03-10,7.668711656427796e-05,-0.009387956055190716,-0.012637949448202068
2010-03-11,-0.00023004370830459475,-0.0029472740609285397,9.013881377306632e-05
2010-03-12,-0.0010737843227487387,-0.014011905225974508,-0.005858494817485349
2010-03-13,0.0,0.0,0.0
2010-03-14,0.0,0.0,0.0
2010-03-15,0.0006910319410320387,-0.012964668705145455,0.003263825929283648
2010-03-16,0.0009207396608608143,0.007640019680990706,0.015362371227182425
2010-03-17,0.00038328861632819233,0.02357006204042711,0.0015129939480242882
2010-03-18,0.0,-7.298976545777602e-05,0.0029325513196480912
2010-03-19,0.0012260536398467359,0.007763097041329825,-0.01754385964912275
2010-03-20,0.0,0.0,0.0
2010-03-21,0.0,0.0,0.0
2010-03-22,-0.0003826725853358637,0.004159555497730949,-0.007305194805194759
2010-03-23,0.0003062552637622673,-0.007405719773247332,0.003815753611338346
2010-03-24,-0.00030616150019124877,0.001806900996140337,-0.01357588922074393
2010-03-25,0.00022969144782147843,-0.014087514275296864,0.0038535645472059787
2010-03-26,-0.00022963870177561407,0.014015326096010305,0.010328123571885728
2010-03-27,0.0,0.0,0.0
2010-03-28,0.0,0.0,0.0
2010-03-29,0.0007656381594058903,0.01881452141310702,0.005518364392979924
2010-03-30,-0.0018361257746156712,0.0034029465507339207,-0.005218173639226276
2010-03-31,-7.664597225409686e-05,-0.0028650977419643064,0.007958759157095097
2010-04-01,0.00022995554192850598,0.014319912282445335,0.010408254822790397
