所在地区,用户数量,经纬度
河北唐山,43,"118.180193,39.630867"
北京密云区,23,"116.843177,40.376834"
吉林辽源,14,"125.143532,42.887918"
北京西城区,52,"116.365868,39.912289"
山东潍坊,43,"119.161755,36.706774"
黑龙江大庆,40,"125.103784,46.589309"
山东菏泽,38,"115.480656,35.23375"
江西上饶,24,"117.943433,28.454862"
江苏连云港,52,"119.221611,34.596653"
河南周口,17,"114.696951,33.626149"
河南焦作,17,"113.241823,35.215892"
宁夏,62,"106.258754,38.471317"
广东汕头,50,"116.681972,23.354091"
安徽巢湖,10,"117.8618,31.598628"
河北张家口,38,"114.887543,40.824418"
甘肃张掖,3,"100.449818,38.925875"
湖南湘西土家族苗族自治州,15,"109.739172,28.311947"
河北邯郸,35,"114.538961,36.625657"
江苏南通,114,"120.894291,31.980171"
广东江门,28,"113.081901,22.578738"
云南保山,4,"99.161761,25.112046"
江苏宿迁,16,"118.275198,33.963232"
北京通州区,14,"116.656435,39.909946"
广西玉林,15,"110.164756,22.636379"
山东临沂,34,"118.356448,35.104672"
河北廊坊,47,"116.683752,39.538047"
湖南永州,29,"111.613445,26.420394"
重庆渝中区,48,"106.568892,29.55275"
安徽淮南,20,"116.999932,32.625478"
内蒙古呼和浩特,42,"111.74918,40.842585"
黑龙江大兴安岭,6,"124.71108,52.335206"
四川南充,67,"106.110698,30.837793"
安徽淮北,10,"116.798265,33.955844"
辽宁营口,7,"122.235417,40.667012"
广东惠州,40,"114.416196,23.111847"
山东烟台,81,"121.447935,37.463822"
内蒙古包头,21,"109.840347,40.657449"
浙江衢州,28,"118.859457,28.970079"
湖南衡阳,22,"112.571997,26.89323"
重庆酉阳土家族苗族自治县,3,"108.767747,28.841244"
台湾其他,15,"121.508903,25.044319"
云南红河,12,"103.374799,23.36313"
安徽六安,16,"116.521854,31.733699"
山西晋中,14,"112.752694,37.687024"
海南三亚,48,"109.511909,18.252847"
安徽亳州,11,"115.778676,33.844582"
西藏林芝,15,"94.36149,29.649128"
宁夏银川,35,"106.230909,38.487193"
贵州黔西南,7,"104.906396,25.087825"
重庆丰都县,8,"107.730895,29.8635"
四川自贡,32,"104.778442,29.33903"
广东中山,72,"113.392782,22.517645"
山西临汾,22,"111.518976,36.088005"
青海西宁,15,"101.778228,36.617144"
西藏阿里,15,"80.105804,32.501111"
北京丰台区,28,"116.287149,39.858427"
浙江嘉兴,45,"120.755486,30.746129"
广西钦州,30,"108.654146,21.979933"
河北秦皇岛,35,"119.600492,39.935385"
安徽铜陵,8,"117.812079,30.945429"
浙江湖州,44,"120.086823,30.894348"
河北沧州,43,"116.838834,38.304477"
台湾桃园县,14,"121.508903,25.044319"
香港九龙城区,2,"114.163825,22.276284"
河南信阳,62,"114.091023,32.146983"
湖南张家界,11,"110.479191,29.117096"
重庆江北区,50,"106.574271,29.606703"
新疆乌鲁木齐,54,"87.616848,43.825592"
山西太原,120,"112.548879,37.87059"
福建龙岩,30,"117.017536,25.075123"
甘肃甘南,3,"102.911027,34.983385"
青海海东,6,"102.104287,36.502039"
四川宜宾,25,"104.643215,28.751768"
山东聊城,15,"115.985371,36.456703"
上海宝山区,16,"121.489612,31.405457"
贵州黔南,24,"107.522097,26.254092"
江西吉安,26,"114.992509,27.113443"
河南漯河,39,"114.016539,33.581412"
重庆合川区,6,"106.27613,29.972084"
湖南怀化,22,"109.998488,27.554978"
广西桂林,30,"110.290194,25.273566"
香港西贡区,2,"114.163825,22.276284"
北京大兴区,14,"116.341014,39.784747"
安徽芜湖,26,"118.432941,31.352859"
上海松江区,6,"121.227747,31.032243"
广西贺州,14,"111.566694,24.403582"
广东阳江,25,"111.982232,21.857958"
澳门其他,13,"113.543028,22.186835"
四川遂宁,10,"105.592898,30.532847"
北京顺义区,13,"116.654561,40.130347"
山东日照,10,"119.526888,35.416377"
吉林白城,13,"122.839024,45.619641"
湖北咸宁,166,"114.322492,29.841443"
北京怀柔区,9,"116.642349,40.315704"
湖南郴州,27,"113.014717,25.770509"
江苏镇江,27,"119.425836,32.187849"
河南商丘,22,"115.65637,34.414172"
山东济宁,24,"116.587098,35.414921"
内蒙古鄂尔多斯,16,"109.781327,39.608266"
湖南益阳,4,"112.35518,28.55386"
贵州安顺,9,"105.947593,26.253072"
广东东莞,106,"113.751765,23.020536"
福建宁德,30,"119.547932,26.665617"
安徽安庆,25,"117.063754,30.543494"
山东东营,25,"118.674767,37.434751"
上海金山区,2,"121.34197,30.741991"
新疆克拉玛依,5,"84.889207,45.579888"
四川眉山,10,"103.848538,30.075439"
辽宁铁岭,12,"123.726166,42.223769"
内蒙古呼伦贝尔,36,"119.765744,49.211574"
辽宁锦州,6,"121.127003,41.095119"
四川德阳,8,"104.397894,31.126855"
北京房山区,7,"116.143267,39.749144"
四川广元,8,"105.843357,32.435435"
内蒙古阿拉善盟,6,"105.728969,38.851892"
四川凉山,7,"102.267335,27.88161"
天津大港区,12,"117.78067,39.246083"
河北邢台,14,"114.504844,37.070589"
河南平顶山,15,"113.192661,33.766169"
安徽池州,16,"117.491568,30.6648"
贵州铜仁,10,"109.189598,27.731514"
河南新乡,26,"113.9268,35.303004"
四川绵阳,45,"104.679114,31.46745"
江苏淮安,36,"119.015285,33.610353"
云南曲靖,18,"103.796167,25.489999"
上海普陀区,74,"121.395555,31.24984"
新疆博尔塔拉,14,"82.066159,44.905588"
甘肃金昌,6,"102.188043,38.520089"
天津北辰区,6,"117.139343,39.217817"
黑龙江牡丹江,13,"129.633168,44.551653"
重庆万州区,17,"108.408661,30.807667"
江苏盐城,49,"120.163561,33.347382"
广西河池,5,"108.085261,24.692931"
山西大同,10,"113.61244,40.040295"
四川雅安,12,"103.013261,29.980537"
新疆巴音郭楞,6,"86.145298,41.764115"
河南许昌,20,"113.85264,34.035506"
广西北海,19,"109.119927,21.481254"
山东泰安,25,"117.087614,36.200252"
福建莆田,28,"119.007777,25.454084"
广东潮州,7,"116.622603,23.65695"
台湾高雄市,8,"121.508903,25.044319"
广东河源,16,"114.700447,23.743538"
重庆涪陵区,9,"107.389298,29.703113"
重庆大渡口区,13,"106.482347,29.484527"
湖北孝感,7,"113.916902,30.924568"
重庆石柱土家族自治县,2,"108.114069,29.999285"
安徽马鞍山,14,"118.506759,31.670452"
重庆黔江区,3,"108.770678,29.53361"
安徽蚌埠,4,"117.389719,32.916287"
台湾新北市,3,"121.508903,25.044319"
陕西宝鸡,10,"107.237974,34.361979"
陕西咸阳,25,"108.708991,34.329605"
北京宣武区,6,"116.365868,39.912289"
天津滨海新区,3,"117.78067,39.246083"
天津河北区,10,"117.196648,39.147869"
青海,40,"101.780199,36.620901"
黑龙江绥化,4,"126.968887,46.653845"
甘肃嘉峪关,5,"98.289152,39.77313"
湖北襄阳,23,"112.122414,32.008986"
山西运城,11,"111.007528,35.026412"
江西新余,6,"114.917346,27.817808"
北京昌平区,6,"116.231204,40.22066"
天津河西区,24,"117.223372,39.109563"
福建三明,19,"117.638678,26.263406"
重庆大足区,13,"105.721733,29.707032"
辽宁丹东,6,"124.354706,40.000499"
新疆石河子,2,"86.08046,44.305428"
四川内江,10,"105.058433,29.580228"
新疆塔城,1,"82.980316,46.745364"
北京石景山区,16,"116.222982,39.906611"
四川达州,9,"107.468023,31.209571"
陕西渭南,3,"109.509786,34.499995"
四川甘孜,3,"101.96231,30.04952"
内蒙古巴彦淖尔市,8,"107.387657,40.743213"
