Airport,Year,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out
MELBOURNE,2014,8,979763,975378,323724,340678
NEWCASTLE,2014,8,48803,48481,0,0
PERTH,2014,8,361356,358479,163905,166519
SYDNEY,2014,8,1072351,1056340,524448,551983
TOWNSVILLE,2014,8,65323,66678,0,0
ADELAIDE,2014,9,276540,280913,39785,40956
BRISBANE,2014,9,723998,723032,216209,214891
CAIRNS,2014,9,176654,165752,19242,22088
CANBERRA,2014,9,121363,121743,0,0
DARWIN,2014,9,78326,79759,13861,13879
GOLD COAST,2014,9,219163,209110,33293,35862
HAMILTON ISLAND,2014,9,24516,22996,0,0
HOBART,2014,9,81768,78408,0,0
LAUNCESTON,2014,9,48691,46829,0,0
MACKAY,2014,9,41426,40415,0,0
MELBOURNE,2014,9,966478,975178,337512,339350
NEWCASTLE,2014,9,49730,50530,0,0
PERTH,2014,9,362782,366423,179961,181406
SYDNEY,2014,9,1057089,1070473,535529,554031
TOWNSVILLE,2014,9,65984,68438,0,0
ADELAIDE,2014,10,319150,311531,44279,35206
BRISBANE,2014,10,776924,780848,234133,204479
CAIRNS,2014,10,175380,184351,21715,18589
CANBERRA,2014,10,131857,128821,0,0
DARWIN,2014,10,76835,81466,14688,12566
GOLD COAST,2014,10,235350,240190,38397,34072
HAMILTON ISLAND,2014,10,24055,25300,0,0
HOBART,2014,10,95303,91155,0,0
LAUNCESTON,2014,10,55493,54135,0,0
MACKAY,2014,10,43221,44844,0,0
MELBOURNE,2014,10,1084809,1063726,381908,312662
NEWCASTLE,2014,10,53687,53479,0,0
PERTH,2014,10,398992,401561,204204,158932
SYDNEY,2014,10,1174641,1172420,616131,519670
TOWNSVILLE,2014,10,68153,67986,0,0
ADELAIDE,2014,11,279539,279238,33966,35010
BRISBANE,2014,11,693076,696103,197992,207211
CAIRNS,2014,11,154640,159052,16906,17259
CANBERRA,2014,11,122435,120113,0,0
DARWIN,2014,11,64785,67457,10563,11258
GOLD COAST,2014,11,205695,206609,33719,35565
HAMILTON ISLAND,2014,11,21743,22049,0,0
HOBART,2014,11,94398,94140,0,0
LAUNCESTON,2014,11,56824,54527,0,0
MACKAY,2014,11,37800,38193,0,0
MELBOURNE,2014,11,1001601,994496,328293,335780
NEWCASTLE,2014,11,48507,48757,0,0
PERTH,2014,11,356660,355399,158386,156950
SYDNEY,2014,11,1088111,1083123,542097,546503
TOWNSVILLE,2014,11,57638,59537,0,0
ADELAIDE,2014,12,295383,291644,38989,49220
BRISBANE,2014,12,739816,721575,221355,251966
CAIRNS,2014,12,171023,161710,19374,21343
CANBERRA,2014,12,108108,115048,0,0
DARWIN,2014,12,61111,76078,8816,15964
GOLD COAST,2014,12,233645,224884,38278,45981
HAMILTON ISLAND,2014,12,22916,21701,0,0
HOBART,2014,12,112735,98843,0,0
LAUNCESTON,2014,12,67721,59688,0,0
MACKAY,2014,12,39817,41898,0,0
MELBOURNE,2014,12,994717,1020431,355406,417081
NEWCASTLE,2014,12,48887,46957,0,0
PERTH,2014,12,369737,370319,173480,221950
SYDNEY,2014,12,1100833,1088258,593553,686169
TOWNSVILLE,2014,12,64541,67547,0,0
ADELAIDE,2015,1,271005,273323,50816,40325
BRISBANE,2015,1,649819,670411,259107,217528
CAIRNS,2015,1,152476,165203,22204,20752
CANBERRA,2015,1,94689,86462,0,0
DARWIN,2015,1,68315,56062,15839,9890
GOLD COAST,2015,1,228760,247455,47430,40477
HAMILTON ISLAND,2015,1,21515,24010,0,0
HOBART,2015,1,105456,120299,0,0
LAUNCESTON,2015,1,61786,69331,0,0
MACKAY,2015,1,36231,34321,0,0
MELBOURNE,2015,1,1004854,948075,438126,370081
NEWCASTLE,2015,1,45820,47358,0,0
PERTH,2015,1,351624,358420,238626,184382
SYDNEY,2015,1,1039522,1046901,711721,614666
TOWNSVILLE,2015,1,57879,54030,0,0
ADELAIDE,2015,2,255345,248620,38274,30765
BRISBANE,2015,2,594295,594204,204702,186053
CAIRNS,2015,2,140012,144177,24375,20661
CANBERRA,2015,2,104237,100964,0,0
DARWIN,2015,2,50746,51776,10012,8779
GOLD COAST,2015,2,176481,180128,35098,32950
HAMILTON ISLAND,2015,2,18129,17566,0,0
HOBART,2015,2,94081,91925,0,0
LAUNCESTON,2015,2,53435,51643,0,0
MACKAY,2015,2,30254,31593,0,0
MELBOURNE,2015,2,900984,891650,365109,313219
NEWCASTLE,2015,2,39828,40397,0,0
PERTH,2015,2,302620,312158,169685,144653
SYDNEY,2015,2,973110,970584,563101,503262
TOWNSVILLE,2015,2,48886,49553,0,0
ADELAIDE,2015,3,291956,293217,34114,36696
BRISBANE,2015,3,697493,691926,205557,209665
CAIRNS,2015,3,142490,140180,19341,21334
CANBERRA,2015,3,126132,125655,0,0
DARWIN,2015,3,63857,62139,9928,10166
GOLD COAST,2015,3,201680,198263,37413,35449
