Airport,Year,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out
ADELAIDE,2017,3,309494,311591,34763,36346
BRISBANE,2017,3,704824,700905,215447,224530
CAIRNS,2017,3,159059,158396,27174,30646
CANBERRA,2017,3,135406,138246,3369,3140
DARWIN,2017,3,66113,64352,9524,9890
GOLD COAST,2017,3,215154,212372,44795,42345
HAMILTON ISLAND,2017,3,17665,18510,0,0
HOBART,2017,3,107501,111737,0,0
LAUNCESTON,2017,3,59033,61568,0,0
MACKAY,2017,3,27660,28612,0,0
MELBOURNE,2017,3,1067607,1069795,388096,397069
NEWCASTLE,2017,3,51795,52664,0,0
PERTH,2017,3,331228,332182,168813,174935
SYDNEY,2017,3,1174197,1156629,614723,629062
TOWNSVILLE,2017,3,56804,58317,1603,1632
ADELAIDE,2017,4,294726,296413,34119,39693
BRISBANE,2017,4,700334,701979,236642,240158
CAIRNS,2017,4,181848,180316,24815,27684
CANBERRA,2017,4,118282,119097,3961,3427
DARWIN,2017,4,72784,72757,11407,11660
GOLD COAST,2017,4,230176,233720,48791,45433
HAMILTON ISLAND,2017,4,8954,7837,0,0
HOBART,2017,4,104746,109772,0,0
LAUNCESTON,2017,4,58771,60217,0,0
MACKAY,2017,4,32546,32692,0,0
MELBOURNE,2017,4,1046704,1038005,421407,426800
NEWCASTLE,2017,4,54660,53913,0,0
PERTH,2017,4,335706,334285,185833,193652
SYDNEY,2017,4,1120311,1122762,664691,681401
TOWNSVILLE,2017,4,64609,62128,2025,2257
ADELAIDE,2017,5,285884,284998,33197,37924
BRISBANE,2017,5,693729,679803,207596,219433
CAIRNS,2017,5,155382,157929,19798,24128
CANBERRA,2017,5,128920,129619,2794,2737
DARWIN,2017,5,75843,71054,10377,10756
GOLD COAST,2017,5,197532,199078,40980,37658
HAMILTON ISLAND,2017,5,12495,12799,0,0
HOBART,2017,5,88382,92193,0,0
LAUNCESTON,2017,5,46056,48246,0,0
MACKAY,2017,5,32115,32556,0,0
MELBOURNE,2017,5,982991,993236,355754,384545
NEWCASTLE,2017,5,49583,50483,0,0
PERTH,2017,5,319106,324755,155396,165738
SYDNEY,2017,5,1095571,1085506,562979,593638
TOWNSVILLE,2017,5,60639,61928,1954,2370
ADELAIDE,2017,6,273329,272795,34097,39198
BRISBANE,2017,6,692620,694779,216431,240442
CAIRNS,2017,6,173798,161089,22086,24497
CANBERRA,2017,6,123485,128500,3031,3727
DARWIN,2017,6,88397,82410,11386,14142
GOLD COAST,2017,6,198253,192782,39900,41871
HAMILTON ISLAND,2017,6,12601,11540,0,0
HOBART,2017,6,90673,89636,0,0
LAUNCESTON,2017,6,44164,43756,0,0
MACKAY,2017,6,32053,32188,0,0
MELBOURNE,2017,6,966297,988130,368104,439357
NEWCASTLE,2017,6,47872,47860,0,0
PERTH,2017,6,311117,312718,158255,190155
SYDNEY,2017,6,1060307,1056841,569557,673314
TOWNSVILLE,2017,6,66427,66254,2106,2123
ADELAIDE,2017,7,308341,310767,46589,43123
BRISBANE,2017,7,785638,777468,272272,237677
CAIRNS,2017,7,208892,213575,31200,26249
CANBERRA,2017,7,131376,127611,3918,2969
DARWIN,2017,7,95676,98508,14671,13244
GOLD COAST,2017,7,240788,238372,53245,42828
HAMILTON ISLAND,2017,7,17069,17966,0,0
HOBART,2017,7,99196,102431,0,0
LAUNCESTON,2017,7,51577,53418,0,0
MACKAY,2017,7,33542,33361,0,0
MELBOURNE,2017,7,1109391,1101270,498958,427923
NEWCASTLE,2017,7,54242,54374,0,0
PERTH,2017,7,349560,353291,211701,182304
SYDNEY,2017,7,1180867,1187367,760491,662542
TOWNSVILLE,2017,7,76628,73840,2452,2457
ADELAIDE,2017,8,289066,285877,42160,40424
BRISBANE,2017,8,732144,735371,233723,250234
CAIRNS,2017,8,190495,196881,30565,36935
CANBERRA,2017,8,131056,131328,3477,3076
DARWIN,2017,8,89393,92539,11606,12589
GOLD COAST,2017,8,210013,214791,45310,44960
HAMILTON ISLAND,2017,8,17459,17375,0,0
HOBART,2017,8,87387,87859,0,0
LAUNCESTON,2017,8,45214,44862,0,0
MACKAY,2017,8,32287,33030,0,0
MELBOURNE,2017,8,1032519,1026705,417818,422697
NEWCASTLE,2017,8,49586,49587,0,0
PERTH,2017,8,330431,328959,174162,171298
SYDNEY,2017,8,1125981,1110360,644683,655860
TOWNSVILLE,2017,8,69682,70924,2373,2231
ADELAIDE,2017,9,296741,294811,44410,42623
BRISBANE,2017,9,757027,737443,245888,248264
CAIRNS,2017,9,192190,182477,27687,28833
CANBERRA,2017,9,131749,135681,3582,3692
DARWIN,2017,9,79232,80717,11525,10651
GOLD COAST,2017,9,236713,223207,43479,44284
HAMILTON ISLAND,2017,9,19922,18540,0,0
HOBART,2017,9,97992,91468,0,0
LAUNCESTON,2017,9,50483,48160,0,0
MACKAY,2017,9,34889,35186,0,0
MELBOURNE,2017,9,1047892,1061680,428355,438578
NEWCASTLE,2017,9,54789,55360,0,0
PERTH,2017,9,330784,336106,183141,189091
SYDNEY,2017,9,1120569,1149275,657428,669922
TOWNSVILLE,2017,9,68660,71256,2197,2368
ADELAIDE,2017,10,327412,326148,46426,36194
BRISBANE,2017,10,764991,789151,260136,234779
CAIRNS,2017,10,193857,204903,27636,27173
CANBERRA,2017,10,139380,132630,4306,3250
DARWIN,2017,10,77681,81314,11330,10565
GOLD COAST,2017,10,240741,252165,49333,44902
HAMILTON ISLAND,2017,10,19266,20888,0,0
HOBART,2017,10,108902,108200,0,0
LAUNCESTON,2017,10,55395,55407,0,0
MACKAY,2017,10,35292,34648,0,0
MELBOURNE,2017,10,1156709,1133498,486720,396510
NEWCASTLE,2017,10,58070,58060,0,0
PERTH,2017,10,357312,358489,209573,167158
SYDNEY,2017,10,1234112,1209871,727017,618485
TOWNSVILLE,2017,10,70105,69779,2278,2100
ADELAIDE,2017,11,316350,311569,37547,36871
BRISBANE,2017,11,738661,741905,222363,235437
CAIRNS,2017,11,174737,176302,24211,27170
CANBERRA,2017,11,138446,137892,3759,3404
DARWIN,2017,11,67018,69239,9446,9662
GOLD COAST,2017,11,226173,228215,41391,43142
HAMILTON ISLAND,2017,11,18585,18765,0,0
HOBART,2017,11,110717,110395,0,0
LAUNCESTON,2017,11,59175,58036,0,0
MACKAY,2017,11,31991,32694,0,0
MELBOURNE,2017,11,1115132,1106079,419680,431707
NEWCASTLE,2017,11,55762,55651,0,0
PERTH,2017,11,341444,340801,166263,164421
SYDNEY,2017,11,1206765,1204038,644589,666967
TOWNSVILLE,2017,11,62743,66059,1622,1747
ADELAIDE,2017,12,318458,322403,42206,52177
BRISBANE,2017,12,763468,738050,257004,294531
CAIRNS,2017,12,187915,179021,29556,34214
CANBERRA,2017,12,117225,128234,3747,5094
DARWIN,2017,12,62766,74441,8449,14230
GOLD COAST,2017,12,256458,245478,48111,54377
HAMILTON ISLAND,2017,12,20167,19063,0,0
HOBART,2017,12,135137,120368,0,0
LAUNCESTON,2017,12,75367,64845,0,0
MACKAY,2017,12,31907,33663,0,0
MELBOURNE,2017,12,1083418,1118622,478099,537167
NEWCASTLE,2017,12,56807,55893,0,0
PERTH,2017,12,359901,347378,183881,225031
SYDNEY,2017,12,1186961,1189870,720485,834514
TOWNSVILLE,2017,12,65924,70774,1467,2055
