time,中证全债,中证全指,COMEX黄金,资产等权配置,风险平价配置
2019-02-12,1.0122436572846925,1.0816465590235265,1.0229625593523775,1.0389509252201987,1.0732716860164446
2019-02-13,1.0125239982927545,1.101859444834374,1.0191484393243553,1.044510627483828,1.0904971785072615
2019-02-14,1.0126452694029835,1.1052071756408888,1.0240523079318122,1.047301584325228,1.0938032665622934
2019-02-15,1.0128704871791234,1.0932530668837905,1.0313691912508751,1.0458309151045964,1.08404702881197
2019-02-16,1.0128704871791234,1.0932530668837905,1.0313691912508751,1.0458309151045964,1.08404702881197
2019-02-17,1.0128704871791234,1.0932530668837905,1.0313691912508751,1.0458309151045964,1.08404702881197
2019-02-18,1.0126804432747816,1.1295897863663125,1.0313691912508751,1.0578798069639896,1.1155336441275525
2019-02-19,1.012236832503597,1.1304358453759566,1.0462364754417368,1.0629697177737636,1.1174504829327303
2019-02-20,1.0124384260374846,1.1334614094976005,1.0439791390986217,1.063292991544569,1.1199003249301642
2019-02-21,1.012465200178704,1.1305876348883617,1.0321475830933287,1.0584001393867981,1.116450542793611
2019-02-22,1.0123434040853136,1.1563038373874581,1.03580602475286,1.0681510887418773,1.1390317975725843
2019-02-23,1.0123434040853136,1.1563038373874581,1.03580602475286,1.0681510887418773,1.1390317975725843
2019-02-24,1.0123434040853136,1.1563038373874581,1.03580602475286,1.0681510887418773,1.1390317975725843
2019-02-25,1.011861469543364,1.220999965417629,1.0350276329104064,1.0892963559571331,1.195021858499111
2019-02-26,1.0106807824139037,1.2128693208543897,1.036039542305596,1.0865298818579632,1.1879949213357175
2019-02-27,1.0101841483434415,1.2100895042446722,1.0288004981707786,1.083024716919631,1.184972048400764
2019-02-28,1.0104581895535698,1.2100948358148778,1.0233517552736042,1.0813015935473507,1.1845487355632343
2019-03-01,1.009867583497259,1.228213900382436,1.0076282400560437,1.081903241311913,1.1989474638362723
2019-03-02,1.009867583497259,1.228213900382436,1.0076282400560437,1.081903241311913,1.1989474638362723
2019-03-03,1.009867583497259,1.228213900382436,1.0076282400560437,1.081903241311913,1.1989474638362723
2019-03-04,1.0095063950823775,1.247867291798614,1.00233517552736,1.086569620802784,1.2155345733227425
2019-03-05,1.0091242073410494,1.2688944511377171,1.003035728185568,1.0936847955547782,1.2337977831808595
2019-03-06,1.008890589834331,1.2873302925514143,1.0019459796061332,1.0993889539972928,1.2496772895331127
2019-03-07,1.0094927455201872,1.2903858358301148,1.0010897485794343,1.1003227766432453,1.2522876739774944
2019-03-08,1.0107574299554338,1.2381282028206213,1.010819646610103,1.0865684264620528,1.2078464537916045
2019-03-09,1.0107574299554338,1.2381282028206213,1.010819646610103,1.0865684264620528,1.2078464537916045
2019-03-10,1.0107574299554338,1.2381282028206213,1.010819646610103,1.0865684264620528,1.2078464537916045
