time,中证全债,中证全指,COMEX黄金,资产等权配置,风险平价配置
2019-01-01,0.0,0.0,0.0,0.0,0.0
2019-01-02,0.0024716207227652998,-0.009609412371521242,0.0014011053164162401,-0.0019122287774465674,-0.008087043674908678
2019-01-03,0.001838147691763048,-0.003609105897023346,0.00753983676642056,0.001922959520386754,-0.002420781749421644
2019-01-04,0.0009095466328217228,0.024548846285237014,-0.0077148588180836475,0.005914511366658363,0.020700064990341733
2019-01-05,0.0,0.0,0.0,0.0,0.0
2019-01-06,0.0,0.0,0.0,0.0,0.0
2019-01-07,0.0006345373178446856,0.012934305730521123,0.003187684652464551,0.00558550923361012,0.011503124853438027
2019-01-08,0.0012056392602071142,-0.0018906063282426722,-0.0031775556072231037,-0.0012875075584195539,-0.0018338947929744487
2019-01-09,0.0006443184768227805,0.0066256374335089685,0.006608614523402334,0.004626190144578028,0.00631293699104211
2019-01-10,0.0004256223620009436,-0.001951033603839858,-0.005870085734147046,-0.0024651656586619866,-0.0021453863501114593
2019-01-11,-0.0001655940373649356,0.007504769526233801,0.0006215523269366141,0.0026535759386018265,0.0065469245582811695
2019-01-12,0.0,0.0,0.0,0.0,0.0
2019-01-13,0.0,0.0,0.0,0.0,0.0
2019-01-14,2.3957821734033047e-05,-0.00710907947266437,0.003028185418122442,-0.0013523120776026316,-0.005915116366387518
2019-01-15,-0.000510393539459475,0.01571635352759926,-0.0018578727357174696,0.004449362417474105,0.013445522748118615
2019-01-16,0.0005544245318265251,-0.0008838749035565696,0.0031797735380796333,0.0009501077221165296,-0.00047922444508016927
2019-01-17,0.0009894952064164464,-0.007104222472971822,-0.001468882875918176,-0.002527870047491184,-0.006225615177342816
2019-01-18,9.156789733588688e-05,0.012810212142962962,-0.007974605140910418,0.001642391633129477,0.010461414579712877
2019-01-19,0.0,0.0,0.0,0.0,0.0
2019-01-20,0.0,0.0,0.0,0.0,0.0
2019-01-21,2.601122540446532e-05,0.005570097395279916,0.0,0.0018653695402281272,0.0048294894931166414
2019-01-22,-0.00017218983330891113,-0.012437319547479841,0.0026535549832202854,-0.003318651465856156,-0.010574223835272291
2019-01-23,-4.8908253319823736e-05,0.0005093930448805128,-0.002179497158869781,-0.0005730041224363639,0.00026211495650310424
2019-01-24,-3.4341517020863854e-05,0.00525635859122775,0.0032763866136202857,0.002832801229275724,0.004820298943825915
2019-01-25,-0.0005364745452975939,0.0012577343120014906,0.017572506025970158,0.006097921930891352,0.0024883884300470954
2019-01-26,0.0,0.0,0.0,0.0,0.0
2019-01-27,0.0,0.0,0.0,0.0,0.0
2019-01-28,-0.00029415210006378256,-0.0030989532546831233,0.0,-0.0011310351182489686,-0.0027014690852160935
2019-01-29,0.00035464871029744494,-0.006151862229282989,0.006112936501872168,0.00010524099429554123,-0.004817846970909614
2019-01-30,0.0006018040586373008,-0.010598447156051294,0.006303637882585145,-0.0012310017382762828,-0.008643786388411834
2019-01-31,0.0006404630063676642,-0.0011266888391016083,0.0005283018867925371,1.4025351352864313e-05,-0.0009003988903297979
2019-02-01,0.00040659748616689306,0.020547994578755224,-0.002790978351059903,0.006054537904620738,0.01760556873532327
2019-02-02,0.0,0.0,0.0,0.0,0.0
2019-02-03,0.0,0.0,0.0,0.0,0.0
2019-02-04,0.0,0.0,-0.004160363086233021,-0.001386787695411007,-0.0003376380340312381
2019-02-05,0.0,0.0,0.0021268515001897637,0.0007089505000632546,0.00017260655964781825
2019-02-06,0.0,0.0,-0.006670203896005478,-0.0022234012986684926,-0.0005413264379465398
2019-02-07,0.0,0.0,0.0025181228538724287,0.0008393742846241429,0.00020436054070473915
2019-02-08,0.0,0.0,0.003349063784442219,0.001116354594814073,0.0002717963044538355
2019-02-09,0.0,0.0,0.0,0.0,0.0
2019-02-10,0.0,0.0,0.0,0.0,0.0
2019-02-11,0.0016641892664470692,0.022486680490645394,-0.005006827492034738,0.006381347421685908,0.019171639635782743
2019-02-12,0.00045816292751066356,0.009720837860376808,0.001982311680390536,0.004053770822759335,0.00861070203182671
2019-02-13,0.0002769501256387752,0.01868714474448563,-0.0037285040328717267,0.005078530279084226,0.01590975867404047
2019-02-14,0.00011977109721206247,0.0030382557613943817,0.004811731459558599,0.0026565861060550144,0.003030280915277708
2019-02-15,0.0002224053999408948,-0.010816170054421037,0.007145028884159466,-0.0011495785901068922,-0.00878397092671332
2019-02-16,0.0,0.0,0.0,0.0,0.0
2019-02-17,0.0,0.0,0.0,0.0,0.0
2019-02-18,-0.00018762902735081077,0.03323724449829002,0.0,0.011016538490313069,0.02880012987636693
2019-02-19,-0.0004380560265881961,0.0007489966887588295,0.014415094339622625,0.004908678333931086,0.0017962968566253203
2019-02-20,0.00019915648928603424,0.002676458052900621,-0.00215757756119328,0.00023934566033112503,0.0021552075795238956
2019-02-21,2.6445204499125907e-05,-0.0025353969576368263,-0.011333134506412157,-0.004614028753183286,-0.0031160451657767253
2019-02-22,-0.00012029657253287418,0.022745872770522313,0.0035444947209652966,0.008723356972984911,0.01999741676298526
2019-02-23,0.0,0.0,0.0,0.0,0.0
2019-02-24,0.0,0.0,0.0,0.0,0.0
2019-02-25,-0.0004760583612286595,0.05595080284118459,-0.0007514841812580331,0.018241086766232633,0.04841214151367853
2019-02-26,-0.0011668466138879952,-0.006659004744900332,0.0009776641347671866,-0.0022827290746737137,-0.005753385141091111
2019-02-27,-0.000491385686859469,-0.0022919341448583985,-0.006987227648384664,-0.0032568491600341773,-0.00257926901876093
