portfolio_type,annual_return,annual_volatility,information_ratio,total_times,winning_ratio,maximum_drawdown,maximum_drawdown_ratio,calmar_ratio,earn_risk_ratio,single_max_profit,single_min_profit,sharpe_ratio,downside_deviation,max_return,min_return,skew_return,kurt_return
中证全债,0.0496952559689654,0.007169454105076402,6.9315257815484435,244,0.6516393442622951,-0.008574024988148743,0.008453599922979933,5.878590946074438,-1.4619513116311924,0.0024716207227652998,-0.001618614482646774,-7517.620831481694,11.559098384515456,0.0024716207227652998,-0.001618614482646774,0.7510829927553072,4.907174500622524
中证全指,0.31205443291218904,0.17115446960366792,1.8232327419482217,244,0.5286885245901639,-0.22870795922147003,0.16503875767719006,1.8907948490654323,-1.1497574755881954,0.05595080284118459,-0.0666687725698707,-314.8422041462513,11.554673748899267,0.05595080284118459,-0.0666687725698707,-0.05340054105092067,7.115991678992549
COMEX黄金,0.1837024003350478,0.09726513256277704,1.8886768104334024,248,0.5524193548387096,-0.08165330427337114,0.06717469262295082,2.734696552556822,-1.0429292454011019,0.024873828406632992,-0.02209272540983609,-554.0704569756014,11.556776257226925,0.024873828406632992,-0.02209272540983609,0.215587442486918,2.671203393743618
资产等权配置,0.1846648886789788,0.06269641238344469,2.9453820666737305,260,0.573076923076923,-0.06062705787891831,0.053797790158487756,3.4325738684610996,-1.0845480387529953,0.018241086766232633,-0.020941521264346157,-859.5687179474471,11.55681365737662,0.018241086766232633,-0.020941521264346157,-0.061924169019285914,4.26967437586298
风险平价配置,0.2901654315989475,0.14777703613465035,1.9635353312578063,260,0.5346153846153846,-0.18409083091843037,0.13858942189727005,2.0937054764109897,-1.1409311249125937,0.04841214151367853,-0.05754036325395415,-364.6548588911452,11.555057488385593,0.04841214151367853,-0.05754036325395415,-0.06605311815821464,7.107255857339471
