省份名称,省份简称或者是直辖市,现存确诊,累计确诊,治愈,死亡
,雅安,0,7,7,0
,广元,0,6,6,0
,资阳,0,4,4,0
,乐山,0,3,3,0
,阿坝州,0,1,1,0
云南省,云南,5,184,177,2
,境外输入,5,10,5,0
,昆明,0,53,53,0
,昭通,0,25,25,0
,西双版纳,0,15,14,1
,玉溪,0,14,13,1
,曲靖,0,13,13,0
,大理州,0,13,13,0
,红河州,0,9,9,0
,保山,0,9,9,0
,丽江,0,7,7,0
,德宏州,0,5,5,0
,普洱,0,4,4,0
,楚雄州,0,4,4,0
,文山州,0,2,2,0
,临沧,0,1,1,0
辽宁省,辽宁,4,146,140,2
,境外输入,2,21,19,0
,大连,1,18,17,0
,抚顺市,1,1,0,0
,沈阳,0,28,28,0
,锦州,0,12,12,0
,葫芦岛,0,12,11,1
,丹东,0,11,11,0
,盘锦,0,11,11,0
,阜新,0,8,8,0
,铁岭,0,7,7,0
,朝阳,0,6,5,1
,鞍山,0,4,4,0
,本溪,0,3,3,0
,辽阳,0,3,3,0
,营口,0,1,1,0
吉林省,吉林,4,102,97,1
,吉林市,3,9,6,0
,长春,1,47,46,0
,四平市,0,15,14,1
,辽源,0,7,7,0
,延边,0,7,7,0
,公主岭,0,6,6,0
,通化,0,6,6,0
,松原,0,2,2,0
,梅河口,0,2,2,0
,白城,0,1,1,0
重庆市,重庆,3,579,570,6
,境外输入,3,3,0,0
,万州区,0,118,114,4
,江北区,0,28,28,0
,云阳县,0,25,25,0
,合川区,0,23,23,0
,綦江区,0,23,23,0
,长寿区,0,22,22,0
,奉节县,0,22,22,0
,九龙坡区,0,21,20,1
,开州区,0,21,20,1
,忠县,0,21,21,0
,渝中区,0,20,20,0
,垫江县,0,20,20,0
,潼南区,0,18,18,0
,渝北区,0,17,17,0
,两江新区,0,17,17,0
,南岸区,0,15,15,0
,石柱县,0,15,15,0
,大足区,0,14,14,0
,巫溪县,0,14,14,0
,铜梁区,0,10,10,0
,丰都县,0,10,10,0
,巫山县,0,10,10,0
,沙坪坝区,0,9,9,0
,璧山区,0,9,9,0
,荣昌区,0,9,9,0
,大渡口区,0,7,7,0
,巴南区,0,6,6,0
,涪陵区,0,5,5,0
,永川区,0,5,5,0
,江津区,0,4,4,0
,梁平区,0,4,4,0
,高新区,0,4,4,0
,黔江区,0,2,2,0
,城口县,0,2,2,0
,彭水县,0,2,2,0
,武隆区,0,1,1,0
,秀山县,0,1,1,0
,酉阳县,0,1,1,0
,万盛经开区,0,1,1,0
湖南省,湖南,1,1019,1014,4
,境外输入,1,1,0,0
,长沙,0,242,240,2
,岳阳,0,156,155,1
,邵阳,0,102,101,1
,常德,0,82,82,0
,株洲,0,80,80,0
,娄底,0,76,76,0
,益阳,0,60,60,0
,衡阳,0,48,48,0
,永州,0,44,44,0
,怀化,0,40,40,0
,郴州,0,39,39,0
,湘潭,0,36,36,0
,湘西自治州,0,8,8,0
,张家界,0,5,5,0
安徽省,安徽,1,991,984,6
,淮北,1,28,27,0
,合肥,0,174,173,1
,蚌埠,0,160,155,5
,阜阳,0,155,155,0
,亳州,0,108,108,0
,安庆,0,83,83,0
,六安,0,69,69,0
,宿州,0,41,41,0
,马鞍山,0,38,38,0
,芜湖,0,34,34,0
,铜陵,0,29,29,0
,淮南,0,27,27,0
,池州,0,17,17,0
,滁州,0,13,13,0
,黄山,0,9,9,0
,宣城,0,6,6,0
陕西省,陕西,1,256,252,3
,境外输入,1,11,10,0
,西安,0,120,117,3
,安康,0,26,26,0
,汉中,0,26,26,0
,咸阳,0,17,17,0
,渭南,0,15,15,0
,宝鸡,0,13,13,0
,延安,0,8,8,0
,铜川,0,8,8,0
,商洛,0,7,7,0
,榆林,0,3,3,0
,韩城,0,1,1,0
,杨凌,0,1,1,0
贵州省,贵州,1,147,144,2
,境外输入,1,1,0,0
,贵阳,0,36,35,1
,遵义,0,32,32,0
,毕节,0,23,23,0
,黔南州,0,17,17,0
,六盘水,0,10,9,1
,铜仁,0,10,10,0
,黔东南州,0,10,10,0
,安顺,0,4,4,0
,黔西南州,0,4,4,0
河南省,河南,0,1276,1254,22
,信阳,0,274,272,2
,郑州,0,157,152,5
,南阳,0,156,153,3
,驻马店,0,139,139,0
,商丘,0,91,88,3
