Date,Open,High,Low,Close,Turnover
 2019-01-16,183.08,188.3,180.5,184.94,2347343
 2019-01-17,185.9,188.5,183.5,185.8,1636512
 2019-01-18,186.29,194.44,186.29,193.35,2208405
 2019-01-21,193.35,195.89,190.5,191.5,1996341
 2019-01-22,191.81,191.81,186.38,187.51,1199238
 2019-01-23,186.49,189.4,186.02,188.5,889654
 2019-01-24,188.38,190.5,182,189.2,1441648
 2019-01-25,187.8,191.85,187.18,190,1178307
 2019-01-28,190,192.97,184.8,187,1432467
 2019-01-29,185.2,189.68,185.19,186.88,1364537
 2019-01-30,186.46,189.28,183.33,184.18,996545
 2019-01-31,185.08,186.99,183.38,185.87,1089709
 2019-02-01,186,195.8,186,194.69,2091468
 2019-02-11,193.77,204.87,193.7,202.23,2166194
 2019-02-12,201.64,207.74,201.11,206.85,1773423
 2019-02-13,207.99,213.88,206.61,212,2058930
 2019-02-14,210.1,213,208.52,210.14,1348813
 2019-02-15,211.29,212.99,206.04,206.84,1529991
 2019-02-18,208.5,218,208.5,216.49,1753041
 2019-02-19,216.4,218.66,209.11,209.7,1987615
 2019-02-20,210.4,213,206.01,208.74,1798669
 2019-02-21,208.5,211.87,205.5,205.5,1887391
 2019-02-22,205.41,226.05,205.3,226.05,3832848
 2019-03-07,248.66,248.66,248.66,248.66,404378
 2019-03-08,273.53,273.53,273.53,273.53,363973
 2019-03-11,288.22,290,260,285.46,11857148
 2019-03-12,282.01,288,275.4,278.99,4393092
 2019-03-13,278.5,278.6,265.51,271.92,3846265
 2019-03-14,274,284.49,271.99,280,3593079
 2019-03-15,279.97,292.9,275,288.99,2987444
 2019-03-18,288.57,302.8,288.5,302,4345223
 2019-03-19,297.95,299.99,291.4,293.99,2415615
 2019-03-20,292,293,283.03,288.75,2070238
 2019-03-21,288.19,297.26,285.98,295.2,2213723
 2019-03-22,292.1,298.63,286,295.3,1540988
 2019-03-25,289,303.33,288.02,291.3,1891496
 2019-03-26,291.58,296.7,283.1,284.9,1584525
 2019-03-27,300.17,309.8,296.18,306.52,4228580
 2019-03-28,304,311.94,302.7,306.99,2176246
 2019-03-29,305.93,319,305.08,316.99,2645504
 2019-04-01,314,324.9,314,323.09,2645921
 2019-04-02,324,324,309.02,311.12,2649914
 2019-04-03,311,314,305,309.29,1977874
 2019-04-04,308.99,311,304.5,308.49,1613242
 2019-04-08,308.49,311.89,304.11,307.88,2057379
 2019-04-09,308.6,308.88,303.5,306,1439519
 2019-04-10,307.14,316.27,303.8,313.49,2283592
 2019-04-11,315,315,301.51,302.95,1711919
 2019-04-12,301.32,304.87,295,297.51,1639699
 2019-04-15,300.8,309.02,297.77,299.71,2086111
 2019-04-16,299.64,303.43,295.06,303.38,1882705
 2019-04-17,300,304.43,297.38,299.79,1241811
 2019-04-18,302.1,310,300,309.51,1862861
 2019-04-19,313.01,318.36,305.05,311.25,1898608
 2019-04-22,311,311.2,299.1,299.8,2025140
 2019-04-23,299.68,303.6,298.8,299.85,1040165
 2019-04-24,301,304.9,298.5,304,1330495
 2019-04-25,302.1,307.98,300.5,302,1066629
 2019-04-26,300.38,305.98,296.56,303.2,1109587
 2019-04-29,302,315.85,302,310.12,2056249
 2019-04-30,310.12,313.08,302.21,304.01,1565252
 2019-05-06,296,298.66,288.11,290.5,1983313
 2019-05-07,291.02,300.87,291.02,295.21,1895897
 2019-05-08,290,300.38,289,295.03,1742245
 2019-05-09,295,299.48,280.12,281.03,2522939
 2019-05-10,286,296.32,284,295.87,2224336
 2019-05-13,294.17,301.5,293.63,297.3,1360045
 2019-05-14,294.85,304,293.13,299.09,1405852
 2019-05-15,301.53,311.16,301.34,310.38,1946945
 2019-05-16,309,321.4,306.67,318.78,1711674
 2019-05-17,316.96,317,304.68,306.5,1567416
 2019-05-20,306,307,293.9,296.48,1561940
 2019-05-21,297.05,305.8,294,305.8,1645333
 2019-05-22,305.77,309.9,299.02,306,1159571
 2019-05-23,305.01,307.68,299.76,300.1,984995
 2019-05-24,300,303.9,294.58,297,1197608
 2019-05-27,297.89,301.6,292.39,297.02,1528999
 2019-05-28,296,302.96,295.36,300.59,1278614
 2019-05-29,301.5,305.7,296.23,303.5,1369548
 2019-05-30,300.4,304.8,296.97,302.76,1387725
 2019-05-31,302.76,319.3,300.02,315.85,2499979
 2019-06-03,315,317.75,310.85,316.22,1719990
 2019-06-04,315.13,316.17,299,304.16,2790720
 2019-06-05,306.67,307.67,291.16,292.88,3079388
