Date,Open,High,Low,Close,Turnover
 2019-06-06,297.78,301.98,268.01,292.65,2975176
 2019-06-10,292.93,299.99,285.02,292.88,1785724
 2019-06-11,290.81,300.98,290.6,298.71,2244499
 2019-06-12,297.99,298.78,293.01,296,1384630
 2019-06-13,296.01,301.9,289.88,298.99,1766128
 2019-06-14,301.8,309.94,300,303.95,2187885
 2019-06-17,301.99,305.99,297.68,302.1,1243645
 2019-06-18,301.89,302.21,297,301.9,980763
 2019-06-19,308,311.82,306.11,307.85,1824520
 2019-06-20,306.5,325.15,306.5,324,2810362
 2019-06-21,324.09,325.7,317.2,318.61,1820856
 2019-06-24,318.88,328.32,317.2,324.8,1383199
 2019-06-25,323.1,327.45,318.25,327,1161619
 2019-06-26,327,336.7,323.14,333.14,1746644
 2019-06-27,332.8,341.4,332.15,334.55,1712480
 2019-06-28,339.9,340,335.68,338,1155951
 2019-07-01,343.01,354.5,341.44,350.6,1887510
 2019-07-02,350.02,356.62,344.88,348.3,1830355
 2019-07-03,346.11,347.88,331.66,335.8,2880325
 2019-07-04,336.8,338.88,325.2,325.6,2155237
 2019-07-05,328.8,346.18,327.4,343.15,3028344
 2019-07-08,332.12,338.9,322.02,332,2994021
 2019-07-09,331.19,335.87,327.66,330.15,1378865
 2019-07-10,333.99,337.99,328.46,334.97,1295073
 2019-07-11,334,337.05,328.03,331.68,1407725
 2019-07-12,329.69,339.09,329,336,1159532
 2019-07-15,334.95,334.95,328.81,331.38,1282027
 2019-07-16,331,332.88,323.26,325.55,1973178
 2019-07-17,324.47,330.09,324.15,326.32,1227527
 2019-07-18,326.6,329.8,324.03,326.25,818218
 2019-07-19,327.5,329,323.2,326.23,851774
 2019-07-22,326.23,330.33,322,326.8,1056018
 2019-07-23,326.66,326.66,316,319.94,1450226
 2019-07-24,320.81,333.98,320.81,332.02,1820500
 2019-07-25,331.44,334.7,327.39,329.18,1352411
 2019-07-26,327.04,339.55,327.02,337.8,1464084
 2019-07-29,338.9,339.63,331.3,334.69,1095484
 2019-07-30,334.58,337.98,332.01,334.96,841314
 2019-07-31,334,335.37,331.01,332,755350
 2019-08-01,332.57,333.8,327.41,329.3,969761
 2019-08-02,322.02,333,322.02,332.81,1482362
 2019-08-05,331.5,331.68,324.12,325.41,1157116
 2019-08-06,320.74,330.9,319.02,328.2,1290818
 2019-08-07,330.5,335.56,327.21,334.48,1273282
 2019-08-08,334.48,341.6,334.35,340.5,1571149
 2019-08-09,343.9,351,341,344.15,1705549
 2019-08-12,344.89,347.01,336.43,344.07,1512208
 2019-08-13,330,335,324.3,331.01,4217836
 2019-08-14,333.4,344,329.11,339,2578491
 2019-08-15,336,338.9,330.22,333.45,1805022
 2019-08-16,333.15,337.5,326.61,333.62,2007546
 2019-08-19,335.9,336.6,325.99,333.5,2861836
 2019-08-20,331.33,331.33,319.05,325.13,3830168
 2019-08-21,322.6,331.3,322.58,327.01,1915449
 2019-08-22,327.29,328.88,323.27,326.68,1411075
 2019-08-23,326.7,347.5,323,346.3,3963989
 2019-08-26,345.2,364.95,345.2,355.11,3375803
 2019-08-27,356,359.41,351.79,353,1563273
 2019-08-28,354.8,354.98,346.5,350,1532699
 2019-08-29,350.53,352.22,347.23,352,1387551
 2019-08-30,352.68,361.87,350,351.65,1624480
 2019-09-02,350.97,356,346.5,352,1661573
 2019-09-03,351.9,355.55,349.12,350.75,1456370
 2019-09-04,351.99,353.78,346.78,349.88,1537010
 2019-09-05,353.5,360.5,350,352,1967857
 2019-09-06,354.5,359.61,348,359.6,1844240
 2019-09-09,360.61,372.13,356.01,368.02,2400809
 2019-09-11,370.44,378.79,357,357.3,2446536
 2019-09-12,360,367.89,358.66,365.47,1602100
 2019-09-16,366.23,371.06,363,370.01,1226195
 2019-09-17,371.8,378.59,370.01,374,1356857
 2019-09-18,374.3,385,374.3,383,1664030
 2019-09-19,383.81,387.5,379.18,382.31,1257660
 2019-09-20,385,385.2,380,384.21,984986
 2019-09-23,383.5,383.5,376.55,382.5,856847
 2019-09-24,383.18,400,383.17,398.19,1567679
 2019-09-25,398.3,399.97,394.3,394.5,953141
 2019-09-26,395.89,406.58,389.46,395.68,1597523
 2019-09-27,396.85,404.18,385.15,401.84,1352050
 2019-09-30,400.4,404.86,392.02,394.36,1303680
 2019-10-08,395,401.4,392.57,393.85,1193617
 2019-10-09,394.02,395,384.77,388,1634141
 2019-10-10,389.64,401.96,387.25,399.01,1956295
 2019-10-11,399.16,402.78,397.08,401.08,1247299
 2019-10-14,406,406.46,393.87,395.05,1764060
 2019-10-15,395.04,399.3,390.3,395,1251475
 2019-10-16,396.5,416.5,396,412.3,2532829
 2019-10-17,411,415,407.5,412.4,1097905
 2019-10-18,417,425,413,415.02,1528042
 2019-10-21,416.5,419,402.5,407.56,1666284
 2019-10-22,412,417,410,417,1415313
 2019-10-23,417.03,422,405.2,407.28,1513637
 2019-10-24,427,430,413.77,418.97,3277598
 2019-10-25,418.62,425.37,415.21,422.17,1680690
 2019-10-28,423.01,437.37,419.1,436.18,2208138
 2019-10-29,434.76,451.45,434.76,448.61,1859124
 2019-10-30,449.8,449.99,442,446.5,1417126
 2019-10-31,448,458,448,455.21,1574964
 2019-11-01,456,477.5,450,475.8,2087922
 2019-11-04,475.5,479.5,472,474.76,1734303
 2019-11-05,474.7,481.99,471.01,477.3,1554025
 2019-11-06,477,485.96,475.05,476.6,1324851
 2019-11-07,476.6,479,470,478.6,1394295
 2019-11-08,484,486.7,473.01,476.42,1297277
 2019-11-11,473.7,479.5,464.14,464.14,2182783
 2019-11-12,465.99,475.59,461.13,471.92,1815067
 2019-11-13,472.95,494,472.94,494,2560397
 2019-11-14,494.44,496,490.5,494.04,1674979
 2019-11-15,494.12,496.76,483.96,485.9,1568561
 2019-11-18,485.9,485.9,466.07,478,2708680
 2019-11-19,478,495.5,475.31,483.93,2186978
 2019-11-20,486,491.98,483,486.9,1499205
 2019-11-21,487.5,488.99,474.3,477.96,1723074
 2019-11-22,480.01,483.45,441.58,453.88,4340616
 2019-11-25,453,462.12,431,457,4189313
 2019-11-26,465,466,455.55,462.85,2697261
 2019-11-27,464,465,455,456.99,2054909
 2019-11-28,459.88,464.11,451.23,463.73,1525847
 2019-11-29,461,461,426,439,3701148
 2019-12-02,431.01,434.8,420,429.8,4516815
 2019-12-03,426.55,426.96,410,420.9,4032966
 2019-12-04,425,437.53,420.1,435.17,3077483
 2019-12-05,437.27,450,435.88,444.9,2251364
 2019-12-06,450,452.02,440.02,445.99,1697357
 2019-12-09,446,446.28,421.01,428.98,3251324
 2019-12-10,424.45,440.68,424.02,438,2294299
 2019-12-11,439.8,441.61,435,440.09,1237092
 2019-12-12,442,443.37,431,433.68,1823635
 2019-12-13,431.51,446.65,431.51,445,2255876
 2019-12-16,451.37,462,448.72,454.48,2821814
 2019-12-17,453.9,453.9,438.01,444.97,3058931
 2019-12-18,441.95,442,431.69,433.87,2581383
 2019-12-19,432.86,436.87,423.36,433.9,1696509
 2019-12-20,434.77,434.77,423.57,424.47,1788003
 2019-12-23,422.11,433.88,422.11,423.85,1629071
 2019-12-24,425,425.94,415.36,421.94,1660342
 2019-12-25,418.84,428.95,415.53,425.55,1491324
 2019-12-26,427.98,428.5,423.2,426.69,1203894
 2019-12-27,438,443.33,431.35,435,3063041
 2019-12-30,434.9,439.07,422.37,435.89,1846183
 2019-12-31,436.87,452.82,434.63,447,2562568
 2020-01-02,453,453.32,441.95,442.4,2159454
 2020-01-03,460,473.37,456.09,472,4610905
 2020-01-06,470.11,490.5,470.03,475.63,3534207
 2020-01-07,477.74,490.27,474,489.78,2162443
 2020-01-08,484.3,491,480.1,488.35,1372558
 2020-01-09,490,492.94,483.1,488.4,1748284
 2020-01-10,490.8,500.08,487.12,496,2242714
 2020-01-13,493.7,499.98,491.5,493.86,1745281
 2020-01-14,492,492.99,468,468.3,3896822
 2020-01-15,469.77,490.99,468.7,486.7,2286118
 2020-01-16,488,492,478.01,488.51,1551885
 2020-01-17,491,502.96,487.6,493,2118064
 2020-01-20,499.44,515,495.52,513.11,1988065
 2020-01-21,512,526,506.32,511.7,1904955
 2020-01-22,513.1,520.86,503.4,517,1791850
 2020-01-23,519.97,523,493.05,498,2307824
 2020-02-03,452,477.95,448.2,448.2,4186384
 2020-02-04,455.31,474,452.32,471,3430183
 2020-02-05,471.9,473.7,458.39,466.55,3824157
 2020-02-06,467.9,487.46,462.3,478,3620728
 2020-02-07,477,483.16,465.7,472.51,2585048
 2020-02-10,471.61,471.61,458.88,467.25,2546771
 2020-02-11,467.99,486.6,465.48,483.83,2918121
 2020-02-12,482,485.08,474,483.5,2234769
 2020-02-13,480.27,480.98,465.2,469.3,2941101
 2020-02-14,469.8,470.38,458.01,462.45,3189150
 2020-02-17,460.99,464.23,454.1,463.44,3890577
 2020-02-18,463.79,470.99,457.55,465.35,3220155
 2020-02-19,465,476,456,472.18,3672294
 2020-02-20,475.51,493.5,470.13,490.62,4214526
 2020-02-21,486.26,493.24,483.2,489,2680423
 2020-02-24,483.8,486.97,469.19,472.57,3806478
 2020-02-25,465,478.21,463.57,472.58,3024018
 2020-02-26,465.5,475.46,462.9,472,2656742
 2020-02-27,475,492.4,470.01,484.3,3101875
 2020-02-28,482.06,508,479,484,4557048
 2020-03-02,487,496.68,468.28,486,3617599
 2020-03-03,491.58,515,487.09,514.2,4287445
 2020-03-04,513.9,513.95,505.1,512.92,2165100
 2020-03-05,510,534.5,507.79,532.1,3341780
 2020-03-06,530.99,544.4,525,528,2186683
 2020-03-09,519.11,527.95,506.71,511.09,2835972
 2020-03-10,509.91,519.14,498.78,514.35,2398563
 2020-03-11,513,523,510.08,513.99,1648496
 2020-03-12,507.9,507.9,484,486.99,3046006
 2020-03-13,460.02,490,456.78,483.92,2536807
 2020-03-16,484,488.6,451.5,453,2741076
 2020-03-17,458.08,469.88,444.28,460.21,3404626
 2020-03-18,466,478.6,456.11,457,2670978
 2020-03-19,453.1,468,434.5,447.31,3614235
 2020-03-20,455,474.15,447.5,463,2596113
 2020-03-23,457,469.5,451,460.11,1952851
 2020-03-24,470,480.61,467,479,2431078
 2020-03-25,490,503.12,485.11,502.9,2774818
 2020-03-26,502.9,502.9,502.9,502.9,0
