date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-04-28,93,良,65,136,20,0.7,47,101
2014-04-29,61,良,39,73,8,0.6,30,110
2014-04-30,88,良,53,94,12,0.8,52,146
2014-05-01,109,轻度污染,82,153,25,1.1,66,129
2014-05-02,85,良,47,119,14,0.6,45,83
2014-05-03,95,良,65,139,13,0.7,53,49
2014-05-04,73,良,42,96,12,0.6,44,97
2014-05-05,79,良,31,73,10,0.5,29,135
2014-05-06,101,轻度污染,61,112,18,0.8,54,161
2014-05-07,180,中度污染,136,208,19,1.2,80,203
2014-05-08,185,中度污染,140,208,22,1.4,90,120
2014-05-09,152,中度污染,117,156,19,1,61,103
2014-05-10,61,良,39,62,9,0.8,41,113
2014-05-11,77,良,41,74,6,0.7,43,132
2014-05-12,113,轻度污染,85,150,25,0.9,54,162
2014-05-13,131,轻度污染,99,147,23,1,58,126
2014-05-14,118,轻度污染,90,132,9,1.1,70,91
2014-05-15,60,良,31,70,13,0.6,47,101
2014-05-16,92,良,67,121,14,0.7,51,150
2014-05-17,143,轻度污染,109,172,20,0.9,47,189
2014-05-18,143,轻度污染,110,146,11,0.8,33,176
2014-05-19,100,良,71,113,9,0.8,37,160
2014-05-20,97,良,73,144,16,0.8,60,123
2014-05-21,108,轻度污染,81,121,7,0.8,44,153
2014-05-22,98,良,74,113,14,0.9,59,117
2014-05-23,78,良,57,89,7,0.8,42,87
2014-05-24,76,良,41,69,10,0.9,53,131
2014-05-25,86,良,59,122,9,0.4,35,76
2014-05-26,89,良,56,128,14,0.5,40,141
2014-05-27,124,轻度污染,90,198,24,0.7,57,112
2014-05-28,132,轻度污染,99,203,16,0.9,62,195
2014-05-29,105,轻度污染,79,126,12,0.8,55,151
2014-05-30,148,轻度污染,85,151,20,0.9,60,213
2014-05-31,184,中度污染,93,135,11,0.8,36,249
2014-06-01,166,中度污染,99,147,16,0.9,39,231
2014-06-02,161,中度污染,123,189,31,1.2,59,162
2014-06-03,74,良,51,77,17,0.9,36,129
2014-06-04,43,优,20,34,8,0.6,34,85
2014-06-05,61,良,42,71,17,0.9,54,103
2014-06-06,78,良,42,69,7,0.8,46,134
2014-06-07,94,良,52,94,13,0.8,43,153
2014-06-08,65,良,47,76,10,0.7,35,112
2014-06-09,66,良,48,76,10,0.9,54,66
2014-06-10,58,良,37,66,11,0.9,58,47
2014-06-11,67,良,46,83,16,0.9,67,44
2014-06-12,54,良,34,58,7,0.6,39,79
2014-06-13,56,良,40,59,8,0.7,37,78
2014-06-14,58,良,36,58,15,0.9,46,109
2014-06-15,66,良,48,79,14,1,44,99
2014-06-16,71,良,41,69,17,1,44,125
2014-06-17,110,轻度污染,44,73,16,0.9,48,171
2014-06-18,111,轻度污染,55,92,14,1,56,172
2014-06-19,75,良,44,75,19,0.8,34,130
2014-06-20,49,优,24,49,12,0.7,43,87
2014-06-21,96,良,30,53,8,0.6,40,155
2014-06-22,54,良,31,54,6,0.7,41,105
2014-06-23,48,优,32,48,13,0.7,37,94
2014-06-24,36,优,23,36,11,0.8,34,52
2014-06-25,84,良,25,43,12,0.9,44,141
2014-06-26,69,良,30,52,9,1,51,123
2014-06-27,68,良,49,85,12,1.1,63,89
2014-06-28,84,良,62,109,17,1.4,63,69
2014-06-29,45,优,27,45,11,0.8,41,89
2014-06-30,50,优,29,50,15,0.8,49,73
2014-07-01,53,良,22,37,8,0.5,32,104
2014-07-02,63,良,30,53,8,0.6,39,115
2014-07-03,78,良,45,82,16,0.9,60,134
2014-07-04,98,良,62,105,13,0.9,61,157
2014-07-05,70,良,44,77,12,0.7,48,124
2014-07-06,80,良,59,93,9,1,61,92
2014-07-07,62,良,45,70,13,0.9,50,62
2014-07-08,87,良,56,86,11,0.9,50,144
2014-07-09,55,良,33,48,13,0.8,32,106
2014-07-10,27,优,11,21,10,0.6,29,54
2014-07-11,43,优,21,41,12,0.8,44,85
2014-07-12,47,优,26,47,9,0.8,43,92
2014-07-13,75,良,31,60,19,0.7,44,130
2014-07-14,76,良,26,55,11,0.6,32,131
2014-07-15,56,良,29,56,11,0.6,31,107
2014-07-16,79,良,41,71,12,0.7,35,135
2014-07-17,89,良,53,95,13,0.9,53,147
2014-07-18,103,轻度污染,60,111,20,1,60,163
2014-07-19,72,良,30,56,10,0.7,35,126
2014-07-20,53,良,33,56,12,0.8,33,83
2014-07-21,64,良,43,77,17,1,42,110
2014-07-22,97,良,34,62,19,0.9,44,156
2014-07-23,82,良,27,57,13,0.8,41,138
2014-07-24,60,良,16,33,7,0.7,35,112
2014-07-25,98,良,33,73,13,1.1,56,157
2014-07-26,98,良,44,89,11,1.1,61,158
2014-07-27,122,轻度污染,62,116,15,1.1,60,184
2014-07-28,74,良,54,88,11,1.1,60,120
2014-07-29,104,轻度污染,68,116,19,1.5,79,164
2014-07-30,102,轻度污染,76,125,13,1.4,71,129
2014-07-31,43,优,24,43,9,0.8,40,74
2014-08-01,63,良,36,54,7,0.8,37,116
2014-08-02,98,良,43,72,10,1,48,157
2014-08-03,69,良,51,87,8,1.2,64,114
2014-08-04,75,良,37,63,11,0.8,38,130
2014-08-05,93,良,43,70,13,0.9,43,152
2014-08-06,93,良,51,78,28,1,43,151
2014-08-07,55,良,21,33,9,0.7,27,106
2014-08-08,32,优,19,32,9,0.7,27,63
2014-08-09,28,优,15,28,6,0.8,33,50
2014-08-10,108,轻度污染,45,76,20,1.3,47,169
2014-08-11,68,良,21,42,13,0.9,38,122
2014-08-12,54,良,31,58,10,0.9,40,100
2014-08-13,98,良,37,61,14,0.9,55,158
2014-08-14,96,良,48,87,14,1,62,155
2014-08-15,67,良,48,84,13,0.9,58,111
2014-08-16,70,良,51,87,13,0.9,53,74
2014-08-17,70,良,51,85,18,0.9,45,58
2014-08-18,76,良,34,54,11,0.9,44,131
2014-08-19,68,良,40,71,14,1,45,122
2014-08-20,68,良,49,83,17,1,45,90
2014-08-21,58,良,41,65,13,0.9,44,68
2014-08-22,50,优,34,50,7,0.8,41,82
2014-08-23,85,良,32,51,6,0.9,43,142
2014-08-24,77,良,46,86,17,1.1,54,132
2014-08-25,78,良,58,103,17,1.2,59,89
2014-08-26,52,良,33,54,13,0.9,40,51
2014-08-27,57,良,22,35,5,0.7,33,108
2014-08-28,46,优,25,42,8,0.7,35,91
2014-08-29,49,优,29,48,8,0.7,34,98
2014-08-30,67,良,48,77,15,1,47,77
2014-08-31,78,良,37,67,14,1,46,133
2014-09-01,45,优,23,45,17,0.8,37,69
2014-09-02,52,良,29,54,11,0.9,50,64
2014-09-03,86,良,64,116,17,1.5,69,40
2014-09-04,86,良,40,68,13,0.9,48,143
2014-09-05,65,良,47,80,12,0.9,51,94
2014-09-06,92,良,69,118,20,1.1,59,52
2014-09-07,55,良,35,59,17,0.8,35,59
2014-09-08,58,良,38,67,16,1,42,88
2014-09-09,60,良,43,69,19,1,37,94
2014-09-10,58,良,35,61,21,0.9,37,109
2014-09-11,61,良,44,70,15,0.9,34,92
2014-09-12,47,优,19,36,16,0.7,33,93
2014-09-13,56,良,33,62,17,0.9,40,64
2014-09-14,38,优,21,38,12,0.8,34,55
2014-09-15,56,良,33,61,13,1,46,55
2014-09-16,55,良,35,60,13,1.2,48,38
2014-09-17,43,优,24,43,10,1.2,45,37
2014-09-18,31,优,19,31,11,1,42,57
2014-09-19,55,良,35,61,13,1.1,49,79
2014-09-20,52,良,30,53,6,1,47,56
2014-09-21,64,良,46,71,13,1,45,55
