﻿,食物名,能量/kcal,硫胺素/mg,钙/mg,蛋白质/g,核黄素/mg,镁/mg,脂肪/g,烟酸/mg,铁/mg,碳水化合物/g,维生素C/mg,锰/mg,膳食纤维/g,维生素E/mg,锌/mg,维生素A/微克,胆固醇/mg,铜/mg,胡萝卜素/微克,钾/mg,磷/mg,视黄醇当量/微克,钠/mg,硒/微克,元/斤
32,黄瓜[胡瓜],15,0.02,24,0.8,0.03,15,0.2,0.2,0.5,2.4,9,0.06,0.5,0.49,0.18,15,0,0.05,0.3,102,24,95.8,4.9,0.38,0.88
33,苦瓜[凉瓜，癞瓜],19,0.03,14,1,0.03,18,0.1,0.4,0.7,3.5,56,0.16,1.4,0.85,0.36,17,0,0.06,0.6,256,35,93.4,2.5,0.36,10.80
34,南瓜[倭瓜，番瓜],22,0.03,16,0.7,0.04,8,0.1,0.4,0.4,4.5,8,0.08,0.8,0.36,0.14,148,0,0.03,0.4,145,24,93.5,0.8,0.46,18.00
35,金丝瓜[裸瓣瓜],37,0.02,25,3.3,0.03,13,2,0.7,0.3,1.4,1,0.11,0.8,0.01,1.77,2,0,0.13,0.8,90,28,91.7,2,0.76,1.50
36,西葫芦,18,0.01,15,0.8,0.03,9,0.2,0.2,0.3,3.2,6,0.04,0.6,0.34,0.12,5,0,0.03,0.3,92,17,94.9,5,0.28,2.10
37,大蒜[蒜头],126,0.04,39,4.5,0.06,21,0.2,0.6,1.2,26.5,7,0.29,1.1,1.07,0.88,5,0,0.22,1.1,302,117,66.6,19.6,3.09,0.48
38,洋葱[葱头],39,0.03,24,1.1,0.03,15,0.2,0.3,0.6,8.1,8,0.14,0.9,0.14,0.23,3,0,0.05,0.5,147,39,89.2,4.4,0.92,1.60
39,韭菜,26,0.02,42,2.4,0.09,25,0.4,0.8,1.6,3.2,24,0.43,1.4,0.96,0.43,235,0,0.08,0.8,247,38,91.8,8.1,1.38,
40,大白菜(均值),17,0.04,50,1.5,0.05,11,0.1,0.6,0.7,2.4,31,0.15,0.8,0.76,0.38,20,0,0.05,0.6,0,31,94.6,57.5,0.49,0.60
41,小白菜,15,0.02,90,1.5,0.09,18,0.3,0.7,1.9,1.6,28,0.27,1.1,0.7,0.51,280,0,0.08,1,178,36,94.5,73.5,1.17,0.30
42,菜花[花椰菜],24,0.03,23,2.1,0.08,18,0.2,0.6,1.1,3.4,61,0.17,1.2,0.43,0.38,5,0,0.05,0.7,200,47,92.4,31.6,0.73,0.90
43,菠菜[赤根菜],24,0.04,66,2.6,0.11,58,0.3,0.6,2.9,2.8,32,0.66,1.7,1.74,0.85,487,0,0.1,1.4,311,47,91.2,85.2,0.97,49.00
44,芹菜茎,20,0.02,80,1.2,0.06,18,0.2,0.4,1.2,3.3,8,0.16,1.2,1.32,0.24,57,0,0.09,1,206,38,93.1,159,0.57,4.50
45,香菜[芫荽],31,0.04,101,1.8,0.14,33,0.4,2.2,2.9,5,48,0.28,1.2,0.8,0.45,193,0,0.21,1.1,272,49,90.5,48.5,0.53,4.50
46,藕粉,372,0,8,0.2,0.01,2,0,0.4,17.9,92.9,0,0.28,0.1,0,0.15,0,0,0.22,0.4,35,9,6.4,10.8,2.1,2.30
47,芋头[芋艿，毛芋],79,0.06,36,2.2,0.05,23,0.2,0.7,1,17.1,6,0.3,1,0.45,0.49,27,0,0.37,0.9,378,55,78.6,33.1,1.45,1.20
48,姜[黄姜],41,0.02,27,1.3,0.03,44,0.6,0.8,1.4,7.6,4,3.2,2.7,0,0.34,28,0,0.14,0.8,295,25,87,14.9,0.56,7.50
49,草菇[大黑头细花草],23,0.08,17,2.7,0.34,21,0.2,8,1.3,2.7,0,0.09,1.6,0.4,0.6,0,0,0.4,0.5,179,33,92.3,73,0.02,13.00
50,金针菇[智力菇],26,0.15,0,2.4,0.19,17,0.4,4.1,1.4,3.3,2,0.1,2.7,1.14,0.39,5,0,0.14,1,195,97,90.2,4.3,0.28,6.00
51,平菇[糙皮侧耳，青蘑],20,0.06,5,1.9,0.16,14,0.3,3.1,1,2.3,4,0.07,2.3,0.79,0.61,2,0,0.08,0.7,258,86,92.5,3.8,1.07,13.00
52,落葵[木耳菜，软浆菜],20,0.06,166,1.6,0.06,62,0.3,0.6,3.2,2.8,34,0.43,1.5,1.66,0.32,337,0,0.07,1,140,42,92.8,47.2,2.6,28.00
53,香菇[香蕈，冬菇],19,0,2,2.2,0.08,11,0.3,2,0.3,1.9,1,0.25,3.3,0,0.66,0,0,0.12,0.6,20,53,91.7,1.4,2.58,6.00
54,海带[江白菜],12,0.02,46,1.2,0.15,25,0.1,1.3,0.9,1.6,0,0.07,0.5,1.85,0.16,0,0,0,2.2,246,22,94.4,8.6,9.54,3.70
55,羊肉(肥瘦)(均值),203,0.05,6,19,0.14,20,14.1,4.5,2.3,0,0,0.02,0,0.26,3.22,22,92,0.75,1.2,232,146,65.7,80.6,32.2,16.80
56,素鸡,192,0.02,319,16.5,0.03,61,12.5,0.4,5.3,3.3,0,1.12,0.9,17.8,1.74,10,0,0.27,2.5,42,180,64.3,373.8,6.73,8.00
57,鸭跖草[竹叶菜，淡竹叶],32,0.03,206,2.8,0.29,0,0.3,0.9,5.4,4.5,87,0,1.2,0,0,698,0,0,2.2,0,39,89,0,0,9.00
58,蕨麻[鹅绒委陵菜],350,0.06,123,12.6,0,0,1.4,3.3,24.4,71.8,0,0,3.2,0,0,107,0,0,3,0,334,8,0,0,15.00
59,牛乳(均值),54,0.03,104,3,0.14,11,3.2,0.1,0.3,3.4,1,0.03,0,0.21,0.42,24,15,0.02,0.6,109,73,89.8,37.2,1.94,53.00
60,酸奶(均值),72,0.03,118,2.5,0.15,12,2.7,0.2,0.4,9.3,1,0.02,0,0.12,0.53,26,15,0.03,0.8,150,85,84.7,39.8,1.71,14.00
61,奶油,879,0,14,0.7,0.01,2,97,0,1,0.9,0,0,0,1.99,0.09,297,209,0.42,0.7,226,11,0.7,268,0.7,7.20
62,鸡蛋(均值),144,0.11,56,13.3,0.27,10,8.8,0.2,2,2.8,0,0.04,0,1.84,1.1,234,0,0.15,1,154,130,74.1,131.5,14.34,5.50
63,鸭蛋,180,0.17,62,12.6,0.35,13,13,0.2,2.9,3.1,0,0.04,0,4.98,1.67,261,565,0.11,1,135,226,70.3,106,15.68,4.80
64,松花蛋(鸭蛋)[皮蛋],171,0.06,63,14.2,0.18,13,10.7,0.1,3.3,4.5,0,0.06,0,3.05,1.48,215,608,0.12,2.2,152,165,68.4,542.7,25.24,12.00
65,咸鸭蛋,190,0.16,118,12.7,0.33,30,12.7,0.1,3.6,6.3,0,0.1,0,6.25,1.74,134,647,0.14,7,184,231,61.3,2706.1,24.04,14.00
66,鹌鹑蛋,160,0.11,47,12.8,0.49,11,11.1,0.1,3.2,2.1,0,0.04,0,3.08,1.61,337,515,0.09,1,138,180,73,106.6,25.48,6.80
67,草鱼[白鲩，草包鱼],113,0.04,38,16.6,0.11,31,5.2,2.8,0.8,0,0,0.05,0,2.03,0.87,11,86,0.05,1.1,312,203,77.3,46,6.66,
68,黄鳝[鳝鱼],89,0.06,42,18,0.98,18,1.4,3.7,2.5,1.2,0,2.22,0,1.34,1.97,50,126,0.05,1.4,263,206,78,70.2,34.56,25.00
69,鲤鱼[鲤拐子],109,0.03,50,17.6,0.09,33,4.1,2.7,1,0.5,0,0.05,0,1.27,2.08,25,84,0.06,1.1,334,204,76.7,53.7,15.38,5.80
70,罗非鱼(莫桑比克)[非洲黑鲫鱼],77,0,24,16,0.28,24,1,2.5,1.1,1,0,0.14,0,0.1,0.7,7,54,0.11,1.1,338,150,80.9,66.8,0,
71,带鱼[白带鱼，刀鱼],127,0.02,28,17.7,0.06,43,4.9,2.8,1.2,3.1,0,0.17,0,0.82,0.7,29,76,0.08,1,280,191,73.3,150.1,36.57,
72,斑节对虾[草虾],103,0,59,18.6,0,63,0.8,2.4,2,5.4,0,0.22,0,1.64,1.78,82,148,1.48,1.6,363,275,73.6,168.8,28.39,23.00
73,河蟹,103,0.06,126,17.5,0.28,23,2.6,1.7,2.9,2.3,0,0.42,0,6.09,3.68,389,267,2.97,1.8,181,182,75.8,193.5,56.72,
74,鲍鱼[杂色鲍],84,0.01,266,12.6,0.16,59,0.8,0.2,22.6,6.6,0,0.4,0,2.2,1.75,24,242,0.72,2.5,136,77,77.5,2011.7,21.38,4.50
75,螺(均值),100,0.03,722,15.7,0.4,143,1.2,1.8,7,6.6,0,0.72,0,7.58,4.6,26,0,1.05,2.9,167,118,73.6,153.3,37.94,
