B站id,昵称,性别,回复内容
日本料理店呢？,25413358,重庆冬瓜,保密
删屏，真是棒的不要不要的,27218641,做GHG最忠诚的韭菜,保密
要避免上成历史课。。。历史课惹谁了？,35812952,土土土儿白,男
那家没有经营许可证的日本料理店呢？,237473247,团子的消失,保密
最烦那些装，比文艺青年了，民国情结了，呵呵。文青就是爱臆想，贴标签——一个战火纷飞纷飞的年代，非得抬一些装得深沉的高贵气质，滚吧。,67695223,二狗子的橡果子,男
别人家的老师,7572878,聆听霏雪,女
别人家的老师,20970883,肚肚孖,男
遇到一位好老师是一生之幸,24473326,Jessie膏,女
好的老师，正确的引导，应该会少很多键盘侠,23773358,泡沫M,男
到底谁特么在举报，有本事和社会现象去较劲啊，不让我说算什么本事？笑而不语，你要是有本事让我无话可说也就算了，不能实事求是也是厉害了。,899630,蛐蛐阿宅,保密
这样的课挺有意思,32690677,胖冰棍,保密
能评论吗？,52045992,火火大火鸡,保密
别人的学校，让乡下学校如何做得到[委屈],213137309,张家的沐阳,保密
第一,392913805,来自意大利的JIAO,男
回来考古日料店[微笑]咦？,8324889,大辫几啊,保密
创新一天就可以了，应试教育分数比创新重视,23562176,饺子馅团子,保密
我们也用这本书233,25217341,大白菜在狗刨,保密
