﻿视频标题,视频时长,观看人数,弹幕数,up主昵称,上传时间,视频链接,评论链接
《承诺》——我心中的思政课,11:41,1182,0,西安汽车职业大学官方,2020-08-01,https://www.bilibili.com/video/BV1VK4y1v7uQ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=884053243&sort=1
我心中的思政课,08:24,567,0,_咩了个咩了个咩,2020-08-22,https://www.bilibili.com/video/BV1854y1U7oc?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=839294456&sort=1
【高校思政课短视频大赛作品】弘扬抗疫精神，培育时代新人,04:46,1227,2,大明湖畔养猪大户,2020-10-31,https://www.bilibili.com/video/BV1G54y1r7TE?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=842613507&sort=1
全国思政课微电影大赛二等奖,08:02,5464,10,安泽羿Orz,2018-10-10,https://www.bilibili.com/video/BV1kW41117FJ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=33551356&sort=1
大学生讲思政课——从世界格局看“百年未有之大变局”,19:24,3486,0,Endosperm,2020-05-28,https://www.bilibili.com/video/BV1k5411s7Vv?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=455765411&sort=1
我心目中的思政课,10:01,64,0,李同学turbo,2020-12-27,https://www.bilibili.com/video/BV1nz4y1r7xu?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=585759320&sort=1
我心中的思政课《蜕变》,04:53,242,0,孤独孤狼宋,2020-11-30,https://www.bilibili.com/video/BV1NK4y177dC?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=885428313&sort=1
北大思政课第二集：中国共产党为什么能？,40:54,3.2万,87,北京大学,2019-11-13,https://www.bilibili.com/video/BV14J411S7HJ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=75530230&sort=1
【大一学生思政课报告短片】——《我心中的挚爱》——看看我是怎么对待思政课课堂展示的,07:31,239,0,孔米五,2020-11-12,https://www.bilibili.com/video/BV1Xy4y1r769?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=797638237&sort=1
使命与担当【“我心中的思政课”微电影作品】,08:07,822,0,狐八万,2020-10-22,https://www.bilibili.com/video/BV14D4y197ug?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=712599447&sort=1
张伯礼做客津云开讲首场“抗疫思政课”,01:36:32,1.4万,458,某人的狗啃刘海i_e,2020-05-12,https://www.bilibili.com/video/BV1kC4y1H7C1?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=795655527&sort=1
《关于当代男大学生思政课上演讲这件事》,03:30,266,43,你的刘水水,2020-09-22,https://www.bilibili.com/video/BV1Wh411X7XQ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=202128399&sort=1
【大学生讲思政课】|《思想道德修养与法律基础》,11:08,3123,0,宋凯丞,2020-05-31,https://www.bilibili.com/video/BV1sz4y1d7Nj?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=583260185&sort=1
我心中的思政课,11:21,736,0,方块史蒂夫哈,2020-05-16,https://www.bilibili.com/video/BV1fz4y1R72U?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=583145910&sort=1
【微电影】我心中的思政课,12:05,3761,0,一只螃蟹的左大钳子,2019-11-15,https://www.bilibili.com/video/BV1KJ411U7jz?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=75791869&sort=1
北大思政课第三集：中国特色社会主义为什么好？,54:43,1.5万,0,北京大学,2019-12-04,https://www.bilibili.com/video/BV1GJ411B7Wk?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=78049500&sort=1
思政课视频最终版,03:06,98,0,阿豆豆不是逗逗,2021-01-04,https://www.bilibili.com/video/BV1ey4y1v7yZ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=801088801&sort=1
大学生讲思政课【防疫大讲堂】参赛作品,11:50,6641,0,星河的魔法使,2020-04-18,https://www.bilibili.com/video/BV1nt4y127cA?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=625305854&sort=1
【微电影】我心中的思政课,12:19,858,2,阿郑很淦,2020-08-31,https://www.bilibili.com/video/BV1Bh411979H?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=201879498&sort=1
思政课微电影《生死之间》,09:58,1217,12,一叶之萌耳,2019-11-09,https://www.bilibili.com/video/BV1EE411v7xs?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=75047777&sort=1
《韶华不为少年留》——“我心中的思政课”微电影,10:55,1483,4,-西风吹不散眉弯-,2020-06-13,https://www.bilibili.com/video/BV1mD4y1D7sJ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=711003080&sort=1
你好，思政课,11:30,4,0,Jennyここ,2021-01-02,https://www.bilibili.com/video/BV1vh41117jM?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=203452139&sort=1
30年前的思政课视频：中国的优越性是什么？,05:01,3.6万,0,珂seeker,2020-03-14,https://www.bilibili.com/video/BV1AE411L74S?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=95442211&sort=1
#特辑#  “我心中的思政课”比赛作品 | 和小伙伴们的第一个微电影,06:58,6117,1,Doris只吃金毛猎犬,2018-09-13,https://www.bilibili.com/video/BV1GW411y735?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=31655615&sort=1
