电影名称,上映时间,票房(万元),平均票价,场均人次,电影链接
一条狗的使命2,2019-05-17 上映,691042,72.993537,10,http://piaofang.maoyan.com/movie/1254277
沉默的证人,2019-08-16 上映,64629,77.11667811,66,http://piaofang.maoyan.com/movie/1207237
一吻定情,2019-02-14 上映,68744,74.1147210,63,http://piaofang.maoyan.com/movie/344262
宠爱,2019-12-31 上映,68759,75.93933,76,http://piaofang.maoyan.com/movie/1279731
天·火,2019-12-12 上映,610737,73.8693,66,http://piaofang.maoyan.com/movie/1238837
海王,2018-12-07 上映,610249,73.386528,9,http://piaofang.maoyan.com/movie/249342
爱宠大机密2,2019-07-05 上映,635117,77.1034498,9,http://piaofang.maoyan.com/movie/1211345
神探蒲松龄,2019-02-05 上映,63784,511.2541010,610,http://piaofang.maoyan.com/movie/1206836
只有芸知道,2019-12-20 上映,636710,73.649974,9,http://piaofang.maoyan.com/movie/1297995
小飞象,2019-03-29 上映,65886,73.73387,4,http://piaofang.maoyan.com/movie/346765
海上钢琴师,2019-11-15 上映,65783,711.447103,4,http://piaofang.maoyan.com/movie/1292
半个喜剧,2019-12-20 上映,6511109,73.2261055,62,http://piaofang.maoyan.com/movie/1228869
我为你牺牲,2019-12-05 上映,65698,39.6237,711,http://piaofang.maoyan.com/movie/1284594
愤怒的小鸟2,2019-08-16 上映,65253,711.31088810,62,http://piaofang.maoyan.com/movie/1170287
下一任：前任,2019-05-01 上映,671188,75.71186311,62,http://piaofang.maoyan.com/movie/1228776
哆啦A梦：大雄的月球探险记,2019-06-01 上映,67656,72.694797,62,http://piaofang.maoyan.com/movie/1226516
雪人奇缘,2020-08-14 上映,6119810,78.8911665,65,http://piaofang.maoyan.com/movie/1225993
星球大战：天行者崛起,2019-12-20 上映,61110510,79.5545410,4,http://piaofang.maoyan.com/movie/443387
小猪佩奇过大年,2019-02-05 上映,611599,511.738377,64,http://piaofang.maoyan.com/movie/1233150
上海堡垒,2019-08-09 上映,611747,78.7610368,62,http://piaofang.maoyan.com/movie/342903
决胜时刻,2019-09-20 上映,611747,79.1139744,9,http://piaofang.maoyan.com/movie/1277982
廉政风云,2019-02-05 上映,611639,57.78911,63,http://piaofang.maoyan.com/movie/1215114
夏目友人帐,2019-03-07 上映,6631110,72.7116104,9,http://piaofang.maoyan.com/movie/1250341
一个母亲的复仇,2019-05-10 上映,661195,72.477225,8,http://piaofang.maoyan.com/movie/883196
小Q,2019-09-20 上映,66692,77.41085,3,http://piaofang.maoyan.com/movie/1240752
海市蜃楼,2019-03-28 上映,66244,711.52496,9,http://piaofang.maoyan.com/movie/1219670
鼠胆英雄,2019-08-02 上映,626107,73.5244210,67,http://piaofang.maoyan.com/movie/1207254
波西米亚狂想曲,2019-03-22 上映,9928,79.37488,611,http://piaofang.maoyan.com/movie/1167831
催眠·裁决,2019-10-25 上映,98106,710.6497510,8,http://piaofang.maoyan.com/movie/345397
绝杀慕尼黑,2019-06-13 上映,9646,711.262103,9,http://piaofang.maoyan.com/movie/1204589
全职高手之巅峰荣耀,2019-08-16 上映,4334,73.75981011,9,http://piaofang.maoyan.com/movie/1209269
霹雳娇娃,2019-11-15 上映,8395,711.468998,10,http://piaofang.maoyan.com/movie/342773
巨鳄风暴,2019-09-12 上映,8558,72.9241157,8,http://piaofang.maoyan.com/movie/1222078
蜘蛛侠：平行宇宙,2018-12-21 上映,871110,710.11611358,4,http://piaofang.maoyan.com/movie/1212512
被光抓走的人,2019-12-13 上映,8296,710.6948810,3,http://piaofang.maoyan.com/movie/1251281
祈祷落幕时,2019-04-12 上映,108105,711.757278,10,http://piaofang.maoyan.com/movie/1205909
风中有朵雨做的云,2019-04-04 上映,10594,73.93116311,8,http://piaofang.maoyan.com/movie/345875
猪八戒传说,2019-07-19 上映,107910,59.438595,711,http://piaofang.maoyan.com/movie/345797
人间·喜剧,2019-03-29 上映,107116,73.745553,3,http://piaofang.maoyan.com/movie/1206824
碟仙,2019-06-21 上映,3354,119.71052113,4,http://piaofang.maoyan.com/movie/1211698
古田军号,2019-08-01 上映,3599,74.35210810,5,http://piaofang.maoyan.com/movie/1242130
友情以上,2019-09-20 上映,311112,72.10117528,10,http://piaofang.maoyan.com/movie/1245196
妈阁是座城,2019-06-14 上映,36910,75.233988,10,http://piaofang.maoyan.com/movie/246973
掠食城市,2019-01-18 上映,3237,710.27310410,10,http://piaofang.maoyan.com/movie/457445
特警队,2019-12-27 上映,3278,73.34111127,10,http://piaofang.maoyan.com/movie/1237279
五月天人生无限公司,2019-05-24 上映,32116,74.7475810,3,http://piaofang.maoyan.com/movie/1233255
吹哨人,2019-12-06 上映,3265,710.1110211,10,http://piaofang.maoyan.com/movie/1227006
神奇乐园历险记,2019-04-19 上映,5886,711.9105101110,8,http://piaofang.maoyan.com/movie/1211412
你是凶手,2019-11-22 上映,5832,75.8611583,3,http://piaofang.maoyan.com/movie/346690
地久天长,2019-03-22 上映,53117,710.4115111110,8,http://piaofang.maoyan.com/movie/507792
狂暴凶狮,2019-03-22 上映,55102,119.86119910,10,http://piaofang.maoyan.com/movie/907653
钢铁飞龙之奥特曼崛起,2019-01-18 上映,55511,73.1024658,10,http://piaofang.maoyan.com/movie/1239844
铤而走险,2019-08-30 上映,55114,73.3973410,5,http://piaofang.maoyan.com/movie/1229683
亲爱的新年好,2019-12-31 上映,56411,73.4411410,68,http://piaofang.maoyan.com/movie/1298827
一生有你2019,2019-11-29 上映,5684,76.531110118,3,http://piaofang.maoyan.com/movie/246300
为爱重生,2019-07-25 上映,5284,78.10107564,34,http://piaofang.maoyan.com/movie/1291012
跳舞吧！大象,2019-07-26 上映,7963,75.8421084,3,http://piaofang.maoyan.com/movie/1226558
我的英雄学院：两位英雄,2019-03-15 上映,7488,76.5481077,10,http://piaofang.maoyan.com/movie/1220571
一条狗的回家路,2019-01-18 上映,71053,72.481034,10,http://piaofang.maoyan.com/movie/1215867
徒手攀岩,2019-09-06 上映,71056,710.248747,3,http://piaofang.maoyan.com/movie/1238399
猪猪侠·不可思议的世界,2019-07-05 上映,71066,711.1144106,10,http://piaofang.maoyan.com/movie/1234461
无所不能,2019-06-05 上映,7357,76.3118627,4,http://piaofang.maoyan.com/movie/887623
红星照耀中国,2019-08-08 上映,7563,73.2438910,5,http://piaofang.maoyan.com/movie/1263074
海林都,2019-11-21 上映,7528,55.10109793,106,http://piaofang.maoyan.com/movie/1301459
心灵的阳光,2011-12-31 上映,77611,711.1067105,106,http://piaofang.maoyan.com/movie/487449
家和万事惊,2019-01-18 上映,71182,79.9971095,8,http://piaofang.maoyan.com/movie/1216267
命运之夜——天之杯：恶兆之花,2019-01-11 上映,76104,711.66375,3,http://piaofang.maoyan.com/movie/341229
龙珠超：布罗利,2019-05-24 上映,76103,76.35577,7,http://piaofang.maoyan.com/movie/1219454
秦明·生死语者,2019-06-14 上映,119911,72.1069457,3,http://piaofang.maoyan.com/movie/1207185
命运之夜——天之杯II ：迷失之蝶,2019-07-12 上映,11982,711.669823,8,http://piaofang.maoyan.com/movie/414997
送我上青云,2019-08-16 上映,11937,73.1164953,8,http://piaofang.maoyan.com/movie/1215786
