电影名称,上映时间,票房(万元),平均票价,场均人次,电影链接
丑娃娃,2019-10-13 上映,7103,76.3251047,7,http://piaofang.maoyan.com/movie/1178432
境·界,2019-04-19 上映,7107,72.944858,6,http://piaofang.maoyan.com/movie/581264
毕业的我们,2019-08-27 上映,754,72.95781110,112,http://piaofang.maoyan.com/movie/1278495
醒来之爱的呼唤,2019-03-08 上映,755,118.9102684,67,http://piaofang.maoyan.com/movie/1262087
横财局中局,2019-12-28 上映,778,510.292467,10,http://piaofang.maoyan.com/movie/336934
守灵,2019-04-04 上映,7710,118.7999311,5,http://piaofang.maoyan.com/movie/1206939
企鹅公路,2019-05-17 上映,775,76.8964811,11,http://piaofang.maoyan.com/movie/1217809
他们已不再变老,2019-11-11 上映,775,74.7410911,7,http://piaofang.maoyan.com/movie/1222930
尼斯大冒险,2019-12-28 上映,7113,114.611839,3,http://piaofang.maoyan.com/movie/346409
麦子的盖头,2019-11-15 上映,764,118.973624,63,http://piaofang.maoyan.com/movie/1208595
骑遇,2019-09-06 上映,7610,1010.4108115,87,http://piaofang.maoyan.com/movie/1209089
春天的马拉松,2018-12-14 上映,763,73.10210610,68,http://piaofang.maoyan.com/movie/1243911
极度危机,2019-08-09 上映,763,76.711766,66,http://piaofang.maoyan.com/movie/1209180
魔镜奇缘3,2019-12-14 上映,767,711.81052510,3,http://piaofang.maoyan.com/movie/1263827
面向群众,2018-08-03 上映,726,54.933255,6116,http://piaofang.maoyan.com/movie/1229511
太空狗之月球大冒险,2019-12-14 上映,11410,119.5102357,5,http://piaofang.maoyan.com/movie/1179339
好小子，好功夫,2019-05-31 上映,1142,74.86225,3,http://piaofang.maoyan.com/movie/1281596
