time,中证全债,中证全指,COMEX黄金
2010-01-01,,,
2010-01-02,0.0,0.0,0.0
2010-01-03,0.0,0.0,0.0
2010-01-04,0.000391190397352581,-0.006034247157911565,0.019824040801678322
2010-01-05,0.0008600805878336004,0.009036326083538881,0.00026763013675079605
2010-01-06,-0.0010165383836620023,-0.004723304439847809,0.01575253812075772
2010-01-07,-0.0016442864762513665,-0.020064807780922678,-0.0024615397044467358
2010-01-08,0.00039174208202652494,0.005864758831025441,0.004654234526749512
2010-01-09,0.0,0.0,0.0
2010-01-10,0.0,0.0,0.0
2010-01-11,0.0003132832105823269,0.0027960687213948177,0.010891930098013702
2010-01-12,0.0014085611531475806,0.016886701193586262,-0.01942658222872584
2010-01-13,-0.0012519563450599236,-0.02486566260304457,0.006605334685815478
2010-01-14,0.0003131360601758004,0.0181691572736824,0.005340349745958761
2010-01-15,0.00046952031537905725,0.0052567481135223915,-0.011062448197002084
2010-01-16,0.0,0.0,0.0
2010-01-17,0.0,0.0,0.0
2010-01-18,-0.0012525443942248415,0.009138871300248042,0.0
2010-01-19,0.000548181226774247,0.0012487390908386686,0.008264509849893464
2010-01-20,0.0008608209632789965,-0.03404658470773292,-0.024462799230637877
2010-01-21,0.0011726538497356387,0.004234125959733603,-0.008470045231187662
2010-01-22,7.812805191687033e-05,-0.017793534483740103,-0.012199714308512632
2010-01-23,0.0,0.0,0.0
2010-01-24,0.0,0.0,0.0
2010-01-25,0.001171188890463526,-0.013039294798216972,0.005480967407047288
2010-01-26,0.0013256913081240995,-0.030063843249168443,0.00245666835714875
2010-01-27,-0.0007796055590931772,-0.01129369630163346,-0.012620194932996931
2010-01-28,0.0005457877021370905,0.006791969720845614,-0.0007365126460721072
2010-01-29,0.0008570649946122444,0.0027971206969610307,-0.0009214042852194737
2010-01-30,0.0,0.0,0.0
2010-01-31,0.0,0.0,0.0
2010-02-01,0.0010897486872796236,-0.014271725148930159,0.01935426489614933
2010-02-02,0.0011662715624334297,-0.0033486726926561516,0.011685526229644694
2010-02-03,0.0005437949250337581,0.022409504794865143,-0.005376357036380064
2010-02-04,7.76608550854263e-05,0.0013590500151359208,-0.04502368137395507
2010-02-05,0.0006986764248031463,-0.02068996935021339,-0.009632712126404819
2010-02-06,0.0,0.0,0.0
2010-02-07,0.0,0.0,0.0
2010-02-08,0.0013958901064574647,-0.0005487941075337233,0.012729416144733996
2010-02-09,0.0012391575315477965,0.003877668222584063,0.01025363196810769
2010-02-10,-0.00015481074417422747,0.013462040507757678,-0.0008349956415933946
2010-02-11,0.00030959752569259535,0.00020467900837672914,0.016933958857881848
2010-02-12,-0.000541858588170463,0.010747922396346254,-0.004298328443262278
2010-02-13,0.0,0.0,0.0
2010-02-14,0.0,0.0,0.0
2010-02-15,0.0,0.0,0.0
2010-02-16,0.0,0.0,0.026945572365996817
2010-02-17,0.0,0.0,0.00035679243978492536
2010-02-18,0.0,0.0,-0.001249330878186683
2010-02-19,0.0,0.0,0.0030313860588755404
2010-02-20,0.0,0.0,0.0
2010-02-21,0.0,0.0,0.0
2010-02-22,0.001160766235962285,-0.002828158982170592,-0.008044376594515512
2010-02-23,0.0,-0.003252286508391933,-0.008924203997008995
2010-02-24,0.0001546670794203564,0.01678930222903574,-0.005447625602237771
2010-02-25,0.0003865630725785607,0.015218323316750215,0.010235133052757028
2010-02-26,0.0016991045175123176,-0.0015430010512762493,0.009328258511175136
2010-02-27,0.0,0.0,0.0
2010-02-28,0.0,0.0,0.0
2010-03-01,0.0033126643290000146,0.012635578226998234,-0.0005358099788841386
2010-03-02,0.0006151007421371091,-0.002283432583690015,0.016917280478172536
2010-03-03,0.001919754861051004,0.009386646823031697,0.005255793458020186
2010-03-04,-0.00015344483688206623,-0.029442486982143024,-0.008951354197138883
2010-03-05,0.00015344483688206623,0.0030240131835856943,0.0018494875147343492
2010-03-06,0.0,0.0,0.0
2010-03-07,0.0,0.0,0.0
2010-03-08,0.00038350911304174673,0.00908883855309739,-0.009903697536645772
2010-03-09,0.0,0.003985388009731139,-0.00151185052586289
2010-03-10,7.668417625783519e-05,-0.009432300669718785,-0.012718487608954554
2010-03-11,-0.0002300701724173848,-0.002951625825788895,9.013475151409267e-05
2010-03-12,-0.001074361242162425,-0.01411099871809185,-0.005875723119145526
2010-03-13,0.0,0.0,0.0
2010-03-14,0.0,0.0,0.0
2010-03-15,0.0006907932883981616,-0.013049443538017513,0.003258511210506576
2010-03-16,0.0009203160401085597,0.007610982533101662,0.015245564766079411
2010-03-17,0.0003832151800109429,0.02329657716224176,0.00151185052586289
2010-03-18,0.0,-7.299242934166728e-05,0.0029282597790878384
2010-03-19,0.001225302649856097,0.007733119250538323,-0.01769957709940062
2010-03-20,0.0,0.0,0.0
2010-03-21,0.0,0.0,0.0
2010-03-22,-0.00038274582317487926,0.0041509284615770525,-0.007332008406292445
2010-03-23,0.0003062083771920854,-0.00743327826051754,0.0038084920897825114
2010-03-24,-0.0003062083771920854,0.0018052705143194459,-0.013668884223863031
2010-03-25,0.00022966507277999426,-0.014187685190123034,0.0038461585874784987
2010-03-26,-0.00022966507277999426,0.01391801954787475,0.010275152916418229
2010-03-27,0.0,0.0,0.0
2010-03-28,0.0,0.0,0.0
2010-03-29,0.0007653452080313983,0.018639717469865147,0.005503194005088474
2010-03-30,-0.0018378135198044987,0.0033971696301122734,-0.0052318358558949285
2010-03-31,-7.664890970637828e-05,-0.002869209991041899,0.007927255277567546
2010-04-01,0.0002299291062053399,0.014218350758378406,0.010354461877056131
