﻿视频标题,视频时长,观看人数,弹幕数,up主昵称,上传时间,视频链接,评论链接
[科普冷门科学家]+古有伍连德今有钟南山+[我们最好不要忘记的人]纪念那些默默奉献的科学家,02:54,390,0,小鲍小鲍左拥右抱,2020-03-01,https://www.bilibili.com/video/BV17E411n7tZ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=92796961&sort=1
中国四大女名医之一鲍姑，原来她与红脚艾有着如此深的渊源。,00:46,24,0,暨晴生物,2020-10-27,https://www.bilibili.com/video/BV1fr4y1c7xh?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=755013135&sort=1
张仲景：进则救世 退则救民【名言启示录HD190107】【官方1080P】,03:58,95,0,NetworkBill,2020-04-15,https://www.bilibili.com/video/BV1qA411b7yi?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=327816026&sort=1
舍命产子网红去世 医生却说“以爱的名义绑架了医院、绑架了医生”,40:32,15.3万,3653,龙威裂天横空幻影绝杀,2019-04-03,https://www.bilibili.com/video/BV15b411W7gK?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=48199233&sort=1
北京协和医学院东单九号院音乐片,04:19,561,0,北京协和医学院护理,2020-07-23,https://www.bilibili.com/video/BV1ah411o7s8?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=201388218&sort=1
【讲座】人类能征服疾病吗？,02:05:03,128,0,爱学习的小刚子,2020-10-25,https://www.bilibili.com/video/BV1NT4y1F7XQ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=927506591&sort=1
【公开课】纵观人类史上的疫情,33:07,242,0,大佬歪脖子,2020-06-19,https://www.bilibili.com/video/BV1jK4y1476V?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=883587112&sort=1
建议改成：闲 得 无 聊,00:13,37,0,有发发,2020-04-22,https://www.bilibili.com/video/BV1s5411x7qt?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=455347632&sort=1
【国士无双伍连德】一个本不该被遗忘的英雄,09:55,7357,103,罐装老K,2020-02-19,https://www.bilibili.com/video/BV1Q7411L7en?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=90020645&sort=1
开合吐纳益气养肺导引术,06:05,206,0,阴山老妖1,2020-03-02,https://www.bilibili.com/video/BV1RE411E7zB?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=93049086&sort=1
旅·途 | 历史游记第六集｜医疗径,06:43,47,0,okayturnleft,2020-04-21,https://www.bilibili.com/video/BV15t4y127YA?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=625250440&sort=1
