皮革,入管网口,海宁市群乐丝绸印染有限公司
皮革,标排口,金华帅达毛纺织品有限公司
皮革,雨水口,武义县弘润工贸有限公司
皮革,排放口,杭州欣阳三友精细化工有限公司
,总排口,绍兴中成热电有限公司一分厂
,排放口1#,浙江瑞浦科技有限公司
水泥,标排口,浙江天马水泥有限公司
,2#废气排放口,临安龙正节能环保科技有限公司
皮革,标排口,浙江海之味水产有限公司
皮革,废水排放口,嘉善县翁乐印染厂
皮革,标排口1,宁波合盛服饰有限公司
,1#,兰溪旺能环保能源有限公司
皮革,标准排放口,浙江华峰氨纶股份有限公司
,7号车间标排口,浙江锦运再生资源股份有限公司
皮革,标排口1#,浙江天喜厨电股份有限公司
皮革,1#,杭州三星工艺玻璃有限公司
皮革,标排口,台州市布博纺织印染有限公司
皮革,总排口,维克托电力设备有限公司
,废气排放口,浙江新化化工股份有限公司
皮革,标排口,浦江水晶集聚园区（东部）
,1#废气排放口,平湖旗滨玻璃有限公司
皮革,标排口,浙江华润三九众益制药有限公司
皮革,标排口1#,海宁上塘水务有限公司（原海宁紫薇水务有限责任公司）（长安泵站）
皮革,标排口,浙江天河高新金属材料有限公司
,3#标排口,台州市德长环保有限公司
皮革,排污口1#,青田富春紫光污水处理有限公司
皮革,标排口,东阳市红染针织有限公司
皮革,纳管口,浙江鸿禧能源股份有限公司
皮革,废水排放口,嘉兴和新精冲有限公司
皮革,窨井,老城纳污干管
皮革,总排口,丽水市富泰革基布有限公司
皮革,标排口,温州鸿升集团有限公司
皮革,标排口,宁波卓成化纤有限公司
皮革,总排口,湖州康力纸业有限公司
,废气排放口,杰森石膏板（嘉兴）有限公司
皮革,标排口,浙江星星冷链集成股份有限公司
皮革,1#,桐庐新合电镀制品有限公司
皮革,标排口,浙江华方药业股份有限公司
皮革,三期进水口,海宁首创水务有限责任公司
皮革,1#,丽水宾迪实业有限公司
皮革,标排口,杭州金象印染有限公司
皮革,排放口,浙江胜达彩色预印有限公司
皮革,标排口,乌毡帽酒业有限公司
皮革,废水,舟山市东兴海洋生物制品有限公司
皮革,标排口1,慈溪市亚太化纤线业有限公司
皮革,废水排放口,宁波竞宏服饰有限公司
,标排口,浙江巨东股份有限公司
垃圾焚烧,1#标排口,台州旺能环保能源有限公司
火电,废气排放口#6,国电浙江北仑第三发电有限公司
纺织染整,标准排放口,温州五合印染有限公司
金属加工,标准排放口,温州利环科技有限公司
金属加工,标准排放口,永嘉县中环金属表面处理有限公司
金属加工,标准排放口,温州泽盛科技有限公司
水泥,2#窑尾排放口,湖州南方水泥有限公司
火电,#6机组废气排放口,浙江浙能镇海发电有限责任公司
食品加工,标排口,浙江金华市佳乐乳业有限公司
水泥,废气排放口,兰溪南方水泥有限公司
火电,#11机组废气排放口,浙江浙能镇海天然气发电有限责任公司
纺织染整,排放口,宁波三邦线业有限公司
热电,标排口,浙江富元能源开发有限公司
