所属行业,站点名称,企业名称,经纬度
,1号机,杭州保利电梯导轨制造有限公司,"119.897920,30.064450"
皮革,标准排放口,平阳县蚀刻工艺品有限公司,"120.565793,27.661918"
,废气排放口（乙烯胺）,阿克苏诺贝尔化学品（宁波）有限公司,"80.260605,41.168779"
皮革,废水标排口,江山市莲花山投资开发有限公司,"118.584657,28.727104"
,标排口1#,杭州邦联氨纶股份有限公司,"120.494390,30.335362"
,标排口,仙居县现代热力有限公司,"120.807981,28.874063"
皮革,标排口,绍兴县大湾染织有限公司,"104.117401,30.761988"
皮革,废水排放口,宁波华夏一品电梯有限公司,"121.724121,29.911178"
皮革,标排口1,慈溪市新江涤化厂,"121.266579,30.169665"
皮革,标排口1#,慈溪市飞兰有色金属有限公司,"121.604477,30.047938"
皮革,排放口,浙江奇达皮业有限公司,"120.305760,30.010894"
皮革,总排口,温州海城电镀中心服务有限公司,"120.699366,27.994267"
皮革,标排口,杭州春胜纸业有限公司,"119.978961,30.011819"
热电,排放口新1#,杭州红山热电有限公司,"120.383167,30.228916"
,期余热锅炉3#、4#废气排放口,衢州元立金属制品有限公司,"118.848694,28.903141"
,1#,丽水赛丽生物质发电有限公司,"119.461432,28.485555"
,4号炉,浙江温州特鲁莱发电有限责任公司,"120.834779,27.990610"
,废气排放口,阿克苏诺贝尔化学品（宁波）有限公司,"80.260605,41.168779"
皮革,排放口,杭州天元涤纶有限公司,"120.380484,30.163986"
皮革,废水排放口,宁波胜克换向器有限公司,"121.788209,29.889748"
皮革,排放口,浙江卓尚环保能源有限公司,"120.262680,30.180140"
皮革,总排口,福达合金材料股份有限公司,"105.855934,24.348131"
皮革,标排口,富阳市新申造纸厂,"119.949867,30.049871"
皮革,入管网口,海宁市万盛丝绸喷织有限公司,"120.508750,30.457405"
皮革,标排口1#,海宁上塘水务有限公司（原海宁紫薇水务有限责任公司）（沈士泵站）,"120.685987,30.504591"
皮革,排放口,杭州东岱珠宝饰品有限公司,"120.280887,30.194093"
工业炉窑,废气排放口,温州沿江蒸汽供应有限公司,"120.593595,28.083255"
皮革,三期进水口,海宁紫薇水务有限责任公司,"120.685987,30.504591"
皮革,1#,缙云县大禹门业有限公司,"120.093649,28.767791"
皮革,1#,奉化市三江电镀厂,"121.458813,29.760443"
皮革,标排口,浙江新中纺实业有限公司,"120.397884,30.244540"
,标排口1#,台州市德长环保有限公司,"121.583940,28.705668"
皮革,标排口,安吉逢春污水处理有限公司,"119.675250,30.619375"
皮革,总排口,巨化集团公司制药厂,"114.074799,22.632051"
皮革,废水,浙江新泰水产有限公司,"119.722981,30.231626"
皮革,标排口,绍兴县爱利斯纺织染整有限公司,"106.912216,29.264477"
皮革,标排口,温州市洞头水务发展有限公司,"121.127800,27.845227"
皮革,入管网口,浙江万凯新材料有限公司,"120.246469,30.182370"
皮革,标排口,华祥（中国）高纤有限公司,"120.333191,29.042511"
皮革,污水总排口,丽水市创溢纺织科技有限公司,"119.922796,28.467630"
皮革,标排口,缙云县艾康厨具有限公司,"120.082373,28.743957"
皮革,标排口1#,丽水集宝实业有限公司,"119.848270,28.398662"
皮革,标排口1,慈溪市兴科化纤有限公司,"121.535814,30.142757"
皮革,标排口1,慈溪市豪环特钢有限公司,"121.240820,30.236225"
皮革,1#,杭州明光印染化工有限公司,"120.416186,30.211884"
皮革,入管网口,浙江兴华电池有限公司,"120.262183,30.202260"
皮革,标排口,杭州加多宝饮料有限公司,"120.163935,30.255191"
,2#废气排放口,浙江万凯新材料有限公司,"120.246469,30.182370"
火电,四电站5#,中国石油化工股份有限公司镇海炼化分公司,"121.666911,29.973934"
皮革,标排口,浙江绍兴县昌荣染织有限公司,"120.152791,30.267446"
纺织染整,1#排口,宁波金海湾印染有限公司,"120.968079,30.128305"
重金属,总排放口,绍兴宏智机电电镀业有限公司,"120.625192,30.127460"
纺织染整,入管网口,桐乡市鑫隆印染有限公司,"120.345182,30.502866"
金属加工,二期排放口,上汽大众汽车有限公司宁波分公司,"121.321962,30.339157"
化工,标排口,宁波大发化纤有限公司,"121.311528,30.316899"
皮革,废水排放口,湖州同舟皮业有限公司,"120.449820,30.795878"
纺织染整,标排口,桐庐恒达纺织印染有限公司,"119.611711,29.838750"
纺织染整,废水标排口,宁波广源纺织品有限公司,"121.708725,29.933129"
纺织染整,标排口,宁波盛绵针织制衣有限公司,"121.465801,29.351461"
金属加工,标排口,宁波华德汽车零部件有限公司,"121.275300,30.106439"
纺织染整,标排口,浦江经济开发区恒大染色厂,"120.087161,29.492233"
纺织染整,入管网口,桐乡市龙欣印染有限公司,"120.627309,30.582917"
火电,废气排放口,桐乡濮院协鑫环保热电有限公司,"120.591403,30.697279"
金属加工,一期焦炭,衢州元立金属制品有限公司,"118.848694,28.903141"
污水处理厂,总排口,金华金西海元水处理有限公司,"120.058522,29.281722"
造纸,标排口,兰溪市华圣纸业有限公司,"119.491710,29.276570"
污水处理厂,生活污水进口（区排放口）,绍兴水处理发展有限公司,"120.654779,30.161180"
医药,废水排放口,宁波斯迈克制药有限公司,"121.738120,29.961123"
纺织染整,总排口,绍兴圣源毛绒家纺有限公司,"120.859673,30.131150"
化工,标准排放口,罗赛洛（温州）明胶有限公司,"120.495771,27.581188"
造纸,废水标排口,浙江王裕生纸业有限公司,"120.029670,30.023505"
化工,废气排放口,温州中石油燃料沥青有限责任公司,"121.068727,28.003090"
纺织染整,1#排口,台州市光华纺染有限公司,"121.463897,28.676494"
造纸,标准排放口,永嘉县中原纸业有限公司,"120.775757,28.171456"
垃圾焚烧,标排口1#,温州永强垃圾发电有限公司,"120.795365,27.894869"
电镀,标排口,宁波市东龙五金有限公司,"121.303283,29.441112"
化工,纳管口,嘉兴石化有限公司,"121.061239,30.605531"
纺织染整,入管网口,桐乡市京都印染有限公司,"120.611166,30.664533"
纺织染整,纳管口,平湖三川纺织面料有限公司,"120.970889,30.690247"
纺织染整,废水总排放口,嘉兴运通印染有限公司,"120.881504,30.737370"
污水处理厂,排放口,宁波渤川废液处置有限公司,"121.661080,30.003588"
化工,直排口,中海石油宁波大榭石化有限公司,"121.989540,29.923750"
化工,废水排放口,宁波中新腈纶有限公司,"121.788462,29.960459"
造纸,废水标排口,杭州远大纸业有限公司,"119.962166,30.007465"
火电,2#废气排放口,国电浙江北仑第一发电有限公司,"121.812509,29.936508"
纺织染整,总排口,新昌县兴泰印染有限公司,"120.903866,29.499832"
水泥,新线窑头排放口,常山南方水泥有限公司,"118.465571,28.964097"
化工,1#排口,台州市东风化工有限公司,"121.488386,28.669834"
化工,标排口,浙江华源颜料股份有限公司,"120.159119,30.275564"
热电,#2废气排放口,宁波久丰热电有限公司,"121.626381,30.050927"
热电,4#,绍兴远东热电有限公司,"120.658506,30.189931"
污水处理厂,标准排放口,温州市后京电镀污水处理有限公司,"120.821775,27.928859"
纺织染整,排放口,杭州华仑印染有限公司,"120.549358,30.230597"
火电,废水排放口,浙江富春江环保热电股份有限公司,"119.999613,30.020635"
纺织染整,总排口,杭州桥南实业有限公司,"120.392304,30.235740"
纺织染整,总排口,嵊州市万有丝线有限公司,"120.833763,29.615875"
纺织染整,总排放口,诸暨市金塔织染有限公司,"120.153298,29.687315"
热电,排放口,浙江安吉天子湖热电有限公司,"119.648840,30.806360"
造纸,废水排放口,宁波亚洲浆纸业有限公司,"121.766899,29.953414"
热电,排放口,德清县中能热电有限公司,"120.143083,30.513388"
皮革,废水排放口,湖州方圆皮业有限公司,"120.423662,30.821949"
污水处理厂,标准排放口,平阳县和佳污水处理有限公司,"120.565793,27.661918"
纺织染整,标排口,湖州三友印染有限公司,"120.274202,30.885025"
纺织染整,标排口,绍兴盛鑫印染有限公司,"120.634828,30.096906"
垃圾焚烧,2号废气排放口,杭州绿能环保发电有限公司,"120.167940,30.151725"
化工,3#RTO,宁波乐金甬兴化工有限公司,"121.697568,29.977144"
纺织染整,入管网口,桐乡市思源纺织有限公司,"120.358910,30.647163"
电镀,排放口,浙江亚太机电股份有限公司,"120.215493,30.111978"
daxingchuqinyangzhi,排放口,浙江嘉豪农业有限公司,"120.666822,30.309988"
合成革,标准排放口,温州奥鹏合成革有限公司,"120.837780,27.935236"
医药,总排口,浙江医药股份有限公司新昌制药厂,"120.910600,29.501832"
火电,1#标排口,杭州华电半山发电有限公司,"120.144861,30.358087"
造纸,废水排放口,杭州富阳新申造纸厂,"119.734319,30.031053"
污水处理厂,标准排放口,文成县城东污水处理有限公司,"120.091498,27.786996"
热电,废气排放口,浙江安吉天子湖热电有限公司,"119.648840,30.806360"
纺织染整,标排口,浙江万福染整有限公司,"120.109725,30.343769"
垃圾焚烧,1#废气排口（燃煤炉）,宁波众茂姚北热电有限公司,"121.070833,30.256568"
皮革,总排口,桐乡市恒球皮草制品有限公司,"120.457991,30.544921"
纺织染整,标排口,绍兴九田针织染整有限公司,"120.904858,30.149746"
纺织染整,1#排口,台州市前进化工有限公司,"121.488845,28.669111"
火电,7#废气排放口,国电浙江北仑第三发电有限公司,"121.844618,29.899044"
纺织染整,标排口,绍兴金渔纺织新技术有限公司,"120.661258,30.097295"
火电,2#废气排口,浙江国华余姚燃气发电有限责任公司,"121.104068,30.062166"
垃圾焚烧,1#排口,玉环伟明环保能源有限公司,"121.213740,28.815783"
纺织染整,1#标排口,兴纶（杭州）染整有限公司,"120.598540,30.289104"
水泥,1#窑尾排放口,安吉南方水泥有限公司,"119.704591,30.718699"
纺织染整,标排口,绍兴鑫利达服饰印染有限公司,"120.856489,29.584364"
纺织染整,排放口,圣山集团有限公司,"120.397331,30.251276"
造纸,废气排放口,永嘉县穗丰纸业有限公司,"120.756484,28.166618"
化工,厂界,宁波环洋新材料股份有限公司,"121.951571,29.934937"
纺织染整,标排口,桐庐春弘纺织印染有限公司,"119.689262,29.798308"
纺织染整,污水排放口,宁波海德针织漂染有限公司,"121.654190,29.988671"
造纸,废水排放口,杭州灵泰纸业有限公司,"120.028901,30.033810"
医药,标排口,浙江医药股份有限公司新昌制药厂,"120.910600,29.501832"
电镀,标排口1#,宁海县西店灵峰氧化厂,"121.429477,29.287939"
垃圾焚烧,排放口,杭州绿能环保发电有限公司,"120.167940,30.151725"
化工,标排口,杭州龙山化工有限公司,"120.643594,30.244239"
污水处理厂,总排口,湖州光正水质净化有限公司,"120.412628,30.720173"
热电,1#废气排放口,浙江三星热电有限公司,"119.959724,30.007369"
电镀,标排口,温岭市金益电镀有限公司,"121.588742,28.286435"
垃圾焚烧,排口,慈溪中科众茂环保热电有限公司,"121.533469,30.147398"
造纸,标排口,江山市华盛纸业制造有限公司,"118.548446,28.680346"
热电,2#排放口,杭州智兴热电有限公司,"120.498732,30.240444"
火电,废气排放口,浙江宝峰热电有限公司,"120.164127,30.468380"
化工,9#RTO,宁波乐金甬兴化工有限公司,"121.697568,29.977144"
垃圾焚烧,1#排放口,安吉旺能再生资源利用有限公司,"119.720676,30.674247"
纺织染整,排放口,杭州集美印染有限公司,"120.546177,30.230027"
纺织染整,标排口,浙江圣山科纺有限公司,"120.607755,30.286311"
污水处理厂,总排口,湖州环谐污水处理有限公司,"119.854472,30.625925"
垃圾焚烧,标排口4#,光大环保能源（杭州）有限公司,"119.867761,30.235376"
纺织染整,总排口,博森织染（嘉兴）有限公司,"120.601953,30.660058"
食品加工,排放口,宁波天韵食品有限公司,"121.880280,29.420566"
daxingchuqinyangzhi,排放口,杭州萧山之江养殖有限公司,"120.155070,30.274084"
污水处理厂,1#排口,台州市椒江区前所水处理有限公司,"121.447191,28.697489"
污水处理厂,废水排放口,宁波市城市排水有限公司江东北区污水处理厂,"121.596126,29.890896"
纺织染整,标排口,湖州天天绿洲染整有限公司,"120.457710,30.799122"
造纸,废水排放口,杭州富阳太平纸业有限公司,"119.937083,29.996283"
热电,1#排放口,杭州萧山经济技术开发区热电有限公司,"120.285785,30.189069"
纺织染整,入管网口,嘉兴市华利印染有限公司,"120.676000,30.742500"
火电,2#废气排放口,万华化学（宁波）热电有限公司,"121.958578,29.930560"
医药,1#梅花井排口,浙江永宁药业股份有限公司,"120.152791,30.267446"
电镀,直排口,宁波市鄞州绿舟物业管理服务有限公司,"121.550357,29.874556"
热电,氨法脱硫废气排放口,浙江虎霸集团江山石煤综合利用热电有限公司,"118.626290,28.771851"
纺织染整,标排口,义乌市聚鑫染整有限公司,"120.075058,29.306841"
纺织染整,入管网口,桐乡市新光明印染有限公司,"120.351895,30.504098"
食品加工,1#杨府排口,浙江得乐康食品股份有限公司,"120.175809,30.273933"
化工,2#废气排放口,平湖石化有限责任公司,"121.242600,30.678235"
污水处理厂,总排口,绍兴市嵊新首创污水处理有限公司,"120.822171,29.664906"
重金属,总排放口,诸暨市东大次坞污水处理有限公司,"120.246863,29.708692"
化工,燃气锅炉排放口,宁波富德能源有限公司,"121.648109,30.028189"
金属加工,1、2号竖炉脱硫,衢州元立金属制品有限公司,"118.848694,28.903141"
啤酒,标排口,燕京啤酒（浙江仙都）有限公司,"120.308463,30.211023"
火电,标排口,绍兴中成热电有限公司,"120.628388,30.086423"
纺织染整,标排口,象山新光针织印染有限公司,"121.942483,29.532303"
火电,9#排放口,杭州华电半山发电有限公司,"120.144861,30.358087"
化工,前纺VOCs排口,宁波中新腈纶有限公司,"121.788462,29.960459"
化工,排放口,浙江胜达祥伟化工有限公司,"120.401512,30.263552"
合成革,标准排放口,温州市新兄弟人造革有限公司,"120.840679,27.936661"
化工,纳管口,嘉兴富成化工科技有限公司,"121.038289,30.608813"
水泥,窑头排放口,湖州小浦南方水泥有限公司,"119.827019,31.037097"
化工,VOCs排放口,嘉兴市中华化工有限责任公司,"120.860159,30.760326"
皮革,标准排放口,温州瑞普皮革有限公司,"120.828901,27.867946"
火电,废气排放口2#,永康市伟明环保能源有限公司,"119.948155,28.915287"
垃圾焚烧,2#排放口,安吉旺能再生资源利用有限公司,"119.720676,30.674247"
热电,脱白塔总排放口,海宁马桥大都市热电有限公司,"120.665247,30.480054"
热电,生物质发电废气排放,浙江虎霸集团江山石煤综合利用热电有限公司,"118.626290,28.771851"
火电,4号机组排放口,浙江大唐乌沙山发电有限责任公司,"120.179610,30.269927"
污水处理厂,总排口,兰溪桑德水务有限公司,"119.452138,29.247175"
造纸,废水排放口,杭州富宇杰纸业有限公司,"119.737209,30.019350"
纺织染整,总排口,桐乡市明星印染厂,"120.465962,30.694231"
电镀,标准排放口,温州市华邦电子有限公司,"120.547988,27.972885"
纺织染整,总排口,嵊州市剡东印染有限公司,"120.829026,29.631340"
纺织染整,废气排放口,浙江恒生印染有限公司,"120.304773,30.446408"
化工,废水总排口,朗盛（宁波）颜料有限公司,"121.649232,30.009270"
皮革,标排口,湖州达多皮革有限公司,"120.065009,30.881746"
污水处理厂,中水标排口,浙江浙能玉环环保水务有限公司,"121.292369,28.101445"
纺织染整,1#排口,临海市立发印染有限公司,"121.188579,28.792009"
纺织染整,标排口,杭州达利富丝绸染整有限公司,"119.660942,29.804268"
daxingchuqinyangzhi,排放口,杭州萧山江南养殖有限公司,"120.483132,30.356878"
纺织染整,标排口,长兴三山实久纺织染整有限公司,"119.928125,31.035380"
污水处理厂,1#排口,浙江浙能玉环环保水务有限公司,"121.292369,28.101445"
热电,废气排放口,兰溪协鑫环保热电有限公司,"119.427131,29.246939"
daxingchuqinyangzhi,排放口,杭州水丰养殖有限公司,"120.530051,30.373183"
医药,3#杨府原料药排口,浙江仙琚制药股份有限公司,"120.167142,30.292841"
污水处理厂,废水排放口,宁波大榭开发区生态污水处理有限公司,"121.935340,29.909225"
造纸,新厂废水排放口,仙鹤股份有限公司,"118.347633,31.878897"
医药,1#排口,台州仙琚药业有限公司,"121.552245,28.697383"
垃圾焚烧,废水排放口,安吉旺能再生资源利用有限公司,"119.720676,30.674247"
纺织染整,排放口,杭州华伟兴业印染有限公司,"120.416436,30.187547"
纺织染整,排放口,杭州萧山之湘印染有限公司,"120.433828,30.219192"
垃圾焚烧,2#排放口,德清旺能环保能源有限公司,"120.239250,30.629212"
污水处理厂,1#排口,台州市路桥区滨海污水处理有限公司,"121.339254,28.565233"
热电,1#废气排放口,宁波中华纸业有限公司,"121.514514,29.830570"
纺织染整,标排口,杭州诺邦无纺股份有限公司,"120.289714,30.459713"
纺织染整,纳管口,永新纺织印染有限公司,"114.243457,26.944925"
化工,8#RTO,宁波乐金甬兴化工有限公司,"121.697568,29.977144"
纺织染整,入网口,浙江恒生印染有限公司,"120.304773,30.446408"
热电,总排口,丽水市杭丽热电有限公司,"119.851606,28.384549"
金属加工,标排口,兰溪市万康铝业有限公司,"119.414000,29.226717"
火电,1#脱硫塔总排放口,浙江宝峰热电有限公司,"120.164127,30.468380"
污水处理厂,江滨水处理出口,绍兴柯桥江滨水处理有限公司,"120.718500,30.230545"
纺织染整,标排口,绍兴舜锦纺织品有限公司,"120.856686,30.126379"
垃圾焚烧,2#废气排口（3号垃圾炉）,宁波众茂姚北热电有限公司,"121.070833,30.256568"
污水处理厂,总排口,长兴兴长污水处理有限公司,"119.929896,31.002936"
重金属,纳管口,绍兴飞凡车辆配件有限公司,"120.626050,30.131120"
热电,废气排放口,上虞热电股份有限公司,"120.844975,29.994889"
电镀,标排口,兰溪市卓越电子有限公司,"119.431826,29.233933"
纺织染整,废气排放口#2,宁波申洲针织有限公司,"121.793631,29.916350"
火电,二期3号机组废气排放口,神华国华（舟山）发电有限责任公司,"122.190403,30.097323"
纺织染整,标准排放口,平阳县大鑫针织印染有限公司,"120.413004,27.587847"
纺织染整,标排口,东阳市天染针织有限公司,"120.354338,29.287346"
热电,1#废气排放口,平湖荣成环保科技有限公司,"121.214571,30.668621"
纺织染整,总排口,绍兴宝丰纺织服装有限公司,"120.607476,30.103101"
纺织染整,排放口,杭州萧山景福印染有限公司,"120.297537,30.189366"
热电,2#排放口,湖州加怡新市热电有限公司,"120.294780,30.607736"
污水处理厂,标准排放口,浙江衢州水业集团有限公司污水处理厂,"118.871803,28.965685"
金属加工,标排口,浙江康盛股份有限公司,"119.162667,29.600534"
食品加工,标排口,蒙牛乳业（金华）有限公司,"119.402783,29.069081"
纺织染整,标准排放口,温州市大东针织印染有限公司,"120.812740,27.964345"
医药,标排口,浙江普洛康裕制药有限公司,"120.154433,30.275352"
食品加工,标排口1#,宁海县宁兴纸业有限公司,"121.484557,29.362707"
纺织染整,标排口,绍兴宝庆印染有限公司,"120.637964,30.148755"
水泥,2#窑尾排放口,长兴南方水泥有限公司,"119.733204,31.104717"
纺织染整,标排口,浦江万福染整有限公司,"119.956760,29.429329"
纺织染整,入管网口,桐乡市明辉染整有限公司,"120.615450,30.666233"
火电,3号炉,浙江浙能乐清发电有限责任公司,"121.087458,28.168337"
纺织染整,总排口,杭州万事利漂染有限公司,"120.216725,30.178854"
污水处理厂,进水排放口,嘉善大成环保有限公司,"120.963236,30.973579"
垃圾焚烧,1#废气排放口,兰溪旺能环保能源有限公司,"119.430870,29.289750"
化工,VOC排放口,上虞新和成生物化工有限公司,"120.845657,30.135618"
水泥,2#窑尾排放口,安吉南方水泥有限公司,"119.704591,30.718699"
纺织染整,标排口,绍兴市上虞区龙家印染有限公司,"120.892730,30.159635"
食品加工,标准排放口,温州太古可口可乐饮料有限公司,"120.806121,27.855034"
电镀,1#排口,台州市路桥石曲五金电镀厂,"121.392422,28.552958"
造纸,标排口,浙江乾鑫帆纸业有限公司,"119.553451,29.540415"
热电,标排口3#,绍兴远东热电有限公司,"120.658506,30.189931"
热电,1#排口,台州市椒江热电有限公司,"121.476082,28.669545"
垃圾焚烧,废气总排口,慈溪中科众茂环保热电有限公司,"121.533469,30.147398"
纺织染整,总排口,绍兴市北海印染有限公司,"120.634520,30.120236"
纺织染整,纳管口,海盐县于城丝绸印染有限公司,"120.820579,30.529531"
纺织染整,标排口,绍兴南鹰纺织印染有限公司,"120.670540,30.176279"
纺织染整,排放口,浙江三元纺织有限公司,"120.559701,30.226119"
化工,VOCs废气排放口,浙江钱江生物化学股份有限公司,"120.336857,30.178714"
热电,标排口,金华宁能热电有限公司,"119.383140,29.099562"
垃圾焚烧,2#排放口,湖州南太湖环保能源有限公司,"120.187384,30.790223"
纺织染整,标排口,舟山弘生漂染有限责任公司,"122.159969,29.991771"
垃圾焚烧,1号炉,永嘉绿色动力再生能源有限公司,"120.706481,28.054650"
化工,标排口,宁波利万聚酯材料有限公司,"121.978049,29.930496"
污水处理厂,总排口,湖州南浔振浔污水处理有限公司,"120.431049,30.876247"
热电,排放口,湖州南太湖热电有限公司,"120.233329,30.876698"
医药,1#排口,浙江新农化工股份有限公司,"120.300335,30.200933"
金属加工,总排口2,加西贝拉压缩机有限公司,"108.096451,24.234257"
纺织染整,总排口,嘉兴市艺达印染有限公司,"120.671974,30.844210"
垃圾焚烧,标排口1#,光大环保能源（杭州）有限公司,"119.867761,30.235376"
合成革,标准排放口,温州市华夏人造革有限公司,"120.842382,27.947128"
化工,标准排放口,瑞安宝源化工有限公司,"120.592434,27.801630"
纺织染整,标排口,绍兴恒利印染有限公司,"120.634988,30.143109"
皮革,总排口,绍兴市越球制革有限公司,"120.626368,30.122137"
纺织染整,入网口,海宁市振海针纺染整有限公司,"120.361707,30.396628"
纺织染整,标排口,绍兴多多纸品制造有限公司,"120.845587,29.995367"
纺织染整,标排口,义乌市大地线带厂,"120.075058,29.306841"
纺织染整,入网口,海宁市利得宝印染有限公司,"120.355923,30.393594"
造纸,废水标排口,杭州富阳飞翔纸业有限公司,"120.027350,30.020100"
化工,港储废水排放口,中国石化镇海炼化分公司港储部,"121.666911,29.973934"
污水处理厂,3#废水排放口,浦江富春紫光水务有限公司,"119.959091,29.428391"
污水处理厂,标排口,建德市城东污水处理厂,"119.276724,29.471099"
化工,东排渠,巨化集团公司,"114.074799,22.632051"
污水处理厂,进水口,义乌市水处理有限责任公司赤岸运营部,"120.037045,29.149615"
热电,铁烟囱,绍兴县柏盛热电有限公司,"112.693840,36.309483"
污水处理厂,标排口,建德莲花污水处理厂,"119.333397,29.515520"
污水处理厂,排放口,安吉银溪水务有限公司（原五鑫基础）,"119.675250,30.619375"
污水处理厂,废水标排口,宁波市镇海雄镇建设投资有限公司排水分公司（宁波市城市排水有限公司镇海区排水分公司）,"121.723170,29.951233"
电镀,标排口1#,缙云县四方电镀厂,"120.062318,28.605356"
污水处理厂,总排口,缙云健顺水务有限公司（缙云县污水处理厂）,"120.063090,28.609664"
食品加工,标准排放口,温州东瓯食品有限公司,"120.579320,27.974579"
热电,3#排放口,杭州江东富丽达热电有限公司,"120.584152,30.287655"
化工,标排口,绍兴凤登环保有限公司(原绍兴化工有限公司）,"120.633378,30.122226"
污水处理厂,标排口,永康市前仓镇污水处理厂,"120.092562,28.800761"
化工,废水排放口,浙江太平洋化学有限公司,"120.200522,30.347300"
污水处理厂,进水口,义乌市水处理有限责任公司苏溪运营部,"120.131443,29.409650"
造纸,标排口,桐庐新华纸业有限公司,"119.723591,29.815649"
污水处理厂,标排口,杭州余杭水务有限公司良渚分公司,"120.064663,30.382403"
纺织染整,标排口1#,临安华诚印染有限公司,"119.718891,30.237881"
火电,4号炉,浙江浙能嘉华发电有限公司,"120.179750,30.249750"
医药,总排口,浙江前进药业有限公司（原：美克药业）,"120.071226,30.248395"
金属加工,标排口,德清县红星塑料通讯器材厂,"120.294465,30.627770"
污水处理厂,总排口,德清县新市镇乐安污水处理厂,"120.299868,30.630264"
纺织染整,标排口,浦江佳媛工贸有限公司,"119.892726,29.450159"
医药,1#排口,联化科技（台州）有限公司,"121.559236,28.690588"
造纸,废水标排口,龙游塔恩纸业有限公司,"119.201077,29.039202"
污水处理厂,二期,遂昌县供排水有限公司污水处理厂,"119.278211,28.592802"
造纸,总排口,丽水兴昌新材料科技股份有限公司,"119.368160,28.621190"
合成革,废水标排口,浙江永隆化工有限公司,"119.899573,30.082344"
化工,标排口,江山市双氧水有限公司,"118.723053,28.810654"
纺织染整,标排口,东阳市茂盛洗染有限公司,"120.212083,29.288564"
造纸,废水标排口,富阳钓鱼实业有限公司,"119.979534,30.002545"
纺织染整,标准排放口,温州强业成衣水洗整理有限公司,"120.593288,28.075197"
电镀,标排口,义乌市美联工贸有限公司,"120.055968,29.326604"
热电,废气标排口2#,杭州余杭新奥能源发展有限公司,"119.942262,30.259477"
造纸,废水标排口,浙江金昌特种纸股份有限公司（原名为浙江金昌纸业有限公司）,"120.152791,30.267446"
热电,原垃圾排放口,浙江诸暨八方热电有限责任公司,"120.211464,29.748196"
化工,VOCs排放口纺化,浙江卫星石化股份有限公司,"120.285656,30.238799"
化工,标排口,浙江国光生化股份有限公司,"120.152791,30.267446"
纺织染整,排放口,杭州华丽染整有限公司,"120.310792,30.206858"
纺织染整,标排口,德清县昌隆绢纺染整有限公司,"120.156000,30.507000"
纺织染整,入管网口,浙江利明印染有限公司,"120.223481,30.314416"
热电,废气排放口,临安华旺热能有限公司,"119.844217,30.263484"
合成革,1#排口,台州宏得利树脂有限公司,"121.605507,28.708424"
污水处理厂,标准排放口,瑞安紫光水业有限公司（瑞安市江北污水处理厂）,"120.689937,27.721109"
金属加工,标排口,德清县浙北通讯器材有限公司,"120.298227,30.630042"
电镀,废水排放口,宁波北仑区白峰电镀厂,"121.983260,29.885377"
医药,VOC排放口,绍兴民生医药有限公司,"120.601829,30.110748"
皮革,标准排放口,温州市中天皮革制造有限公司,"120.816159,27.958513"
污水处理厂,1#排口,仙居县白塔镇污水处理厂,"120.601611,28.750119"
纺织染整,标排口,义乌市成源漂染有限公司,"120.075058,29.306841"
污水处理厂,2#废水排放口,浦江富春紫光水务有限公司,"119.959091,29.428391"
纺织染整,标排口,义乌市博尼服饰有限公司,"120.137322,29.402821"
化工,入管网口,桐乡市化工有限公司,"120.540208,30.610358"
金属加工,标排口,兰溪市同力铝业股份有限公司,"119.460526,29.208919"
电镀,废水排放口,北仑江南电镀中心,"121.709400,29.941122"
化工,总排口,绍兴市宇洲化工有限公司,"120.775749,30.065530"
纺织染整,1#排口,台州同兴印染有限公司,"121.334461,28.677548"
纺织染整,标排口1#,杭州临安藻溪丝绸印染厂,"119.492762,30.197788"
污水处理厂,总排口,龙泉市达石工农业开发有限公司,"119.141461,28.074623"
造纸,总排口,嵊州市永利纸业有限公司,"120.840490,29.608043"
污水处理厂,标排口,建德市三都镇污水处理厂,"119.573650,29.536845"
污水处理厂,1#废水排放口,浦江富春紫光水务有限公司,"119.959091,29.428391"
纺织染整,总排口,绍兴市越兴纱线有限公司,"120.664651,30.100780"
纺织染整,标准排放口,宁波盛丰纺织有限公司,"121.701251,29.917117"
造纸,标排口1#,杭州临安荣达造纸厂,"119.718891,30.237881"
化工,总排口,绍兴众昌化工股份有限公司,"120.884776,30.143885"
化工,乙烯污水排放口,中国石油化工股份有限公司镇海炼化分公司,"121.666911,29.973934"
纺织染整,标排口,义乌市锦绣染整有限公司,"119.965384,29.231008"
污水处理厂,废水标排口,建德市李家污水处理厂,"119.038502,29.326257"
污水处理厂,总排口,嘉兴市秀洲区荷花污水处理厂,"120.639361,30.669744"
纺织染整,1#排口,余姚百利特种纺织染整有限公司,"121.049707,30.164296"
合成革,纳管口,嘉兴震洲服装有限公司,"120.994924,30.731731"
化工,总排口,浙江恒逸高薪材料有限公司,"120.684340,30.260486"
污水处理厂,1#排口,玉环经济开发区基础设施投资有限公司（漩门污水）,"121.274606,28.218338"
造纸,1#排口,台州市华丰纸业有限公司,"121.113636,28.616476"
污水处理厂,1#排口,临海清源污水处理有限公司（临海市南洋第二污水处理厂一期工程）,"121.583210,28.703350"
造纸,标排口,嵊州市西鲍第五纸业有限公司,"120.822085,29.684674"
污水处理厂,标排口,兰溪市诸葛镇污水处理厂,"119.292804,29.254702"
纺织染整,排放口,浙江永春针织有限公司,"120.152791,30.267446"
纺织染整,标排口,上虞市舜虹纺织漂染有限公司,"118.897163,32.466564"
