所属行业,站点名称,企业名称,经纬度
皮革,标准排放口,华峰集团有限公司（原浙江华峰新材料股份有限公司）,"120.643111,30.240488"
皮革,污水总排口,丽水市神州布业有限公司,"119.837683,28.396239"
皮革,标排口,绍兴英吉利印染有限公司,"120.703235,30.217017"
皮革,废水排放口,宁波杭州湾新区创艺长毛绒有限公司,"121.302081,30.302635"
皮革,标排口,桐庐窄溪滚镀厂,"119.761616,29.836469"
皮革,入管网口,海宁市群乐丝绸印染有限公司,"120.788889,30.353251"
皮革,标排口,金华帅达毛纺织品有限公司,"119.906090,29.248231"
皮革,雨水口,武义县弘润工贸有限公司,"119.816318,28.892721"
皮革,排放口,杭州欣阳三友精细化工有限公司,"120.400550,30.263014"
,总排口,绍兴中成热电有限公司一分厂,"120.628388,30.086423"
,2#废气排放口,临安龙正节能环保科技有限公司,"119.481555,30.196755"
皮革,废水排放口,嘉善县翁乐印染厂,"120.839386,30.896366"
皮革,标排口1,宁波合盛服饰有限公司,"121.185209,30.214960"
,1#,兰溪旺能环保能源有限公司,"119.430870,29.289750"
皮革,1#,杭州三星工艺玻璃有限公司,"119.884465,30.388399"
皮革,标排口,台州市布博纺织印染有限公司,"121.464443,28.556752"
,废气排放口,浙江新化化工股份有限公司,"120.152791,30.267446"
皮革,标排口,浦江水晶集聚园区（东部）,"119.892726,29.450159"
,1#废气排放口,平湖旗滨玻璃有限公司,"121.236163,30.687046"
皮革,标排口,浙江华润三九众益制药有限公司,"120.092648,30.164773"
皮革,标排口1#,海宁上塘水务有限公司（原海宁紫薇水务有限责任公司）（长安泵站）,"120.685987,30.504591"
皮革,标排口,浙江天河高新金属材料有限公司,"120.152791,30.267446"
,3#标排口,台州市德长环保有限公司,"121.583940,28.705668"
皮革,标排口,东阳市红染针织有限公司,"120.212778,29.290256"
皮革,废水排放口,嘉兴和新精冲有限公司,"120.965673,30.869366"
皮革,窨井,老城纳污干管,"112.482208,34.685792"
皮革,总排口,丽水市富泰革基布有限公司,"119.848630,28.403530"
皮革,标排口,温州鸿升集团有限公司,"120.782797,27.823729"
皮革,标排口,宁波卓成化纤有限公司,"121.598982,30.053754"
皮革,总排口,湖州康力纸业有限公司,"120.281520,30.601885"
,废气排放口,杰森石膏板（嘉兴）有限公司,"121.232203,30.672831"
皮革,1#,桐庐新合电镀制品有限公司,"119.939353,29.696066"
皮革,三期进水口,海宁首创水务有限责任公司,"120.680012,30.395467"
皮革,1#,丽水宾迪实业有限公司,"119.785057,28.345109"
皮革,标排口,杭州金象印染有限公司,"120.178916,30.402327"
皮革,排放口,浙江胜达彩色预印有限公司,"120.195223,29.988790"
皮革,废水,舟山市东兴海洋生物制品有限公司,"122.154905,30.108845"
皮革,标排口1,慈溪市亚太化纤线业有限公司,"121.537194,30.140607"
皮革,废水排放口,宁波竞宏服饰有限公司,"121.596636,29.927135"
垃圾焚烧,1#标排口,台州旺能环保能源有限公司,"121.552467,28.544958"
火电,废气排放口#6,国电浙江北仑第三发电有限公司,"121.844618,29.899044"
纺织染整,标准排放口,温州五合印染有限公司,"120.821000,27.961279"
金属加工,标准排放口,永嘉县中环金属表面处理有限公司,"120.604806,28.047542"
金属加工,标准排放口,温州泽盛科技有限公司,"120.566700,28.115504"
水泥,2#窑尾排放口,湖州南方水泥有限公司,"119.920372,31.022445"
食品加工,标排口,浙江金华市佳乐乳业有限公司,"119.627951,29.058407"
水泥,废气排放口,兰溪南方水泥有限公司,"119.513261,29.200324"
火电,#11机组废气排放口,浙江浙能镇海天然气发电有限责任公司,"121.690679,29.947846"
纺织染整,排放口,宁波三邦线业有限公司,"121.530421,29.837881"
火电,#12机组废气排放口,浙江浙能镇海天然气发电有限责任公司,"121.690679,29.947846"
纺织染整,排放口,绍兴宏晟印染有限公司,"120.682151,30.192668"
垃圾焚烧,标排口1#,温州市瓯海伟明垃圾发电有限公司,"120.699366,27.994267"
纺织染整,标准排放口,温州宏丰革基布有限公司,"120.846592,27.944165"
水泥,窑尾排放口,湖州白岘南方水泥有限公司,"119.758529,31.093080"
电镀,废水排放口二期,嘉兴敏惠汽车零部件有限公司,"120.835892,30.739085"
化工,总排放口,杭州红妍颜料化工有限公司,"120.473953,30.314899"
水泥,窑头排放口,浙江衢州巨泰建材有限公司,"118.873905,28.902045"
纺织染整,标排口,杭州富强织染有限公司,"119.610600,29.841668"
垃圾焚烧,标排口,温岭绿能新能源有限公司,"121.386195,28.359619"
热电,废气排放口,海宁东山热电有限公司,"120.657278,30.534200"
火电,1#废水排口,浙江国华余姚燃气发电有限责任公司,"121.104068,30.062166"
纺织染整,标排口,绍兴东森印染有限公司,"120.662130,30.164804"
污水处理厂,总排口,长兴永安水务有限公司,"119.898960,31.002376"
电镀,标排口,兰溪市申宇五金有限公司,"119.490726,29.275331"
纺织染整,标准排放口,永嘉县瓯北镇海鑫服装水洗厂,"120.700850,28.114350"
化工,锅炉烟气排放口,宁波中金石化有限公司,"121.639311,30.034534"
纺织染整,标排口,浙江新亚实业有限公司,"120.120770,30.273419"
纺织染整,纳管口,海盐县于城漂染有限公司,"120.864643,30.534701"
造纸,废水排放口,杭州富阳登月纸业有限公司,"119.682056,29.986671"
热电,6#废气排放口,宁波榭北热电有限公司,"121.950161,29.927861"
化工,纳管口,宁波环洋新材料股份有限公司,"121.951571,29.934937"
垃圾焚烧,2#污泥焚烧炉排口,宁波亚洲浆纸业有限公司,"121.766899,29.953414"
纺织染整,标排口,安吉县博奥印染厂,"119.605951,30.753226"
纺织染整,排放口,杭州航民美时达印染有限公司,"120.415485,30.188234"
纺织染整,标排口,湖州得盛印染有限公司,"120.202386,30.788761"
水泥,1#窑尾排放口,湖州南方水泥有限公司,"119.920372,31.022445"
纺织染整,纳管口,嘉兴富利嘉纺织染纱有限公司,"120.935234,30.712017"
化工,总排口,浙江化工院科技有限公司,"120.141823,30.300969"
纺织染整,标排口,绍兴上虞国宏印染有限公司,"120.882410,30.149492"
医药,1#排口,台州市星明药业有限公司,"121.510424,28.658822"
纺织染整,废水排放口,宁波市友茂纺织品有限公司,"121.651027,29.986495"
垃圾焚烧,1#废气排放口,温州宏泽热电股份有限公司,"120.786000,27.811598"
电镀,废水处理排放口,宁波市浙东表面处理有限公司,"121.934956,29.526152"
纺织染整,标排口,绍兴市富士豪印染有限公司,"120.627706,30.122697"
污水处理厂,总排口,长兴昂为环境生态工程有限公司,"119.920473,30.971585"
造纸,废水标排口,杭州弘伦纸业有限公司,"119.975854,30.009717"
纺织染整,标排口,浪莎针织有限公司,"120.046227,29.295280"
造纸,废水排放口,杭州富阳胜利造纸有限公司,"120.032571,30.033625"
食品加工,排放口,杭州紫香糖业有限公司,"120.572609,30.175372"
电镀,排口,宁波市安信汽车零部件有限公司,"121.605010,30.048124"
纺织染整,1#排口,宁波天乙线业有限公司,"121.074721,30.268485"
纺织染整,标排口,金华赛格染整有限公司,"119.921480,29.181741"
热电,废气排放口,浙江清园生态热电有限公司,"119.982211,30.032158"
火电,1#废气排放口,浙江浙能兰溪发电有限责任公司,"119.507364,29.183516"
纺织染整,标排口,湖州三印丝绸炼染有限公司,"120.258870,30.724454"
化工,废气排放口,罗赛洛（温州）明胶有限公司,"120.495771,27.581188"
纺织染整,标排口,绍兴康盛印染有限公司,"120.663659,30.099399"
造纸,废水排放口,衢州市东大特种纸有限公司,"118.946480,28.954098"
水泥,（2000吨）废气排放口,江山南方水泥有限公司,"118.589672,28.703199"
纺织染整,纳管口,海盐县于城漂染有限公司,"120.864643,30.534701"
造纸,总排口,嘉兴市高翔纸业有限公司,"120.924632,30.623724"
热电,4#标排口,杭州华电下沙热电有限公司,"120.355820,30.338263"
合成革,废水排放口,德清升大皮革有限公司,"120.303463,30.627972"
金属加工,一期烧结机尾除尘2号,衢州元立金属制品有限公司,"118.848694,28.903141"
daxingchuqinyangzhi,排放口,杭州兴发养殖有限公司,"120.573665,30.372144"
污水处理厂,标排口,慈溪市杭州湾水处理有限公司,"121.331978,30.312448"
垃圾焚烧,2#标排口,温岭绿能新能源有限公司,"121.386195,28.359619"
电镀,标排口,宁波晶美科技有限公司,"121.513567,29.796019"
火电,4号炉,浙江浙能乐清发电有限责任公司,"121.087458,28.168337"
污水处理厂,凯津环保排放口,瑞安市华邦印染产业园有限公司,"120.655148,27.778657"
纺织染整,标排口,金华市光阳毛纺厂,"119.921720,29.181141"
垃圾焚烧,2#烟囱,绍兴华鑫环保科技有限公司,"120.647097,30.206877"
垃圾焚烧,垃圾炉2号,金华乌拉环保能源有限公司,"119.618539,29.088203"
纺织染整,标排口,绍兴华夏印染有限公司,"120.697469,30.211770"
火电,1#标排口,华能国际电力股份有限公司玉环电厂,"121.375417,28.593955"
火电,温排口,华润电力（温州）有限公司,"120.662761,27.497897"
热电,2#废气排放口,宁波中华纸业有限公司,"121.514514,29.830570"
水泥,废气排放口,兆山集团诸暨水泥有限公司,"120.367902,29.780870"
纺织染整,标排口1#,宁海县城关连头山印染织厂,"121.434660,29.304438"
火电,1号炉,浙江浙能乐清发电有限责任公司,"121.087458,28.168337"
污水处理厂,废水排放口,富阳市清园城市综合污水处理有限公司,"119.949867,30.049871"
纺织染整,标排口,浙江中新毛纺织有限公司,"120.327180,30.452275"
电镀,标排口,宁波方太厨具有限公司,"121.270800,30.193422"
垃圾焚烧,垃圾炉,宁波众茂姚北热电有限公司,"121.070833,30.256568"
化工,总排放口,浙江古纤道新材料股份有限公司,"120.457034,30.282435"
纺织染整,排放口,宁波大贯制线有限公司,"121.605570,29.917922"
纺织染整,标排口,宁波波迪针织有限公司,"121.511860,29.797668"
化工,污水处理场排放口,宁波科元塑胶有限公司,"121.791986,29.959246"
热电,旁路排放口,宁波久丰热电有限公司,"121.626381,30.050927"
热电,1#标排口,台州市椒江热电有限公司,"121.476082,28.669545"
污水处理厂,总排口,永康市钱江水务有限公司城市污水处理厂,"119.994104,28.877249"
化工,含盐污水华清排放口,宁波中金石化有限公司,"121.639311,30.034534"
热电,超清2#,绍兴远东热电有限公司,"120.658506,30.189931"
皮革,标排口,兰溪市鑫华制革有限责任公司,"119.407339,29.145909"
垃圾焚烧,3#排放口,长兴新城环保有限公司,"119.938797,31.080832"
纺织染整,1#排口,台州市椒江星明印染厂,"121.490129,28.663778"
纺织染整,标排口,湖州永升纺织印染有限公司,"119.854472,30.625925"
垃圾焚烧,2号炉,浙江诸暨八方热电有限责任公司,"120.211464,29.748196"
纺织染整,入网口,浙江荡湾纺织科技有限公司（原海宁市许村荡湾印染有限公司）,"120.353747,30.467104"
污水处理厂,标准排放口,温州市创源水务有限公司（温州市西片污水处理厂）,"120.604244,28.025569"
造纸,标排口1#,杭州晨达特种纸业有限公司,"119.386818,30.131757"
污水处理厂,总排口,湖州南浔城投千金污水处理有限公司,"120.431049,30.876247"
垃圾焚烧,标排口1#,温州龙湾伟明环保能源有限公司,"120.704031,27.715946"
电镀,标排口,义乌市振兴首饰品电镀厂,"120.035644,29.265416"
造纸,废水标排口,富阳市亭山造纸二厂,"119.997749,30.002199"
纺织染整,标排口,沪江控股有限公司,"120.082565,29.306705"
污水处理厂,标排口,杭州余杭水务有限公司塘栖污水处理厂,"120.300258,30.416271"
造纸,标排口,杭州华丰纸业有限公司,"120.125873,30.313432"
纺织染整,标准排放口,温州市新力实业公司,"120.609364,28.021166"
化工,标准排放口,嘉利达（苍南）明胶有限公司,"120.488420,27.575254"
污水处理厂,废水排放口,湖州妙西原乡市政有限公司,"120.086823,30.894348"
电镀,废水排放口,桐庐美磁表面处理有限公司（原恒剑塑料制笔表面处理厂）,"119.689262,29.798308"
啤酒,标排口,杭州千岛湖啤酒有限公司,"119.148194,29.608944"
热电,1#废气排放口,浙江富春江环保热电股份有限公司,"119.999613,30.020635"
污水处理厂,总排口,浙江湖州金洁水务股份有限公司,"120.294394,30.841632"
纺织染整,标排口,绍兴鹰翔染整有限公司,"120.507636,29.947735"
电镀,1#排口,余姚市南山电镀厂(浙江青泽环保科技有限公司),"120.095356,30.416370"
化工,歧化加热炉烟气G3-2,宁波中金石化有限公司,"121.639311,30.034534"
电镀,排放口,江山市纪元电镀五金有限公司,"118.724810,28.804497"
污水处理厂,进口,兰溪市游埠污水处理有限公司,"119.326240,29.116446"
电镀,标排口1#,宁波派灵实业有限公司,"121.456090,29.340829"
电镀,排放口,象山城东工业园表面处理有限公司（宁波乔明家居用品实业有限公司）,"121.939480,29.524929"
污水处理厂,2#排口,杭州天创水务有限公司,"120.309310,30.295766"
污水处理厂,总排口,浙江安吉水务有限公司污水处理厂,"119.690699,30.650445"
热电,废气排放口,温州泰康供热有限公司,"120.598198,27.989064"
纺织染整,标排口,绍兴第二印染有限公司,"120.509685,29.974206"
造纸,总排放口,绍兴天明纸业有限公司,"120.613694,30.139015"
化工,EVA厂焚化炉,台塑工业（宁波）有限公司,"121.906423,29.904067"
电镀,标排口,宁海县金艺氧化厂,"121.423187,29.464398"
化工,三江VOCs排放口,嘉兴三江化工有限公司,"121.043368,30.607984"
造纸,废水标排口,杭州广丰纸业有限公司,"119.884058,30.121908"
纺织染整,总排放口,诸暨天义恒染整有限公司,"120.377518,29.860069"
火电,7#标排口,台州发电厂,"121.460481,28.698699"
电镀,标排口,浦江县三阳工贸有限公司,"119.957295,29.426990"
化工,（锦纶B排放口）,衢州巨化锦纶责任有限公司,"118.894151,28.896132"
纺织染整,标排口,湖州纳尼亚实业有限公司,"119.935470,31.077610"
纺织染整,总排口,嘉兴市泰石漂染厂,"120.659702,30.687472"
化工,分馏加热炉烟气G3-3,宁波中金石化有限公司,"121.639311,30.034534"
造纸,废水排放口,杭州富阳永乐纸业有限公司,"119.963284,30.012784"
污水处理厂,进水口,杭州富阳水务有限公司场口排水分公司,"119.878113,29.911858"
化工,双宏化工环保标排口,金华双宏化工有限公司,"119.707782,29.014962"
医药,1#排口,浙江九洲药业股份有限公司椒江岩头分公司,"121.469678,28.674931"
造纸,废水排放口,杭州板桥纸业有限公司,"119.985144,30.002558"
污水处理厂,标准排放口,文成县公用事业投资有限公司（百丈漈污水处理厂）,"120.082122,27.799226"
食品加工,标排口,兰溪五丰冷食有限公司,"119.432016,29.244517"
火电,1#排放口,国电湖州南浔天然气热电有限公司,"120.352437,30.856801"
热电,1#废气排放口,绍兴美佳热电有限公司,"120.550773,30.106245"
纺织染整,排放口,杭州大地印染有限公司,"120.453352,30.201190"
化工,标排口1#,杭州石化有限责任公司,"120.137763,30.354717"
垃圾焚烧,3#,德长环保股份有限公司（德力西长江环保投资有限公司）,"116.063431,45.269684"
污水处理厂,废水排放口,杭州富阳水务有限公司新登排水分公司,"119.726417,29.959750"
垃圾焚烧,3#排放口,杭州萧山锦江绿色能源有限公司,"120.270560,30.100908"
电镀,标准排放口,福达合金材料股份有限公司,"105.855934,24.348131"
水泥,1#窑尾排口,宁波科环新型建材股份有限公司,"121.142680,30.063037"
污水处理厂,标排口,桐庐横村镇污水处理厂,"119.689262,29.798308"
污水处理厂,总排口,舟山中电建水务有限公司（六横镇城镇污水处理厂）,"122.157177,29.720034"
电镀,标排口,宁波奉化宇阳环保科技厂,"121.550357,29.874556"
化工,标排口,浙江省东阳市金鑫化学工业有限公司,"120.377662,29.273335"
水泥,1#标排口,浙江省赤龙水泥有限公司,"120.558667,30.284575"
食品加工,废水排放口,湖州思念食品有限公司,"120.069728,30.870350"
化工,废气排放口,嘉利达（苍南）明胶有限公司,"120.488420,27.575254"
电镀,标准排放口,温州市合富工贸有限公司,"120.668544,27.867306"
污水处理厂,排放口,嘉兴市闻源水务投资有限公司红莫污水处理站,"120.755486,30.746129"
造纸,废水排放口,嘉善奕帆纸业有限公司,"120.963236,30.972323"
化工,废气排放口,浙江卫星石化股份有限公司,"120.285656,30.238799"
纺织染整,标排口,临安藻溪漂染厂,"119.490156,30.199792"
造纸,废水标排口,杭州富阳文博纸业有限公司,"119.974187,30.011889"
污水处理厂,再生水处理排放口,舟山市污水处理有限公司（定海污水处理厂）,"122.199097,29.981216"
热电,2#废气排放口,绍兴皋埠热电有限公司,"120.696934,30.010532"
污水处理厂,标准排放口,上海中发环保有限公司乐清分公司(大荆污水处理厂),"121.436525,31.237498"
化工,厂界VOC,宁波赫革丽高分子科技有限公司,"121.785295,29.960307"
污水处理厂,总排口,湖州市污水处理有限公司市北污水厂,"119.690250,30.695676"
热电,2#废气排放口,上虞杭协热电有限公司,"120.876483,30.137023"
垃圾焚烧,废气排放口,德长环保股份有限公司（德力西长江环保投资有限公司）,"116.063431,45.269684"
化工,废水排放口,浙江衢州卓尔化学有限公司,"118.856650,28.890800"
污水处理厂,总排口,安吉净源污水处理有限公司,"119.675250,30.619375"
化工,标准排放口,瑞安市华宝化工有限公司,"120.588065,27.811178"
电镀,总排口,新昌县新宏力铝业有限公司,"120.903866,29.499832"
化工,1#标排口,杭州浙晨橡胶有限公司,"120.612838,30.262708"
污水处理厂,废水排放口,宁波市鄞州区城市排水有限公司滨海污水处理厂,"121.532675,29.834264"
医药,废水排放口,衢州伟荣药化有限公司,"118.878849,28.912529"
纺织染整,标准排放口,宁波怡东印花有限公司,"121.700781,29.920945"
污水处理厂,排放口,嘉兴市秀洲区油车港镇上睦村污水处理站,"120.735873,30.851714"
污水处理厂,1#排口,台州市黄岩北控污水处理有限公司,"121.318080,28.663130"
化工,总排口,上虞舜联化工有限公司,"120.906974,30.159543"
火电,排放口,浙江浙能电力股份有限公司萧山发电厂,"120.239409,30.047069"
电镀,雨水口,武义县兴盛电镀厂,"119.862441,28.863646"
金属加工,标排口,浙江解放机械制造有限公司,"120.152791,30.267446"
食品加工,总排口,宁波海龙罐头食品有限公司,"121.553688,30.020196"
污水处理厂,标准排放口,文成县公用事业投资有限公司（珊溪巨屿污水处理厂）,"120.082122,27.799226"
造纸,标排口1#,临安市青山纸业有限公司,"119.839186,30.252319"
电镀,标排口,宁波奉化金盛镀业有限公司,"121.426305,29.707309"
纺织染整,标准排放口,温州市和丰革基布有限公司,"120.825564,27.958954"
金属加工,标排口1#,临安沈氏机械有限公司,"119.771812,30.323723"
污水处理厂,新站排放口,嘉兴市秀洲区田乐污水处理厂,"120.711613,30.950082"
食品加工,废水排放口,杭州富阳杭富罐头食品有限公司新浦分公司,"120.152700,30.162737"
火电,10#标排口,台州发电厂,"121.460481,28.698699"
皮革,标准排放口,温州英豪皮业有限公司(温州致富皮业有限公司),"120.445001,27.870541"
化工,标排口,上虞颖泰精细化工有限公司,"120.871685,30.135756"
纺织染整,总排口,嵊州雅戈尔毛纺织有限公司,"120.868514,29.557364"
污水处理厂,标准排放口,温州杭钢水务有限公司（温州中心片污水处理厂）,"120.689112,27.981186"
食品加工,排放口,宁波飞日水产有限公司,"121.911242,29.188853"
垃圾焚烧,标排口2#,温州龙湾伟明环保能源有限公司,"120.704031,27.715946"
污水处理厂,标排口,丽水水艺环境科技有限公司,"119.075281,27.620268"
daxingchuqinyangzhi,排放口,杭州萧山瓜沥郑浩养殖场,"120.155070,30.274084"
污水处理厂,标准排放口,温州市巨城污水处理有限公司（瞿溪污水处理厂）,"120.550025,27.986531"
电镀,废水排放口,湖州市弁南电镀厂,"120.004871,30.901949"
污水处理厂,总排口,湖州南浔嘉诚水质净化有限公司,"120.431049,30.876247"
造纸,标排口,嵊州市圣亿纸业有限公司,"120.822975,29.684822"
纺织染整,废水排放口,宁波鹰星针纺有限公司,"121.956780,29.480390"
纺织染整,入管网口,桐乡市辉煌染整有限公司,"120.628910,30.585686"
化工,总排口,上虞丰彩颜料化工有限公司,"120.857998,30.139846"
纺织染整,标排口,德清县新鑫达丝绸炼染有限责任公司,"120.306711,30.617301"
金属加工,标准排放口,温州宏丰电工合金股份有限公司,"120.855277,28.034356"
热电,龙港排放口,温州凯弘新能源管理有限公司,"120.628433,27.501207"
纺织染整,标排口,浙江省东阳市康达印染有限公司,"120.211536,29.290500"
造纸,标排口,嵊州宇丰纸业有限公司,"120.826020,29.690850"
热电,排放口—热电厂马目车间,浙江新安化工集团股份有限公司,"119.278090,29.450012"
电镀,废水排放口,宁波北仑电镀厂,"121.815450,29.946452"
化工,废水排放口,宁波新桥化工有限公司,"121.735457,29.959250"
污水处理厂,1#排口,临海市江南污水处理厂出水,"121.145047,28.858457"
污水处理厂,排放口,嘉兴市秀清水务建设有限公司洛东污水,"120.599427,30.800468"
火电,废气排放口,浙江普星京兴然气发电有限公司（琥珀）,"120.152791,30.267446"
垃圾焚烧,1#,瑞安市海滨伟明环保能源有限公司,"120.704031,27.715946"
污水处理厂,标排口,兰溪市黄店污水处理有限公司,"119.419345,29.301510"
污水处理厂,总排口,常山富春紫光污水处理有限公司（城镇（原名为常山县天马污水处理厂）,"118.556327,28.902510"
污水处理厂,1#排口,临海市白水洋镇污水处理厂,"120.907634,28.896346"
纺织染整,纳管口,嘉兴市新时代针织有限公司,"120.726519,30.718177"
电镀,标排口,义乌市靓迪饰品厂,"119.985169,29.238210"
化工,污水总排口,杭州帝凯化工有限公司,"120.505636,30.373381"
造纸,废水标排口,杭州富阳万华纸业有限公司,"120.026187,30.021996"
热电,废气标排口3#,杭州余杭新奥能源发展有限公司,"119.942262,30.259477"
电镀,标排口,宁波海博电泳涂装有限公司,"121.557412,29.688867"
造纸,标准排放口,乐清市秋月造纸有限公司,"121.012679,28.174847"
纺织染整,标排口,义乌市环球染整有限公司,"120.075058,29.306841"
造纸,废水标排口,浙江成功纸业有限公司,"119.978273,30.004001"
纺织染整,标排口,绍兴飞亚印染有限公司,"120.600972,30.102926"
