省份名称,省份简称或者是直辖市,现存确诊,累计确诊,治愈,死亡
,台州,0,147,147,0
,金华,0,55,55,0
,嘉兴,0,46,46,0
,绍兴,0,42,42,0
,省十里丰监狱,0,36,36,0
,丽水,0,17,17,0
,衢州,0,14,14,0
,湖州,0,10,10,0
,舟山,0,10,10,0
天津市,天津,12,316,301,3
,境外输入,12,169,157,0
,宝坻区,0,60,58,2
,河东区,0,15,14,1
,滨海新区,0,13,13,0
,河北区,0,12,12,0
,北辰区,0,7,7,0
,南开区,0,6,6,0
,和平区,0,6,6,0
,外地来津,0,6,6,0
,东丽区,0,4,4,0
,宁河区,0,4,4,0
,河西区,0,4,4,0
,西青区,0,4,4,0
,武清区,0,2,2,0
,红桥区,0,2,2,0
,津南区,0,2,2,0
云南省,云南,12,230,216,2
,境外输入,12,56,44,0
,昆明,0,53,53,0
,昭通,0,25,25,0
,西双版纳,0,15,14,1
,玉溪,0,14,13,1
,曲靖,0,13,13,0
,大理州,0,13,13,0
,红河州,0,9,9,0
,保山,0,9,9,0
,丽江,0,7,7,0
,德宏州,0,5,5,0
,普洱,0,4,4,0
,楚雄州,0,4,4,0
,文山州,0,2,2,0
,临沧,0,1,1,0
黑龙江省,黑龙江,8,970,949,13
,黑河,8,23,15,0
,境外输入,0,389,389,0
,哈尔滨,0,264,260,4
,双鸭山,0,52,49,3
,绥化,0,47,43,4
,鸡西,0,46,46,0
,齐齐哈尔,0,43,42,1
,牡丹江,0,36,36,0
,大庆,0,27,26,1
,七台河,0,17,17,0
,佳木斯,0,15,15,0
,鹤岗,0,5,5,0
,大兴安岭,0,3,3,0
,待明确,0,2,2,0
,伊春,0,1,1,0
山东省,山东,8,863,848,7
,境外输入,8,86,78,0
,济宁,0,260,260,0
,青岛,0,79,78,1
,临沂,0,49,49,0
,济南,0,47,47,0
,烟台,0,47,47,0
,潍坊,0,44,44,0
,威海,0,38,37,1
,聊城,0,38,38,0
,德州,0,37,35,2
,泰安,0,35,33,2
,淄博,0,30,29,1
,枣庄,0,24,24,0
,菏泽,0,18,18,0
,日照,0,16,16,0
,滨州,0,15,15,0
河南省,河南,7,1300,1271,22
,境外输入,7,27,20,0
,信阳,0,274,272,2
,郑州,0,157,152,5
,南阳,0,156,153,3
,驻马店,0,139,139,0
,商丘,0,91,88,3
,周口,0,76,75,1
,平顶山,0,58,57,1
,新乡,0,57,54,3
,安阳,0,53,53,0
,许昌,0,39,38,1
,漯河,0,36,36,0
,焦作,0,32,31,1
,洛阳,0,31,30,1
,开封,0,26,26,0
,鹤壁,0,19,19,0
,濮阳,0,17,17,0
,三门峡,0,7,6,1
,济源,0,5,5,0
山西省,山西,3,225,222,0
,境外输入,3,91,88,0
,晋中,0,37,37,0
,太原,0,21,21,0
,运城,0,19,19,0
,大同,0,12,12,0
,晋城,0,10,10,0
,长治,0,8,8,0
,朔州,0,8,8,0
,忻州,0,7,7,0
