Date,Open,High,Low,Close,Turnover,日收益率
2019-01-14,39.91,40.36,39.32,39.45,18716052,NAN
2019-01-15,39.5,41.02,39.33,41,40219032,0.03929024081115328
2019-01-16,41,41.46,40.62,41.2,28623404,0.004878048780487874
2019-01-17,41.2,41.7,40.88,40.91,25974048,-0.007038834951456462
2019-01-18,41.45,42.1,41.04,42.08,38442800,0.02859936445856763
2019-01-21,42.2,42.8,41.6,42.09,29411592,0.0002376425855514524
2019-01-22,42.1,42.31,41.02,41.3,24468218,-0.018769303872653985
2019-01-23,40.99,42.05,40.99,41.46,19227308,0.00387409200968532
2019-01-24,41.8,42.09,41.21,41.59,21956286,0.0031355523396044997
2019-01-25,41.73,42.1,40.7,41.9,26754816,0.007453714835296829
2019-01-28,42.18,43,41.8,41.84,34221268,-0.0014319809069211259
2019-01-29,41.84,43,41.46,43,36969152,0.027724665391969324
2019-01-30,42.79,42.9,42.1,42.1,29219142,-0.020930232558139503
2019-01-31,42.88,43.6,42.45,43.53,38921536,0.033966745843230395
2019-02-01,44.35,44.5,43.53,44.26,31220320,0.016770043648058737
2019-02-11,43.96,46.32,43.9,46.08,34905404,0.04112065070040669
2019-02-12,46,46.9,45.65,46.49,30289404,0.008897569444444526
2019-02-13,46.74,47.23,45.9,46.8,32414274,0.006668100666809963
2019-02-14,46.9,47.31,46.5,47.15,22921396,0.007478632478632509
2019-02-15,46.75,46.75,45,45.27,46535960,-0.0398727465535524
2019-02-18,45.8,46.46,45.55,46.4,32570218,0.02496134305279424
2019-02-19,46.48,47.34,45.61,46.08,28075864,-0.006896551724137937
2019-02-21,46.5,47.42,45.64,45.86,41442276,-0.004774305555555531
2019-02-22,45.9,45.9,44.35,45.61,38882484,-0.005451373746184039
2019-02-25,47.5,49.39,46.69,49.17,72852264,0.07805305853979395
2019-02-26,48.35,48.7,47.35,47.36,49051748,-0.03681106365670129
2019-02-27,47.15,48.21,47.15,47.64,31870518,0.005912162162162186
2019-02-28,47.65,48.18,47.45,47.78,25324278,0.0029387069689336812
2019-03-01,48.1,48.67,47.87,48.57,35840056,0.016534114692339872
2019-03-04,49.11,50.2,48.6,48.96,54264368,0.008029647930821506
2019-03-05,49.42,49.5,48.71,49,30924256,0.0008169934640522702
2019-03-06,49.38,49.68,48.7,49.1,31652372,0.002040816326530641
2019-03-07,49,49,47.18,47.56,51162680,-0.03136456211812626
2019-03-08,46.66,47.23,45.7,45.8,46300912,-0.03700588730025242
2019-03-11,45.85,46.68,45.85,46.58,29056058,0.017030567685589547
2019-03-12,47.4,47.62,45.76,46.16,41167836,-0.009016745384285138
2019-03-13,46.18,46.64,45.53,46.23,34880544,0.0015164644714038191
2019-03-14,46.2,47.17,46.15,46.41,34423124,0.003893575600259566
2019-03-15,47.3,48.58,46.84,47.93,67236240,0.03275156216332694
2019-03-18,47.5,49.5,47.3,49.32,51499192,0.029000625912789495
2019-03-19,49.53,49.77,48.68,49.25,29701916,-0.001419302514193031
2019-03-20,49.25,49.45,48.38,48.9,29175156,-0.007106598984771602
2019-03-21,48.65,48.8,48.08,48.24,25832580,-0.013496932515337354
2019-03-22,48.3,48.82,47.71,48.6,22708008,0.007462686567164167
2019-03-25,47.68,48.2,46.56,46.69,32685556,-0.03930041152263382
2019-03-26,47.1,47.1,45.91,46.57,22442360,-0.0025701434996786773
2019-03-27,46.98,47.8,46.59,47.57,22752274,0.021473051320592657
2019-03-28,47.58,47.74,46.81,47.14,20235792,-0.009039310489804492
2019-03-29,47.01,48.88,47.01,48.73,43946364,0.03372931692829861
2019-04-01,49.3,53.57,49.25,52.93,97458864,0.08618920582803208
2019-04-02,52.93,53.36,51.73,51.9,55677616,-0.019459663706782565
2019-04-03,51.46,52.56,51.45,52.2,37881296,0.005780346820809331
2019-04-04,52.2,53.98,52.19,53.65,53724512,0.027777777777777693
2019-04-08,53.65,55.66,53.2,54.18,52200536,0.009878844361603004
2019-04-09,55.51,56.35,54.2,55.01,41411208,0.015319306016980404
2019-04-10,54.7,55.57,53.65,54.72,39869944,-0.005271768769314655
2019-04-11,54.72,54.75,52.31,52.44,51552544,-0.041666666666666685
2019-04-12,51.85,52.43,50.47,51.29,46963564,-0.021929824561403483
2019-04-15,52.05,53.3,51.5,51.5,40118708,0.0040943653733671445
2019-04-16,51,52.88,50.65,52.88,31212764,0.026796116504854417
2019-04-17,53.13,53.59,51.97,53,36187012,0.0022692889561270317
2019-04-18,53.53,54.33,53.1,53.42,26587494,0.007924528301886825
2019-04-19,53.35,55.75,52.7,55.08,37099544,0.03107450393111188
2019-04-22,54.99,54.99,52.2,52.79,41516788,-0.041575889615105284
2019-04-23,52.2,52.85,51.57,52.27,36013508,-0.009850350445159993
2019-04-24,52.5,52.83,51.55,52.6,28905902,0.006313372871628052
2019-04-25,52.3,52.3,51.28,51.41,25679536,-0.022623574144486784
2019-04-26,50.97,51.36,49.26,49.37,45929376,-0.039680995915191586
2019-04-29,49.37,51.98,49.36,51.31,44756288,0.03929511849301205
2019-04-30,51.4,53.5,51.4,52.4,45987952,0.021243422334827445
2019-05-06,49.9,51.04,49,49.07,66323496,-0.06354961832061065
2019-05-07,50.3,51.49,49.9,50.75,71785224,0.03423680456490727
2019-05-22,51.51,53.22,51,51.41,80369416,0.013004926108374316
2019-05-23,50.7,50.8,49.4,49.51,42115000,-0.03695779031316862
2019-05-24,49.28,50.28,49.01,49.82,29940664,0.00626136134114325
2019-05-27,49.82,50.08,48.88,49.75,28480786,-0.0014050582095544014
2019-05-28,49.77,51.22,49.77,50.51,34988936,0.015276381909547698
2019-05-29,50.05,50.92,49.85,50.38,21849380,-0.0025737477727181836
2019-05-30,49.37,49.72,48.5,49.45,32332956,-0.01845970623263199
2019-05-31,49,50.15,48.95,49.6,24107766,0.003033367037411498
2019-06-03,49.79,50.99,49.75,50.12,22801010,0.010483870967741855
2019-06-04,50.13,50.59,49.21,49.7,16344731,-0.008379888268156317
2019-06-05,50.42,50.54,49.25,49.51,22979620,-0.003822937625754624
2019-06-06,50.1,50.1,48.87,49.12,18573924,-0.007877196525954365
2019-06-10,49.56,50,49.34,49.76,24381044,0.013029315960912065
2019-06-11,49.69,51.84,49.6,51.47,37427416,0.03436495176848876
2019-06-12,51.34,51.62,50.83,51.51,21263684,0.0007771517388769992
2019-06-13,51.69,51.69,50.21,51.03,20181618,-0.00931857891671514
2019-06-14,51.28,51.9,50.55,50.57,13592896,-0.009014305310601623
2019-06-17,50.87,51.25,50.39,50.79,13274503,0.004350405378682991
2019-06-18,50.76,51.3,50.5,50.91,12021879,0.002362669816893039
2019-06-19,52.5,52.97,52.01,52.01,26345356,0.02160675702219606
2019-06-20,52.36,53.95,52.11,53.29,44843752,0.02461065179773123
2019-06-21,52.81,53.57,51.83,52.11,62281988,-0.022142991180334016
2019-06-24,51.83,52.62,51.4,52.18,37697200,0.0013433122241412452
2019-06-25,52,52.18,51,51.44,33048048,-0.014181678804139555
2019-06-26,51.51,51.83,51.32,51.51,20254884,0.0013608087091757444
2019-06-27,51.7,52.28,51.35,51.77,34520988,0.0050475635798875
2019-06-28,51.69,52.19,51.4,51.86,16957648,0.0017384585667374213
2019-07-01,52.97,54.45,52.76,54.09,61163012,0.04300038565368307
2019-07-02,53.66,55.1,53.56,54.81,50048616,0.01331114808652244
2019-07-03,55.22,55.32,53.68,54.09,35433552,-0.013136288998357943
2019-07-04,54.45,55.1,54,54.4,32522652,0.00573118875947486
2019-07-05,54.37,55.5,53.56,55.27,38708520,0.015992647058823615
2019-07-08,54.72,55.05,54.01,54.39,30569092,-0.015921838248597837
2019-07-09,54.3,54.48,53.36,53.84,25543296,-0.010112152969295775
2019-07-10,54.3,54.3,53.48,53.9,14552591,0.0011144130757799993
2019-07-11,54.02,55.27,53.92,54.39,24381196,0.009090909090909129
2019-07-12,54.45,55.15,54.18,54.78,19806828,0.007170435741864324
2019-07-15,54.51,55.3,53.68,54.67,24296256,-0.0020080321285140456
2019-07-16,54.8,54.85,53.11,53.52,26009224,-0.021035302725443544
2019-07-17,53.33,53.47,52.52,52.72,22648984,-0.014947683109118166
2019-07-18,52.5,52.92,52.02,52.69,17885712,-0.0005690440060698243
2019-07-19,53.39,53.39,52.49,52.59,20817364,-0.0018978933383942745
2019-07-22,52.7,53.2,52,52.8,19181022,0.003993154592127662
2019-07-23,52.8,53.22,52.71,53.2,14246298,0.0075757575757576835
2019-07-24,53.59,53.9,53.3,53.38,17738632,0.0033834586466165357
2019-07-25,53.38,53.64,53.04,53.45,16926346,0.001311352566504314
2019-07-26,53.1,53.6,53.02,53.43,12894364,-0.00037418147801689664
2019-07-29,53.64,54.38,53.41,54.01,22742228,0.010855324723937831
2019-07-30,54.28,55.38,54.25,55.2,34870480,0.02203295685984086
2019-07-31,55.13,55.66,54.56,54.7,19831720,-0.009057971014492754
2019-08-01,54.39,54.98,53.15,53.6,24127304,-0.020109689213893993
2019-08-02,51.5,53,51.05,52.75,34176396,-0.015858208955223906
2019-08-05,51.63,52.65,51.52,51.6,28786276,-0.02180094786729855
2019-08-06,50.61,51.58,49.32,51.51,34173928,-0.001744186046511694
2019-08-07,51.76,51.88,51.03,51.03,14531751,-0.00931857891671514
2019-08-08,51.23,52,51.2,51.8,13192393,0.015089163237311307
2019-08-09,52.1,52.35,51.01,51.22,14981329,-0.011196911196911165
2019-08-12,51,51.68,50.51,51.25,19425188,0.0005857087075361409
2019-08-13,51.05,51.66,50.05,50.32,26444142,-0.01814634146341463
2019-08-14,51.09,51.2,50.06,50.17,22387840,-0.002980922098569129
2019-08-15,49.3,50.11,48.61,49.96,26817340,-0.004185768387482576
2019-08-16,50,50.65,49.59,50.32,20221392,0.00720576461168934
2019-08-19,50.8,51.75,50.55,51.57,23181902,0.024841017488076312
2019-08-20,51.57,51.87,51.18,51.46,15096727,-0.0021330230754314414
2019-08-21,51.2,52.05,51.02,51.69,21018022,0.004469490866692516
2019-08-22,51.9,52.33,51.37,51.83,18928894,0.0027084542464693474
2019-08-23,52.15,52.65,51.68,52.25,21767788,0.008103415010611648
