上映时间,评分,评价人数,一句话总结
1999,8.8,437994,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
1995,8.9,359280,少女情怀总是诗。
1987,8.7,570291,两张绝世的脸。 
2004,9.1,221570,我的平常生活就是他人的幸福。
2014,8.7,780840,Balalala~~~
2004,8.6,771851,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
1996,8.8,405619,相逢只要一瞬间，等待却像是一辈子。
2011,8.9,396092,触不到的恋人。
2010,8.8,425127,曾经的那段美好会沉淀为一辈子的记忆。
2009,8.9,353125,你是我最好的朋友，你是我唯一的朋友 。
2017,9.5,120117,土壤没有落叶不会肥沃，没有了你就不算人生。
2010,8.7,597472,和谐的生活离不开摸头与被摸头。
2004,8.8,398230,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
2010,8.7,565259,没有一人完全善，也没有一人完全恶。
2004,8.8,425206,有时候幸福需要等一等。 
2003,8.8,452888,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
1993,9.1,210514,坏人的好总是比好人的好来得更感人。
2011,8.8,488054,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
1993,8.7,508497,百看不厌。 
2013,8.8,502577,恐怖分子的“秋菊打官司”。
2004,8.8,468613,不一样的导演，不一样的哈利·波特。
1983,9.2,174719,传奇的年代，醉人的童话。
2001,8.7,508735,不要给它起名字，起了名字就有感情了。
2010,8.6,762945,Mr. I Don't Care其实也有Care的时候。
2010,8.8,393522,跨度十五年的欢乐与泪水。
2005,8.6,603733,爱是摈弃傲慢与偏见之后的曙光。
2013,8.8,443537,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
1990,8.9,272432,任何信念的力量，都无法改变命运。
2016,8.7,628452,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
2016,8.5,906155,揭露人性的丧尸题材力作。
2002,8.7,491321,魔法的密室之门已打开...
1979,9.1,194877,想你时你在闹海。
2012,8.7,471772,热血沸腾，那个低俗、性感的无耻混蛋又来了。
1984,8.9,296905,动画片的圣经。
1993,8.9,263944,中国家庭的喜怒哀乐忍。
1954,9.3,148073,时代悲歌。
2004,8.7,399231,真相就在眼前。
2015,8.9,313521,惠及一生的美丽。
2001,8.9,241643,爱并不需要智商 。
1986,8.7,399755,英雄泪短，兄弟情长。 
2002,9.0,244122,被上帝抛弃了的上帝之城。
2018,8.6,1094022,写给影迷，动漫迷和游戏迷的一封情书。
2007,8.8,335102,像吃了苏打饼一样干脆的电影。
2013,8.7,678114,老少皆宜，这就是好莱坞动画的魅力。
2010,8.7,486077,岁月流逝，来日可追。
1991,8.8,318567,香港浪漫主义警匪动作片的巅峰之作。
1997,9.0,218184,好的剧本是，就算你猜到了结局也猜不到全部。
2004,8.9,237806,当这个世界闭上双眼，他却敞开了怀抱。
2017,8.7,650890,怼天怼地，你走后，她与世界为敌。
2013,8.8,351756,Jared Leto的腿比女人还美！
2000,8.7,449342,偷情本没有这样美。
2014,8.7,385325,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
2000,8.6,485407,一个针管引发的血案。
2014,8.7,476758,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
2003,8.8,331843,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
2016,8.4,1078895,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
2013,8.8,274464,要做就做得狠一点，这样才能活下去。
2014,8.8,331421,始于荒诞，止于更荒诞。
2003,8.6,572916,爱，是个动词。
1987,9.2,146759,养狗三日，便会对你终其一生。
2014,8.7,439188,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
1988,8.7,340564,幸福是生生不息，却难以触及的远。 
2008,8.6,604189,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
1994,8.6,467818,电影诗。
2015,8.7,458450,愿我们都不用长大，每一座城堡都能永远存在。
2010,8.6,667379,黑暗之美。
2015,8.8,317248,是枝裕和的家庭习作。
1960,9.0,191601,故事的反转与反转，分裂电影的始祖。
2010,8.9,266517,感情不分食草或者食肉。
2012,8.7,415986,迪士尼和皮克斯拿错剧本的产物。
2002,8.6,493180,松鼠才是角儿。
