职位名称,公司全称,公司人数,发布时间,工作城市,薪资待遇,工作经验,学历要求,职位优势
会计,深圳微米信息服务有限公司,50-150人,2020-12-31 10:01,深圳,8k-12k,3-5年,本科,晋升空间大 牛人聚集地 期权股权
总账会计,上海依图信息技术有限公司,150-500人,2020-12-31 9:32,上海,8k-15k,3-5年,本科,弹性工作 扁平管理 休闲餐点 领导好
总账会计,深圳市晨北科技有限公司,500-2000人,2020-12-31 9:08,深圳,12k-20k,3-5年,本科,上市公司、扁平化
财务会计,深圳市致趣科技有限公司,15-50人,2020-12-31 18:09,深圳,8k-13k,3-5年,本科,弹性工作时间和地点，周末双休，团队氛围好
总账会计,校宝在线（杭州）科技股份有限公司,500-2000人,2020-12-30 17:04,杭州,5k-10k,1-3年,本科,有餐补；弹性工作；大牛共事；
总账会计,上海图聚智能科技股份有限公司,150-500人,2020-12-31 14:46,上海,8k-12k,5-10年,本科,双休，带薪年假，节假日福利等
会计,广州瓯珠粤明文化发展有限公司,150-500人,2020-12-31 12:55,广州,5k-8k,3-5年,本科,朝十晚六、社保五险，氛围自由、有能力者上
会计助理,广州嘉莹工商财税代理有限公司,15-50人,2020-12-31 20:05,广州,2k-3k,1年以下,不限,欢迎加入嘉莹我们这个大家庭，我们一起创造
高级收入会计,北京字节跳动科技有限公司,2000人以上,2021-1-3 4:09,上海,8k-16k,3-5年,本科,"六险一金,带薪休假,免费三餐,弹性工作"
资产会计,闪电快车软件（北京）有限公司,150-500人,2021-1-2 14:51,北京,8k-12k,3-5年,本科,成长
会计专员,成都智明未来教育科技有限公司,150-500人,2020-12-31 18:07,成都,5k-8k,1-3年,本科,五险一金，弹性上班，团队nice。
会计,成都启迪数字医疗科技发展有限公司,15-50人,2020-12-30 20:46,成都,5k-8k,5-10年,本科,初创公司 五险一金 带薪年假 年轻高素质团队
会计,广州市本该信息技术有限责任公司,50-150人,2020-12-30 14:35,广州,5k-7k,1-3年,本科,五险一金、每年多次调薪、弹性工作、绩效奖金
会计,满金坝(深圳)科技有限公司,50-150人,2020-12-31 16:41,深圳,5k-8k,1-3年,大专,周末双休　发展前景
总账会计,深圳市星河互动科技有限公司,150-500人,2020-12-30 11:54,深圳,10k-15k,3-5年,本科,....
会计,广州市金其利信息科技有限公司,15-50人,2020-12-31 17:46,广州,6k-8k,1-3年,大专,五险一金 周末双休 生日礼金等等
会计文员,深圳市冠峰装饰设计工程有限公司,少于15人,2021-1-2 13:19,深圳,4k-6k,1-3年,大专,培养综合能力
财务会计,杭州数澜科技有限公司,150-500人,2020-12-31 18:40,杭州,8k-10k,3-5年,本科,工作氛围好，晋升空间大，六险一金
会计专员,秒针信息技术有限公司,2000人以上,2020-12-31 15:02,北京,6k-8k,1-3年,本科,六险一金 制度规范 职位发展好
财务会计,场景灵兽信息科技（苏州）有限公司,150-500人,2020-12-31 17:56,苏州,6k-8k,5-10年,本科,由前华为、腾讯公司组建团队
会计,动信通（北京）科技集团股份有限公司,50-150人,2020-12-31 18:45,北京,8k-12k,1-3年,本科,绩效考核
总账会计,广州梦映动漫网络科技有限公司,150-500人,2020-12-31 16:56,广州,8k-12k,5-10年,本科,六险一金 周末双休 地铁上盖 年度体检
总账会计,杭州数澜科技有限公司,150-500人,2020-12-31 18:40,杭州,15k-18k,3-5年,本科,技能培训，六险一金，工作氛围好，晋升空间大
会计,中信出版集团股份有限公司,150-500人,2020-12-30 16:46,北京,8k-15k,1-3年,硕士,扁平管理，六险两金，开放办公环境，福利好
财务会计,滴纱文化（深圳）有限公司,15-50人,2020-12-31 14:58,深圳,7k-10k,5-10年,大专,弹性打卡，不加班。团队氛围和谐幸福。
会计,钛马信息网络技术有限公司,150-500人,2020-12-31 16:33,上海,8k-12k,3-5年,本科,车联网
财务会计,杭州扶鹰教育科技有限公司,50-150人,2020-12-31 16:17,杭州,5k-7k,1-3年,大专,晋升空间大，氛围好
总账会计,北京市小仙炖电子商务有限公司,150-500人,2020-12-31 12:12,北京,7k-14k,3-5年,本科,年终奖、半年奖、周末双休、五险一金、提供午餐
会计,上海浩宜信息科技有限公司,150-500人,2020-12-31 11:28,上海,6k-8k,1-3年,本科,早九晚六，五险一金，绩效年终奖
财务会计,上海衿御文化传媒有限公司,50-150人,2020-12-31 15:50,上海,8k-10k,1-3年,本科,周末双休 五险一金 稳定性
会计专员,北京比酷天地文化股份有限公司,50-150人,2020-12-31 15:43,北京,8k-12k,1-3年,本科,公司氛围轻松和谐
总账会计,北京格灵深瞳信息技术有限公司,150-500人,2020-12-31 16:22,北京,12k-20k,3-5年,本科,六险一金 午餐补助
总账会计,北京格灵深瞳信息技术有限公司,150-500人,2020-12-31 16:22,北京,10k-18k,3-5年,本科,六险一金 年终奖
会计,火眼云（北京）科技有限公司,50-150人,2020-12-31 12:41,北京,7k-8k,1-3年,本科,发展前进好，团队实力强
会计,成都卓杭网络科技股份有限公司,150-500人,2020-12-31 9:21,成都,6k-8k,1-3年,本科,"六险一金,带薪年假,周末双休,员工旅游"
总账会计,深圳市华旅云创科技有限公司,50-150人,2020-12-31 10:27,深圳,7k-9k,3-5年,大专,晋升空间足
总账会计,上海阑途信息技术有限公司,2000人以上,2020-12-31 15:20,上海,10k-15k,3-5年,本科,发展前景好
总账会计,上海阑途信息技术有限公司,2000人以上,2020-12-31 15:20,上海,10k-20k,3-5年,本科,"平台发展好,工作氛围好"
会计,深圳小库科技有限公司,50-150人,2020-12-29 17:51,深圳,8k-15k,3-5年,本科,海归精英多 双休不打卡 带行业领先
总账会计,广州棒谷科技股份有限公司,2000人以上,2020-12-31 14:40,广州,10k-15k,3-5年,本科,专业团队，五险一金，绩效奖金，学习型组织
财务会计,上海聚进商贸发展有限公司,50-150人,2020-12-31 9:39,上海,5k-7k,1-3年,大专,交金体检旅游福利全/工作氛围好/职位晋升快
会计专员,江苏物润船联网络股份有限公司,50-150人,2020-12-31 10:21,芜湖,4k-6k,1-3年,大专,福利好、发展空间大
会计,西安新视窗科技有限公司,50-150人,2020-12-31 10:39,西安,4k-8k,3-5年,本科,双休 绩效奖金 年终奖金
财务会计,上海轩宝企业发展有限公司,少于15人,2020-12-30 15:10,上海,4k-6k,1-3年,大专,双休，房补，
总账会计,广州富米科技有限公司,500-2000人,2020-12-30 21:12,广州,8k-11k,3-5年,大专,期权、餐补、五险一金
总账会计,深圳市泰利兴集团有限公司,15-50人,2020-12-31 10:13,深圳,5k-9k,3-5年,本科,五险一金、周末双休、员工旅游、生日礼金等
会计,深圳市泰利兴集团有限公司,15-50人,2020-12-31 10:13,深圳,5k-9k,3-5年,本科,五险一金、周末双休、员工旅游、生日礼金等
会计,成都数蛙科技有限公司,15-50人,2020-12-31 10:16,成都,5k-8k,3-5年,本科,发展前景好
会计,中晟国亚资产管理（北京）有限公司,50-150人,2020-12-31 10:22,北京,5k-8k,1-3年,大专,周末双休 节假日休息 带薪年假
总账会计,上海妃鱼网络科技有限公司,150-500人,2020-12-31 16:15,上海,8k-12k,3-5年,本科,五险一金 绩效奖金
总账会计,广州探途网络技术有限公司,500-2000人,2020-12-28 14:17,广州,6k-9k,1-3年,本科,发展前景、上升空间
会计,成都蓉汇包车客运服务有限公司,少于15人,2020-12-31 11:24,成都,4k-5k,3-5年,本科,双休 社保 节日福利 提供住宿
会计,深圳云上加密科技有限公司,15-50人,2020-12-29 19:18,深圳,7k-14k,3-5年,本科,五险一金，工作餐
会计,湖北智考在线教育科技有限公司,150-500人,2020-12-31 17:13,武汉,3k-4k,1-3年,大专,不加班 五险 下午茶 团建
会计,北京睿象科技有限公司,150-500人,2020-12-31 13:43,北京,8k-15k,5-10年,本科,五险一金、定期体检、年终奖、带薪年假
会计,北京茶树与青文化传播有限公司,15-50人,2020-12-31 10:35,北京,5k-7k,1-3年,大专,五险一金，周末双休，带薪年假，节日福利
会计,广东大鼎建设工程有限公司,150-500人,2020-12-31 10:16,广州,4k-6k,1-3年,大专,"社保,公司氛围好,横向发展，固定小零食等"
总账会计,广州糯米糍信息科技有限公司,50-150人,2020-12-30 17:37,广州,6k-9k,3-5年,本科,六险一金 周末双休 定期团建 一年一次晋升
财务会计,北京众盛天宜科技有限公司,150-500人,2020-12-30 15:39,成都,6k-8k,1-3年,大专,五险一金 弹性工作 奖金 上升空间大
会计,北京星空汇影院发展有限公司,150-500人,2020-12-30 10:35,北京,6k-10k,1-3年,大专,发展前景好
会计专员,深圳交控科技有限公司,150-500人,2020-12-30 9:47,深圳,5k-8k,1-3年,本科,弹性工作制 团队年轻 机会多
会计助理,武汉微思敦网络技术有限公司,150-500人,2020-12-30 17:08,武汉,5k-7k,1-3年,本科,丰富下午茶，出国游，周末双休，带薪年假
财务会计,湖南象盒网络科技有限公司,2000人以上,2020-12-30 15:02,长沙,4k-6k,3-5年,大专,公司重点部门，晋升空间大
财务会计,广州岸边网络科技有限公司,50-150人,2020-12-30 17:50,广州,8k-13k,3-5年,本科,五险一金、双休、高成长
会计,抱抱（北京）信息技术有限公司,50-150人,2020-12-30 11:03,北京,6k-8k,1-3年,本科,弹性工作、福利丰厚
会计,深圳市明远精密科技有限公司,少于15人,2020-12-28 10:24,深圳,5k-8k,3-5年,大专,工作轻松，绩效奖金
财务会计,北京众盛天宜科技有限公司,150-500人,2020-12-30 15:39,深圳,8k-11k,1-3年,大专,五险一金 弹性工作 奖金 上升空间大
财务会计,华风象辑（北京）气象科技有限公司,150-500人,2020-12-30 16:22,北京,8k-10k,1-3年,本科,团队实力
财务主管会计,上海麦图信息科技有限公司,15-50人,2021-1-1 16:52,上海,8k-10k,3-5年,大专,带薪年假，扁平管理，员工福利好
会计,上海收钱吧互联网科技有限公司,2000人以上,2020-12-30 18:29,上海,9k-10k,1-3年,本科,平台大 福利好 牛人多
会计,武汉脉博信息技术有限公司,15-50人,2020-12-30 22:59,武汉,4k-5k,3-5年,本科,五险一金，朝九晚五，双休年假，年终奖励
财务会计,上海颜聘企业管理合伙企业（有限合伙）,15-50人,2020-12-30 17:25,上海,6k-8k,1-3年,本科,季度奖金、公司氛围好、定期聚餐、晋升机制完善
会计,西安大圣财务管理有限公司,少于15人,2020-12-30 20:26,西安,4k-6k,1-3年,不限,不加班
财务会计 (MJ000171),杭州今元标矩科技有限公司,500-2000人,2020-12-31 16:39,芜湖,4k-7k,1-3年,大专,扁平化管理；氛围nice；发挥空间大
财务会计,广州有你网络技术有限公司,15-50人,2020-12-28 10:12,广州,4k-7k,1年以下,大专,下午茶 社会保险 月度团建 年度旅游
会计,浙江蓝奥教育科技有限公司,50-150人,2020-12-29 17:17,杭州,6k-10k,5-10年,本科,团队氛围好前景好办公环境好
会计,厦门美柚股份有限公司,500-2000人,2020-12-29 15:04,厦门,6k-12k,3-5年,本科,六险一金，免费班车，发展空间大
会计,西安百达通商业运营管理有限公司,15-50人,2020-12-30 17:24,西安,3k-6k,1-3年,大专,待遇好，轻松
财务会计,杭州风云再起娱乐有限公司,150-500人,2020-12-27 14:46,杭州,4k-6k,不限,大专,团队有活力，晋升空间大
总账会计,北京瓴岳信息技术有限公司,150-500人,2020-12-30 11:08,北京,9k-12k,3-5年,本科,福利待遇佳 氛围轻松 年度旅游
基金会计,珠海钧誉资产管理有限公司,15-50人,2021-1-1 17:52,广州,10k-15k,1-3年,本科,扁平化管理 周末双休 丰厚年终奖
财务会计,深圳虾皮信息科技有限公司,500-2000人,2020-12-30 10:52,深圳,10k-15k,3-5年,本科,外企互联网上市公司，福利好，发展大
会计英文编辑,成都牧思宝贝教育咨询有限公司,50-150人,2021-1-2 14:59,北京,5k-8k,在校/应届,本科,英文翻译
结算会计,车轮互联科技（上海）股份有限公司,150-500人,2020-12-31 19:27,上海,8k-10k,3-5年,本科,氛围佳、福利好、发展空间大
会计,南安英略财务咨询有限公司,少于15人,2020-12-27 10:41,泉州,3k-6k,不限,大专,代账会计
会计,东方智感（浙江）科技股份有限公司,50-150人,2020-12-28 14:12,杭州,6k-8k,3-5年,大专,双休，五险一金，扁平化
会计,中粮地产集团深圳物业管理有限公司杭州分公司,150-500人,2020-12-30 11:41,杭州,4k-6k,在校/应届,本科,央企 前景好 有发展
财务会计,东莞美信企业管理咨询有限公司,2000人以上,2020-12-29 17:08,东莞,4k-6k,1-3年,大专,晋升机制完善，包吃，六险一金，年终奖
总账会计,深圳市珍爱网信息技术有限公司,2000人以上,2020-12-23 14:20,深圳,6k-8k,1-3年,本科,五险一金 弹性工作 下午茶
总账会计,神农智慧农业研究院南京有限公司,少于15人,2020-12-30 10:22,南京,5k-10k,不限,本科,轻松
总账会计,广州小卫科技有限公司,150-500人,2020-12-25 19:35,广州,10k-15k,3-5年,本科,风口行业 前景佳 文化扁平开放
会计,广东登鸿科技发展有限公司,50-150人,2020-12-30 14:20,广州,4k-6k,1-3年,大专,周末双休
会计助理,佛山市德承会计服务有限公司,少于15人,2020-12-30 18:52,佛山,2k-3k,不限,不限,双休高薪、直接上手、不加班
财务会计,陕西信德诺企业管理咨询有限公司,少于15人,2020-12-30 16:21,西安,3k-5k,3-5年,大专,财务公司会计
核算会计 (MJ000059),深圳市超级猩猩健身管理有限公司,150-500人,2020-12-31 15:14,深圳,8k-10k,3-5年,大专,独角兽行业 互联网氛围 免费健身
管理会计,深圳市小亿网络有限公司,150-500人,2020-12-31 15:43,深圳,13k-18k,5-10年,本科,弹性上班，双休，团队氛围好，发展前景好
会计,深圳市法本信息技术股份有限公司,2000人以上,2020-12-29 9:16,深圳,6k-8k,1-3年,本科,公司平台好，发展前景大
会计,广东路卡服装集团有限公司,2000人以上,2020-12-30 12:24,广州,3k-5k,在校/应届,不限,中国奢侈服饰品牌标杆企业，发展平台大
会计,北京南海中天科技有限公司,50-150人,2020-12-29 11:02,东莞,4k-6k,1-3年,大专,扁平化管理、晋升空间大
合并报表会计主管,深圳市小亿网络有限公司,150-500人,2020-12-31 15:30,深圳,13k-18k,5-10年,大专,弹性上班，双休，团队氛围好，发展前景好
初级会计,深圳市乐易网络股份有限公司,150-500人,2020-12-31 8:57,深圳,6k-10k,1-3年,本科,年终奖/发展前景好/出国游
会计,星辰天合（北京）数据科技有限公司,150-500人,2020-12-29 19:16,北京,20k-30k,5-10年,本科,晋升空间
财务会计,广州有你网络技术有限公司,15-50人,2020-12-28 10:12,广州,4k-7k,1年以下,大专,下午茶 社会保险 月度团建 年度旅游
会计,久泰现代农业有限公司,150-500人,2020-12-30 9:23,阿克苏,5k-6k,3-5年,大专,发展前景、学习机会
会计,杭州衣爱诚品服饰有限公司,150-500人,2020-12-30 9:50,杭州,5k-6k,1-3年,本科,发展前景好，有发展空间；团队氛围好
财务会计,一窗（北京）互联网科技研究院,15-50人,2020-12-30 9:49,北京,8k-10k,3-5年,本科,扁平化
总账会计,上海商米科技集团股份有限公司,500-2000人,2020-12-29 14:30,上海,12k-23k,5-10年,本科,扁平化管理、年假病假、社保公积金、周末双休
会计岗SZ463,平安利顺国际货币经纪有限责任公司,150-500人,2020-12-31 9:07,深圳,8k-16k,3-5年,本科,"专业培训,福利待遇好,管理规范,发展空间"
总账会计Accountant,软视视频软件（杭州）有限公司,500-2000人,2020-12-31 15:03,杭州,8k-15k,1-3年,本科,"六险一金,出国培训,年终奖金,股票期权"
资金会计,丰疆智能（深圳）有限公司,150-500人,2020-12-31 9:58,深圳,7k-10k,1-3年,本科,周末双休
总账会计,珠海市小源科技有限公司,150-500人,2020-12-28 14:41,珠海,5k-8k,3-5年,大专,五险一金、周末双休、节日福利、带薪年假
会计,雅利安（三亚）旅游投资有限公司,150-500人,2020-12-29 9:19,三亚,5k-7k,不限,大专,春光集团直聘
