Excel文件名称		时间		功率		风速
201505.xls	Sheet2		0.84375		162.0		12.3
201505.xls	Sheet2		0.854166666666667		163.0		12.0
201505.xls	Sheet2		0.864583333333333		165.0		11.3
201505.xls	Sheet2		0.875		165.0		11.8
201505.xls	Sheet2		0.739583333333333		161.0		11.9
201505.xls	Sheet2		0.75		165.0		12.5
201505.xls	Sheet5		0.666666666666667		170.0		11.0
201505.xls	Sheet5		0.677083333333333		165.0		11.2
201505.xls	Sheet5		0.6875		165.0		11.2
201505.xls	Sheet8		0.916666666666667		161.0		12.5
201505.xls	Sheet8		0.927083333333333		165.0		12.4
201505.xls	Sheet8		0.9375		165.0		12.3
201505.xls	Sheet8		0.947916666666667		161.0		12.1
201505.xls	Sheet9		0.0104166666666667		165.0		12.4
201505.xls	Sheet10		0.5104166666666666		164.0		11.2
201505.xls	Sheet10		0.520833333333333		163.0		11.3
201505.xls	Sheet10		0.53125		163.0		11.2
201505.xls	Sheet10		0.541666666666667		164.0		11.4
201505.xls	Sheet10		0.552083333333333		164.0		11.2
201505.xls	Sheet10		0.5625		163.0		11.0
201505.xls	Sheet10		0.322916666666667		163.0		14.8
201505.xls	Sheet10		0.5729166666666666		164.0		11.8
201505.xls	Sheet10		0.333333333333333		165.0		14.9
201505.xls	Sheet10		0.583333333333333		165.0		12.6
201505.xls	Sheet10		0.34375		164.0		13.2
201505.xls	Sheet10		0.59375		165.0		11.7
201505.xls	Sheet10		0.354166666666667		165.0		14.5
201505.xls	Sheet10		0.364583333333333		165.0		13.0
201505.xls	Sheet10		0.125		164.0		11.2
201505.xls	Sheet10		0.375		164.0		13.0
201505.xls	Sheet10		0.625		163.0		11.7
201505.xls	Sheet10		0.135416666666666		165.0		12.3
201505.xls	Sheet10		0.385416666666667		164.0		13.1
201505.xls	Sheet10		0.635416666666667		164.0		11.0
201505.xls	Sheet10		0.145833333333333		164.0		13.4
201505.xls	Sheet10		0.395833333333333		165.0		13.0
201505.xls	Sheet10		0.645833333333333		163.0		11.2
201505.xls	Sheet10		0.156249999999999		161.0		14.5
201505.xls	Sheet10		0.40625		165.0		12.7
201505.xls	Sheet10		0.65625		163.0		11.5
201505.xls	Sheet10		0.416666666666667		164.0		12.8
201505.xls	Sheet10		0.666666666666667		164.0		11.3
201505.xls	Sheet10		0.427083333333333		161.0		12.7
201505.xls	Sheet10		0.677083333333333		162.0		11.0
